artifact_id,cdli_comments,designation,artifact_type,period,provenience,written_in,archive,composite_no,seal_no,composites,seals,museum_no,accession_no,condition_description,artifact_preservation,period_comments,provenience_comments,artifact_type_comments,is_provenience_uncertain,is_period_uncertain,is_artifact_type_uncertain,is_school_text,height,thickness,width,weight,elevation,excavation_no,findspot_square,findspot_comments,stratigraphic_level,surface_preservation,artifact_comments,seal_information,collections,dates,alternative_years,genres,languages,materials,publications_key,publications_type,publications_exact_ref,publications_comment,external_resources,external_resources_key,genres_comment,genres_uncertain,languages_uncertain,materials_aspect,materials_color,materials_uncertain,retired,has_fragments,is_artifact_fake,redirect_artifact_id,retired_comments
821,,"ATU 5, pl. 014, W 6738,b",tablet,"Uruk IV (ca. 3350-3200 BC)","Uruk (mod. Warka)",,,,,,,"VAT 14742",,,,,,,0,0,0,0,44.0,12.0,31.0,,,"W 06738,b","Pd XVI,3","unter der Ascheschicht in Schicht IV// t.a.q. IIIc",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,"Englund1994ATU5; Falkenstein1936ATU1","primary; history","pl. 14, W 6738,b; 150","44x31x12 - same locus as W 6738,a - ATU 1, 150 - 30.1.1930 - see ATU 1, p. 23.; ",,," ",0,0,,,0,0,0,0,,
822,,"ATU 5, pl. 014, W 6738,c",tablet,"Uruk IV (ca. 3350-3200 BC)","Uruk (mod. Warka)",,,,,,,"IM 025685",,,,,,,0,0,0,0,40.0,15.0,31.0,,,"W 06738,c","Pd XVI,3","unter der Ascheschicht in Schicht IV",,,,,"National Museum of Iraq, Baghdad, Iraq",,,Administrative,undetermined,clay,"Englund1994ATU5; Falkenstein1936ATU1","primary; history","pl. 14, W 6738,c; 177","40x31x15 - same locus as W 6738,a - ATU 1, 177 - 30.1.1930 - account possibly including the text of W 6611 - tablet originally part of the VAM collection with the accession number VAT 14842, was, for unclear reasons, returned to the Iraq Museum on the 1st of J; ",,," ",0,0,,,0,0,0,0,,
823,,"ATU 5, pl. 014, W 6738,d",tablet,"Uruk IV (ca. 3350-3200 BC)","Uruk (mod. Warka)",,,,,,,"VAT 15167",,,,,,,0,0,0,0,18.0,17.0,36.0,,,"W 06738,d","Pd XVI,3","unter der Ascheschicht in Schicht IV// t.a.q. IIIc",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,"Englund1994ATU5; Falkenstein1936ATU1","primary; history","pl. 14, W 6738,d; 493","18x36x17 - same locus as W 6738,a - ATU 1, 493 - 30.1.1930.; ",,," ",0,0,,,0,0,0,0,,
824,,"ATU 5, pl. 014, W 6738,e",tablet,"Uruk IV (ca. 3350-3200 BC)","Uruk (mod. Warka)",,,,,,,"VAT 15118",,,,,,,0,0,0,0,37.0,22.0,40.0,,,"W 06738,e","Pd XVI,3","unter der Ascheschicht in Schicht IV",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1994ATU5,primary,"pl. 14, W 6738,e","37x40x22 - same locus as W 6738,a - 30.1.1930.",,," ",0,0,,,0,0,0,0,,
825,,"ATU 5, pl. 014, W 6738,f",tablet,"Uruk IV (ca. 3350-3200 BC)","Uruk (mod. Warka)",,,,,,,"VAT 21348",,,,,,,0,0,0,0,45.0,21.0,45.0,,,"W 06738,f","Pd XVI,3","unter der Ascheschicht in Schicht IV",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1994ATU5,primary,"pl. 14, W 6738,f","45x45x21 - same locus as W 6738,a - 30.1.1930 - apparent practice tablet with traces of signs.",,," ",0,0,,,0,0,0,0,,
826,,"ATU 5, pl. 014, W 6738,g",tablet,"Uruk IV (ca. 3350-3200 BC)","Uruk (mod. Warka)",,,,,,,"VAT 21365",,,,,,,0,0,0,0,21.0,23.0,38.0,,,"W 06738,g","Pd XVI,3","unter der Ascheschicht in Schicht IV",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1994ATU5,primary,"pl. 14, W 6738,g","21x38x23 - same locus as W 6738,a - 30.1.1930.",,," ",0,0,,,0,0,0,0,,
827,,"ATU 5, pl. 014, W 6738,h",tablet,"Uruk IV (ca. 3350-3200 BC)","Uruk (mod. Warka)",,,,,,,"VAT 21363",,,,,,,0,0,0,0,26.0,18.0,22.0,,,"W 06738,h","Pd XVI,3","unter der Ascheschicht in Schicht IV",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1994ATU5,primary,"pl. 14, W 6738,h","26x22x18 - same locus as W 6738,a - 30.1.1930.",,," ",0,0,,,0,0,0,0,,
829,,"ATU 5, pl. 015, W 6746",tablet,"Uruk IV (ca. 3350-3200 BC)","Uruk (mod. Warka)",,,,,,,"VAT 15127",,,,,,,0,0,0,0,31.0,23.0,28.0,,,"W 06746","Pb XVI,3","NO; Nordost-Seite des Wadi in Höhe der Rohtonschicht",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,"Englund1994ATU5; Falkenstein1936ATU1","primary; history","pl. 15, W 6746; 405","31x28x23 - Pb XVI,3, NE, northeastern side of the wadi in the height of the clay stratum - ATU 1, 405 - 31.1.1930.; ",,," ",0,0,,,0,0,0,0,,
830,,"ATU 5, pl. 015, W 6748,a",tablet,"Uruk IV (ca. 3350-3200 BC)","Uruk (mod. Warka)",,,,,,,"VAT 14835",,,,,,,0,0,0,0,34.0,15.0,26.0,,,"W 06748,a","Pd XVI,3","in der Scherbenschicht an Rillenwand der Schicht IV// t.a.q. IIIc",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,"Englund1994ATU5; Falkenstein1936ATU1","primary; history","pl. 15, W 6748,a; 88","34x26x15 - Pd XVI,3, in the layer of sherds against the niched wall belonging to level IV - ATU 1, 88 - 31.1.1930.; ",,," ",0,0,,,0,0,0,0,,
831,,"ATU 5, pl. 015, W 6748,b",tablet,"Uruk IV (ca. 3350-3200 BC)","Uruk (mod. Warka)",,,,,,,"VAT 14719",,,,,,,0,0,0,0,35.0,15.0,26.0,,,"W 06748,b","Pd XVI,3","in der Scherbenschicht an Rillenwand der Schicht IV// t.a.q. IIIc",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,"Englund1994ATU5; Falkenstein1936ATU1","primary; history","pl. 15, W 6748,b; 14","35x26x15 - same locus as W 6748,a - ATU 1, 14 - 31.1.1930.; ",,," ",0,0,,,0,0,0,0,,
