"hidden.structure","hidden.size","hidden.depth","err.fct","act.fct.name","algorithm","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
"5,4,2",11,3,"sse","tanh","rprop+",0.5,0.97,1.72831316341694e-25,0.94,1,0.97,101
"3,2,3",8,3,"sse","tanh","rprop+",0.5,0.96,4.19721842505366e-24,0.93,1,0.96,101
"2",2,1,"sse","tanh","rprop+",0.5,0.97,1.72831316341694e-25,0.94,1,0.97,101
"2,1,1,1",5,4,"sse","tanh","rprop+",0.5,0.96,4.19721842505366e-24,0.93,1,0.96,101
"4,2,3",9,3,"sse","tanh","rprop+",0.5,0.96,4.19721842505366e-24,0.93,1,0.96,101
"4,4,4",12,3,"sse","tanh","rprop+",0.5,0.96,4.19721842505366e-24,0.93,1,0.96,101
"2,2",4,2,"sse","tanh","rprop+",0.5,0.96,4.19721842505366e-24,0.93,1,0.96,101
"3,4",7,2,"sse","tanh","rprop+",0.5,0.97,1.72831316341694e-25,0.94,1,0.97,101
"2,4",6,2,"sse","tanh","rprop+",0.5,0.97,1.72831316341694e-25,0.94,1,0.97,101
"5,4,3,2",14,4,"sse","tanh","rprop+",0.5,0.96,4.19721842505366e-24,0.94,0.98,0.96,101
"2,1,1,5",9,4,"sse","tanh","rprop+",0.5,0.97,1.72831316341694e-25,0.94,1,0.97,101
"5,2,1",8,3,"sse","tanh","rprop+",0.5,0.97,1.72831316341694e-25,0.94,1,0.97,101
"2,3,2,4",11,4,"sse","tanh","rprop+",0.5,0.96,4.19721842505366e-24,0.93,1,0.96,101
"1,2",3,2,"sse","tanh","rprop+",0.5,0.97,1.72831316341694e-25,0.94,1,0.97,101
"3,3,5,4",15,4,"sse","tanh","rprop+",0.5,0.96,4.19721842505366e-24,0.93,1,0.96,101
"5,1,4",10,3,"sse","tanh","rprop+",0.5,0.97,1.72831316341694e-25,0.94,1,0.97,101
"2,4,3,4",13,4,"sse","tanh","rprop+",0.5,0.96,4.19721842505366e-24,0.93,1,0.96,101
"4",4,1,"sse","tanh","rprop+",0.5,0.97,1.72831316341694e-25,0.94,1,0.97,101
"1,1,4,3",9,4,"sse","tanh","rprop+",0.5,0.97,1.72831316341694e-25,0.94,1,0.97,101
"2,2,5",9,3,"sse","tanh","rprop+",0.5,0.96,4.19721842505366e-24,0.93,1,0.96,101
"3,3,4,3",13,4,"sse","tanh","rprop+",0.5,0.97,1.72831316341694e-25,0.94,1,0.97,101
"5",5,1,"sse","tanh","rprop+",0.5,0.96,4.19721842505366e-24,0.93,1,0.96,101
"1,2,1",4,3,"sse","tanh","rprop+",0.5,0.97,1.72831316341694e-25,0.94,1,0.97,101
"3,2,2",7,3,"sse","tanh","rprop+",0.5,0.97,1.72831316341694e-25,0.94,1,0.97,101
"3,3,2,1",9,4,"sse","tanh","rprop+",0.5,0.96,4.19721842505366e-24,0.93,1,0.96,101
"2,4,3",9,3,"sse","tanh","rprop+",0.5,0.97,1.72831316341694e-25,0.94,1,0.97,101
"3,2,5,4",14,4,"sse","tanh","rprop+",0.5,0.97,1.72831316341694e-25,0.94,1,0.97,101
"4,3,3,4",14,4,"sse","tanh","rprop+",0.5,0.97,1.72831316341694e-25,0.94,1,0.97,101
"1,1",2,2,"sse","tanh","rprop+",0.5,0.97,1.72831316341694e-25,0.94,1,0.97,101
"4,3",7,2,"sse","tanh","rprop+",0.5,0.96,4.19721842505366e-24,0.93,1,0.96,101
"2,4,2,3",11,4,"sse","tanh","rprop+",0.5,0.95,8.07394830417321e-23,0.91,1,0.95,101
"3,3,3",9,3,"sse","tanh","rprop+",0.5,0.97,1.72831316341694e-25,0.94,1,0.97,101
"1,5,3,4",13,4,"sse","tanh","rprop+",0.5,0.97,1.72831316341694e-25,0.94,1,0.97,101
"2,3,2",7,3,"sse","tanh","rprop+",0.5,0.96,4.19721842505366e-24,0.93,1,0.96,101
"5,3,2",10,3,"sse","tanh","rprop+",0.5,0.95,8.07394830417321e-23,0.92,0.98,0.95,101
"3,2,4,1",10,4,"sse","tanh","rprop+",0.5,0.96,4.19721842505366e-24,0.93,1,0.96,101
"2,2,4,1",9,4,"sse","tanh","rprop+",0.5,0.97,1.72831316341694e-25,0.94,1,0.97,101
"4,5,2",11,3,"sse","tanh","rprop+",0.5,0.95,8.07394830417321e-23,0.92,0.98,0.95,101
"4,5,4,4",17,4,"sse","tanh","rprop+",0.5,0.96,4.19721842505366e-24,0.93,1,0.96,101
"4,1",5,2,"sse","tanh","rprop+",0.5,0.97,1.72831316341694e-25,0.94,1,0.97,101
"4,3,4",11,3,"sse","tanh","rprop+",0.5,0.97,1.72831316341694e-25,0.94,1,0.97,101
"2,5,5",12,3,"sse","tanh","rprop+",0.5,0.96,4.19721842505366e-24,0.93,1,0.96,101
"3,4,3",10,3,"sse","tanh","rprop+",0.5,0.96,4.19721842505366e-24,0.93,1,0.96,101
"1,2,2",5,3,"sse","tanh","rprop+",0.5,0.97,1.72831316341694e-25,0.94,1,0.97,101
