"hidden.structure","hidden.size","hidden.depth","err.fct","act.fct.name","algorithm","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
"3,5,4",12,3,"sse","tanh","rprop+",0.56,0.96,1.23435258238885e-19,0.93,0.98,0.96,101
"3,3,2",8,3,"sse","tanh","rprop+",0.56,0.93,2.50222864526051e-16,0.89,0.95,0.92,101
"5,2,4",11,3,"sse","tanh","rprop+",0.56,0.96,1.23435258238885e-19,0.93,0.98,0.96,101
"3,1,1",5,3,"sse","tanh","rprop+",0.56,0.96,1.23435258238885e-19,0.93,0.98,0.96,101
"3",3,1,"sse","tanh","rprop+",0.56,0.97,6.43566375772979e-21,0.94,1,0.97,101
"5,3,1",9,3,"sse","tanh","rprop+",0.56,0.94,2.35157774494287e-17,1,0.86,0.93,101
"2,1",3,2,"sse","tanh","rprop+",0.56,0.93,2.50222864526051e-16,0.93,0.91,0.92,101
"2,2,1,2",7,4,"sse","tanh","rprop+",0.56,0.96,1.23435258238885e-19,0.93,0.98,0.96,101
"4,2",6,2,"sse","tanh","rprop+",0.56,0.96,1.23435258238885e-19,0.93,0.98,0.96,101
"4,4,4,3",15,4,"sse","tanh","rprop+",0.56,0.97,6.43566375772979e-21,0.94,1,0.97,101
"5,2,3",10,3,"sse","tanh","rprop+",0.56,0.95,1.8755555012058e-18,0.93,0.95,0.94,101
"4,4",8,2,"sse","tanh","rprop+",0.56,0.96,1.23435258238885e-19,0.93,0.98,0.96,101
"5,4,4,5",18,4,"sse","tanh","rprop+",0.56,0.95,1.8755555012058e-18,0.9,1,0.95,101
"1,5",6,2,"sse","tanh","rprop+",0.56,0.96,1.23435258238885e-19,0.93,0.98,0.96,101
"3,3,1",7,3,"sse","tanh","rprop+",0.56,0.94,2.35157774494287e-17,0.9,0.98,0.93,101
"3,2",5,2,"sse","tanh","rprop+",0.56,0.96,1.23435258238885e-19,0.93,0.98,0.96,101
"1",1,1,"sse","tanh","rprop+",0.56,0.96,1.23435258238885e-19,0.93,0.98,0.96,101
"5,4,2",11,3,"sse","tanh","rprop+",0.56,0.95,1.8755555012058e-18,0.93,0.95,0.94,101
"3,2,3",8,3,"sse","tanh","rprop+",0.56,0.97,6.43566375772979e-21,0.94,1,0.97,101
"2",2,1,"sse","tanh","rprop+",0.56,0.97,6.43566375772979e-21,0.94,1,0.97,101
"2,1,1,1",5,4,"sse","tanh","rprop+",0.56,0.96,1.23435258238885e-19,0.93,0.98,0.96,101
"4,2,3",9,3,"sse","tanh","rprop+",0.56,0.96,1.23435258238885e-19,0.93,0.98,0.96,101
"4,4,4",12,3,"sse","tanh","rprop+",0.56,0.96,1.23435258238885e-19,0.93,0.98,0.96,101
