"hidden.structure","hidden.size","hidden.depth","err.fct","act.fct.name","algorithm","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
"3,5,4",12,3,"sse","tanh","rprop+",0.93,0.91,0.837902324144449,0.94,0.97,0.95,101
"3,3,2",8,3,"sse","tanh","rprop+",0.93,0.9,0.909145150242861,0.97,0.93,0.95,101
"5,2,4",11,3,"sse","tanh","rprop+",0.93,0.9,0.909145150242861,0.96,0.94,0.95,101
"3,1,1",5,3,"sse","tanh","rprop+",0.93,0.88,0.977547308283489,0.96,0.91,0.93,101
"3",3,1,"sse","tanh","rprop+",0.93,0.9,0.909145150242861,0.96,0.94,0.95,101
"5,3,1",9,3,"sse","tanh","rprop+",0.93,0.9,0.909145150242861,0.95,0.95,0.95,101
"2,1",3,2,"sse","tanh","rprop+",0.93,0.88,0.977547308283489,0.96,0.91,0.93,101
"2,2,1,2",7,4,"sse","tanh","rprop+",0.93,0.88,0.977547308283489,0.96,0.91,0.93,101
"4,2",6,2,"sse","tanh","rprop+",0.93,0.87,0.990044381755131,0.96,0.9,0.93,101
"4,4,4,3",15,4,"sse","tanh","rprop+",0.93,0.9,0.909145150242861,0.96,0.94,0.95,101
"5,2,3",10,3,"sse","tanh","rprop+",0.93,0.91,0.837902324144449,0.96,0.95,0.95,101
"4,4",8,2,"sse","tanh","rprop+",0.93,0.9,0.909145150242861,0.95,0.95,0.95,101
