"hidden.structure","hidden.size","hidden.depth","err.fct","act.fct.name","algorithm","accuracy","precision","recall","f1"
"3,5,4",12,3,"sse","tanh","rprop+",0.98,0.96,0.99,0.98
"3,3,2",8,3,"sse","tanh","rprop+",0.98,0.95,1,0.98
"5,2,4",11,3,"sse","tanh","rprop+",0.98,0.96,1,0.98
"3,1,1",5,3,"sse","tanh","rprop+",0.98,0.96,1,0.98
"3",3,1,"sse","tanh","rprop+",0.97,0.96,0.98,0.97
"5,3,1",9,3,"sse","tanh","rprop+",0.97,0.96,0.99,0.97
"2,1",3,2,"sse","tanh","rprop+",0.97,0.95,0.99,0.97
"2,2,1,2",7,4,"sse","tanh","rprop+",0.97,0.95,0.99,0.97
"4,2",6,2,"sse","tanh","rprop+",0.98,0.96,1,0.98
"4,4,4,3",15,4,"sse","tanh","rprop+",0.97,0.95,1,0.97
"5,2,3",10,3,"sse","tanh","rprop+",0.98,0.96,0.99,0.98
"4,4",8,2,"sse","tanh","rprop+",0.98,0.96,1,0.98
"5,4,4,5",18,4,"sse","tanh","rprop+",0.97,0.95,1,0.97
"1,5",6,2,"sse","tanh","rprop+",0.97,0.95,0.99,0.97
"3,3,1",7,3,"sse","tanh","rprop+",0.98,0.96,1,0.98
"3,2",5,2,"sse","tanh","rprop+",0.97,0.95,0.99,0.97
"1",1,1,"sse","tanh","rprop+",0.97,0.95,0.99,0.97
"5,4,2",11,3,"sse","tanh","rprop+",0.98,0.96,1,0.98
"4,4",8,2,"sse","tanh","rprop+",0.98,0.96,1,0.98
"3,2,3",8,3,"sse","tanh","rprop+",0.97,0.95,1,0.97
"2",2,1,"sse","tanh","rprop+",0.98,0.96,0.99,0.98
"4,2,3",9,3,"sse","tanh","rprop+",0.98,0.96,1,0.98
"4,4,4",12,3,"sse","tanh","rprop+",0.98,0.96,1,0.98
"2,2",4,2,"sse","tanh","rprop+",0.97,0.95,0.99,0.97
"3,4",7,2,"sse","tanh","rprop+",0.98,0.96,1,0.98
"2,4",6,2,"sse","tanh","rprop+",0.98,0.96,1,0.98
"5,4,3,2",14,4,"sse","tanh","rprop+",0.98,0.96,1,0.98
"2,1,1,5",9,4,"sse","tanh","rprop+",0.97,0.95,0.99,0.97
"5,2,1",8,3,"sse","tanh","rprop+",0.97,0.96,0.99,0.97
"4,2",6,2,"sse","tanh","rprop+",0.98,0.96,1,0.98
"2,3,2,4",11,4,"sse","tanh","rprop+",0.97,0.95,0.99,0.97
"1,2",3,2,"sse","tanh","rprop+",0.97,0.95,0.99,0.97
"3,3,5,4",15,4,"sse","tanh","rprop+",0.98,0.96,1,0.98
"4,4",8,2,"sse","tanh","rprop+",0.98,0.96,1,0.98
"5,1,4",10,3,"sse","tanh","rprop+",0.97,0.95,0.99,0.97
"3",3,1,"sse","tanh","rprop+",0.98,0.96,1,0.98
"2,4,3,4",13,4,"sse","tanh","rprop+",0.97,0.95,0.99,0.97
"4",4,1,"sse","tanh","rprop+",0.98,0.96,0.99,0.98
"1,1,4,3",9,4,"sse","tanh","rprop+",0.97,0.95,0.99,0.97
"2,2,5",9,3,"sse","tanh","rprop+",0.97,0.95,0.99,0.97
"3,3,4,3",13,4,"sse","tanh","rprop+",0.97,0.96,0.99,0.97
"2,2",4,2,"sse","tanh","rprop+",0.97,0.95,0.99,0.97
"3",3,1,"sse","tanh","rprop+",0.97,0.95,1,0.97
"5",5,1,"sse","tanh","rprop+",0.98,0.96,1,0.98
"1,2,1",4,3,"sse","tanh","rprop+",0.97,0.95,0.99,0.97
"3,2,2",7,3,"sse","tanh","rprop+",0.97,0.95,0.99,0.97
"3,3,2,1",9,4,"sse","tanh","rprop+",0.97,0.95,1,0.97
"2,4,3",9,3,"sse","tanh","rprop+",0.97,0.95,1,0.97
"2,2,5",9,3,"sse","tanh","rprop+",0.97,0.95,0.99,0.97
"3,2,5,4",14,4,"sse","tanh","rprop+",0.97,0.96,0.99,0.97
"4,3,3,4",14,4,"sse","tanh","rprop+",0.98,0.96,1,0.98
"1,1",2,2,"sse","tanh","rprop+",0.97,0.95,0.99,0.97
"4,3",7,2,"sse","tanh","rprop+",0.98,0.96,1,0.98
"2,4,2,3",11,4,"sse","tanh","rprop+",0.97,0.95,1,0.97
"3,3,3",9,3,"sse","tanh","rprop+",0.97,0.95,0.99,0.97
"1,5,3,4",13,4,"sse","tanh","rprop+",0.97,0.95,0.99,0.97
"2",2,1,"sse","tanh","rprop+",0.98,0.96,1,0.98
"2,3,2",7,3,"sse","tanh","rprop+",0.97,0.95,0.99,0.97
"4,2",6,2,"sse","tanh","rprop+",0.98,0.96,1,0.98
"3,2",5,2,"sse","tanh","rprop+",0.97,0.96,0.99,0.97
"3",3,1,"sse","tanh","rprop+",0.98,0.96,0.99,0.98
"2,1",3,2,"sse","tanh","rprop+",0.98,0.96,0.99,0.98
"4,4,4",12,3,"sse","tanh","rprop+",0.98,0.96,1,0.98
"3,4",7,2,"sse","tanh","rprop+",0.98,0.95,1,0.98
"3,3,2",8,3,"sse","tanh","rprop+",0.98,0.96,1,0.98
"5,3,2",10,3,"sse","tanh","rprop+",0.98,0.96,1,0.98
"3,2,4,1",10,4,"sse","tanh","rprop+",0.98,0.96,1,0.98
"2,2,4,1",9,4,"sse","tanh","rprop+",0.97,0.95,0.99,0.97
