id,corpus_id,filename,language_name_wals,language_name_glotto,iso639_3,year_composed,year_published,mode,genre_broad,genre_narrow,writing_system,special_characters,short_description,source,copyright_short,copyright_long,sample_type,comments
11,10,bsn_nfi_1.txt,Barasano,Barasana-Eduria,bsn,"NA",2001,written,non-fiction,religion,Latn,"NA","Text of the Parallel Bible Corpus: Mayer, Thomas & Michael Cysouw. 2014. Creating a Massively Parallel Bible Corpus. Proceedings of the International Conference on Language Resources and Evaluation (LREC), Reykjavik, 3158-3163.",http://www.scriptureearth.org/data/bsn,© Liga Bíblica Internacional 2010,"Creative Commons<br>Atribución - No Comercial - No Derivadas 3.0<br>copiar, distribuir y comunicar públicamente la obra<br>Bajo las condiciones siguientes<br>Atribución — Debes reconocer la autoría de la obra en los términos especificados por el propio autor o licenciante.<br>No comercial — No puedes utilizar esta obra para fines comerciales.<br>No Derivadas — No está permitido que alteres, transformes o generes una obra derivada a partir de esta obra.<br>Con la comprensión eso:<br>Renuncia — Un de los sobre condiciones puede ser renunciado si consigue el permiso del sostenedor de las derechas. Otras derechas — Están de ninguna manera los siguientes derechas afectadas por la licencia:<br>Las derechas del uso justo;<br>Las derechas morales del autor;<br>Las derechas que otras personas pueden tener en el trabajo mismo o en cómo se utiliza el trabajo, por ejemplo las derechas de publicidad o las derechas privadas.<br>Aviso — Para obras reutilizadas o redistribuidos, tiene que avisar claramente estos términos de la licencia.<br>http://creativecommons.org/licenses/by-nc-nd/3.0",whole,"The first two digits of the identifier refer to the book, the next three digits to the chapter, and the last three digits to the verse. See Mayer & Cysouw (2014) for a list of book identifiers."
12,11,eus_nfi_1.txt,Basque,Basque,eus,"NA","NA",written,non-fiction,religion,Latn,"NA","Text of the Parallel Bible Corpus: Mayer, Thomas & Michael Cysouw. 2014. Creating a Massively Parallel Bible Corpus. Proceedings of the International Conference on Language Resources and Evaluation (LREC), Reykjavik, 3158-3163.",https://www.bible.com/de/bible/56/gen.1.eab,© Bible Society,"This is the translation of the Bible in Basque language, Euskera, sponsored by the Bible Society. The translation was carried out by an interconfessional team of biblical scholars under the rules of Bible translations cooperation signed by the United Bible Societies and the Catholic Church. It is a medium-high level translation in Basque Batua, standardized language for the Academy of the Basque Language. This Bible is published in interconfessional issue with Deuterocanonical books of the Old and New Testaments.",whole,"The first two digits of the identifier refer to the book, the next three digits to the chapter, and the last three digits to the verse. See Mayer & Cysouw (2014) for a list of book identifiers."
13,11,eus_nfi_10.txt,Basque,Basque,eus,"NA",2016,written,non-fiction,prepared_speeches,Latn,"NA",OpenSubtitles2018,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip,http://www.opensubtitles.org/,"http://www.opensubtitles.org/ P. Lison and J. Tiedemann, 2016, OpenSubtitles2016: Extracting Large Parallel Corpora from Movie and TV Subtitles. In Proceedings of the 10th International Conference on Language Resources and Evaluation (LREC 2016)",whole,"NA"
14,11,eus_nfi_100.txt,Basque,Basque,eus,"NA",2015,written,non-fiction,prepared_speeches,Latn,"NA",OpenSubtitles2018,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip,http://www.opensubtitles.org/,"http://www.opensubtitles.org/ P. Lison and J. Tiedemann, 2016, OpenSubtitles2016: Extracting Large Parallel Corpora from Movie and TV Subtitles. In Proceedings of the 10th International Conference on Language Resources and Evaluation (LREC 2016)",whole,"NA"
15,11,eus_nfi_101.txt,Basque,Basque,eus,"NA",2015,written,non-fiction,prepared_speeches,Latn,"NA",OpenSubtitles2018,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip,http://www.opensubtitles.org/,"http://www.opensubtitles.org/ P. Lison and J. Tiedemann, 2016, OpenSubtitles2016: Extracting Large Parallel Corpora from Movie and TV Subtitles. In Proceedings of the 10th International Conference on Language Resources and Evaluation (LREC 2016)",whole,"NA"
16,11,eus_nfi_102.txt,Basque,Basque,eus,"NA",2015,written,non-fiction,prepared_speeches,Latn,"NA",OpenSubtitles2018,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip,http://www.opensubtitles.org/,"http://www.opensubtitles.org/ P. Lison and J. Tiedemann, 2016, OpenSubtitles2016: Extracting Large Parallel Corpora from Movie and TV Subtitles. In Proceedings of the 10th International Conference on Language Resources and Evaluation (LREC 2016)",whole,"NA"
17,11,eus_nfi_103.txt,Basque,Basque,eus,"NA",2015,written,non-fiction,prepared_speeches,Latn,"NA",OpenSubtitles2018,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip,http://www.opensubtitles.org/,"http://www.opensubtitles.org/ P. Lison and J. Tiedemann, 2016, OpenSubtitles2016: Extracting Large Parallel Corpora from Movie and TV Subtitles. In Proceedings of the 10th International Conference on Language Resources and Evaluation (LREC 2016)",whole,"NA"
18,11,eus_nfi_104.txt,Basque,Basque,eus,"NA",2015,written,non-fiction,prepared_speeches,Latn,"NA",OpenSubtitles2018,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip,http://www.opensubtitles.org/,"http://www.opensubtitles.org/ P. Lison and J. Tiedemann, 2016, OpenSubtitles2016: Extracting Large Parallel Corpora from Movie and TV Subtitles. In Proceedings of the 10th International Conference on Language Resources and Evaluation (LREC 2016)",whole,"NA"
19,11,eus_nfi_105.txt,Basque,Basque,eus,"NA",2015,written,non-fiction,prepared_speeches,Latn,"NA",OpenSubtitles2018,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip,http://www.opensubtitles.org/,"http://www.opensubtitles.org/ P. Lison and J. Tiedemann, 2016, OpenSubtitles2016: Extracting Large Parallel Corpora from Movie and TV Subtitles. In Proceedings of the 10th International Conference on Language Resources and Evaluation (LREC 2016)",whole,"NA"
20,11,eus_nfi_106.txt,Basque,Basque,eus,"NA",2015,written,non-fiction,prepared_speeches,Latn,"NA",OpenSubtitles2018,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip,http://www.opensubtitles.org/,"http://www.opensubtitles.org/ P. Lison and J. Tiedemann, 2016, OpenSubtitles2016: Extracting Large Parallel Corpora from Movie and TV Subtitles. In Proceedings of the 10th International Conference on Language Resources and Evaluation (LREC 2016)",whole,"NA"
21,11,eus_nfi_107.txt,Basque,Basque,eus,"NA",2015,written,non-fiction,prepared_speeches,Latn,"NA",OpenSubtitles2018,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip,http://www.opensubtitles.org/,"http://www.opensubtitles.org/ P. Lison and J. Tiedemann, 2016, OpenSubtitles2016: Extracting Large Parallel Corpora from Movie and TV Subtitles. In Proceedings of the 10th International Conference on Language Resources and Evaluation (LREC 2016)",whole,"NA"
22,11,eus_nfi_108.txt,Basque,Basque,eus,"NA",2015,written,non-fiction,prepared_speeches,Latn,"NA",OpenSubtitles2018,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip,http://www.opensubtitles.org/,"http://www.opensubtitles.org/ P. Lison and J. Tiedemann, 2016, OpenSubtitles2016: Extracting Large Parallel Corpora from Movie and TV Subtitles. In Proceedings of the 10th International Conference on Language Resources and Evaluation (LREC 2016)",whole,"NA"
23,11,eus_nfi_109.txt,Basque,Basque,eus,"NA",2015,written,non-fiction,prepared_speeches,Latn,"NA",OpenSubtitles2018,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip,http://www.opensubtitles.org/,"http://www.opensubtitles.org/ P. Lison and J. Tiedemann, 2016, OpenSubtitles2016: Extracting Large Parallel Corpora from Movie and TV Subtitles. In Proceedings of the 10th International Conference on Language Resources and Evaluation (LREC 2016)",whole,"NA"
24,11,eus_nfi_11.txt,Basque,Basque,eus,"NA",2016,written,non-fiction,prepared_speeches,Latn,"NA",OpenSubtitles2018,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip,http://www.opensubtitles.org/,"http://www.opensubtitles.org/ P. Lison and J. Tiedemann, 2016, OpenSubtitles2016: Extracting Large Parallel Corpora from Movie and TV Subtitles. In Proceedings of the 10th International Conference on Language Resources and Evaluation (LREC 2016)",whole,"NA"
25,11,eus_nfi_110.txt,Basque,Basque,eus,"NA",2015,written,non-fiction,prepared_speeches,Latn,"NA",OpenSubtitles2018,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip,http://www.opensubtitles.org/,"http://www.opensubtitles.org/ P. Lison and J. Tiedemann, 2016, OpenSubtitles2016: Extracting Large Parallel Corpora from Movie and TV Subtitles. In Proceedings of the 10th International Conference on Language Resources and Evaluation (LREC 2016)",whole,"NA"
26,11,eus_nfi_111.txt,Basque,Basque,eus,"NA",2015,written,non-fiction,prepared_speeches,Latn,"NA",OpenSubtitles2018,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip,http://www.opensubtitles.org/,"http://www.opensubtitles.org/ P. Lison and J. Tiedemann, 2016, OpenSubtitles2016: Extracting Large Parallel Corpora from Movie and TV Subtitles. In Proceedings of the 10th International Conference on Language Resources and Evaluation (LREC 2016)",whole,"NA"
27,11,eus_nfi_112.txt,Basque,Basque,eus,"NA",2015,written,non-fiction,prepared_speeches,Latn,"NA",OpenSubtitles2018,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip,http://www.opensubtitles.org/,"http://www.opensubtitles.org/ P. Lison and J. Tiedemann, 2016, OpenSubtitles2016: Extracting Large Parallel Corpora from Movie and TV Subtitles. In Proceedings of the 10th International Conference on Language Resources and Evaluation (LREC 2016)",whole,"NA"
28,11,eus_nfi_113.txt,Basque,Basque,eus,"NA",2015,written,non-fiction,prepared_speeches,Latn,"NA",OpenSubtitles2018,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip,http://www.opensubtitles.org/,"http://www.opensubtitles.org/ P. Lison and J. Tiedemann, 2016, OpenSubtitles2016: Extracting Large Parallel Corpora from Movie and TV Subtitles. In Proceedings of the 10th International Conference on Language Resources and Evaluation (LREC 2016)",whole,"NA"
29,11,eus_nfi_114.txt,Basque,Basque,eus,"NA",2015,written,non-fiction,prepared_speeches,Latn,"NA",OpenSubtitles2018,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip,http://www.opensubtitles.org/,"http://www.opensubtitles.org/ P. Lison and J. Tiedemann, 2016, OpenSubtitles2016: Extracting Large Parallel Corpora from Movie and TV Subtitles. In Proceedings of the 10th International Conference on Language Resources and Evaluation (LREC 2016)",whole,"NA"
30,11,eus_nfi_115.txt,Basque,Basque,eus,"NA",2015,written,non-fiction,prepared_speeches,Latn,"NA",OpenSubtitles2018,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip,http://www.opensubtitles.org/,"http://www.opensubtitles.org/ P. Lison and J. Tiedemann, 2016, OpenSubtitles2016: Extracting Large Parallel Corpora from Movie and TV Subtitles. In Proceedings of the 10th International Conference on Language Resources and Evaluation (LREC 2016)",whole,"NA"
31,11,eus_nfi_116.txt,Basque,Basque,eus,"NA",2015,written,non-fiction,prepared_speeches,Latn,"NA",OpenSubtitles2018,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip,http://www.opensubtitles.org/,"http://www.opensubtitles.org/ P. Lison and J. Tiedemann, 2016, OpenSubtitles2016: Extracting Large Parallel Corpora from Movie and TV Subtitles. In Proceedings of the 10th International Conference on Language Resources and Evaluation (LREC 2016)",whole,"NA"
32,11,eus_nfi_117.txt,Basque,Basque,eus,"NA",2014,written,non-fiction,prepared_speeches,Latn,"NA",OpenSubtitles2018,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip,http://www.opensubtitles.org/,"http://www.opensubtitles.org/ P. Lison and J. Tiedemann, 2016, OpenSubtitles2016: Extracting Large Parallel Corpora from Movie and TV Subtitles. In Proceedings of the 10th International Conference on Language Resources and Evaluation (LREC 2016)",whole,"NA"
33,11,eus_nfi_118.txt,Basque,Basque,eus,"NA",2014,written,non-fiction,prepared_speeches,Latn,"NA",OpenSubtitles2018,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip,http://www.opensubtitles.org/,"http://www.opensubtitles.org/ P. Lison and J. Tiedemann, 2016, OpenSubtitles2016: Extracting Large Parallel Corpora from Movie and TV Subtitles. In Proceedings of the 10th International Conference on Language Resources and Evaluation (LREC 2016)",whole,"NA"
34,11,eus_nfi_119.txt,Basque,Basque,eus,"NA",2014,written,non-fiction,prepared_speeches,Latn,"NA",OpenSubtitles2018,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip,http://www.opensubtitles.org/,"http://www.opensubtitles.org/ P. Lison and J. Tiedemann, 2016, OpenSubtitles2016: Extracting Large Parallel Corpora from Movie and TV Subtitles. In Proceedings of the 10th International Conference on Language Resources and Evaluation (LREC 2016)",whole,"NA"
35,11,eus_nfi_12.txt,Basque,Basque,eus,"NA",2016,written,non-fiction,prepared_speeches,Latn,"NA",OpenSubtitles2018,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip,http://www.opensubtitles.org/,"http://www.opensubtitles.org/ P. Lison and J. Tiedemann, 2016, OpenSubtitles2016: Extracting Large Parallel Corpora from Movie and TV Subtitles. In Proceedings of the 10th International Conference on Language Resources and Evaluation (LREC 2016)",whole,"NA"
36,11,eus_nfi_120.txt,Basque,Basque,eus,"NA",2014,written,non-fiction,prepared_speeches,Latn,"NA",OpenSubtitles2018,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip,http://www.opensubtitles.org/,"http://www.opensubtitles.org/ P. Lison and J. Tiedemann, 2016, OpenSubtitles2016: Extracting Large Parallel Corpora from Movie and TV Subtitles. In Proceedings of the 10th International Conference on Language Resources and Evaluation (LREC 2016)",whole,"NA"
37,11,eus_nfi_121.txt,Basque,Basque,eus,"NA",2014,written,non-fiction,prepared_speeches,Latn,"NA",OpenSubtitles2018,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip,http://www.opensubtitles.org/,"http://www.opensubtitles.org/ P. Lison and J. Tiedemann, 2016, OpenSubtitles2016: Extracting Large Parallel Corpora from Movie and TV Subtitles. In Proceedings of the 10th International Conference on Language Resources and Evaluation (LREC 2016)",whole,"NA"
38,11,eus_nfi_122.txt,Basque,Basque,eus,"NA",2014,written,non-fiction,prepared_speeches,Latn,"NA",OpenSubtitles2018,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip,http://www.opensubtitles.org/,"http://www.opensubtitles.org/ P. Lison and J. Tiedemann, 2016, OpenSubtitles2016: Extracting Large Parallel Corpora from Movie and TV Subtitles. In Proceedings of the 10th International Conference on Language Resources and Evaluation (LREC 2016)",whole,"NA"
39,11,eus_nfi_123.txt,Basque,Basque,eus,"NA",2014,written,non-fiction,prepared_speeches,Latn,"NA",OpenSubtitles2018,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip,http://www.opensubtitles.org/,"http://www.opensubtitles.org/ P. Lison and J. Tiedemann, 2016, OpenSubtitles2016: Extracting Large Parallel Corpora from Movie and TV Subtitles. In Proceedings of the 10th International Conference on Language Resources and Evaluation (LREC 2016)",whole,"NA"
40,11,eus_nfi_124.txt,Basque,Basque,eus,"NA",2014,written,non-fiction,prepared_speeches,Latn,"NA",OpenSubtitles2018,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip,http://www.opensubtitles.org/,"http://www.opensubtitles.org/ P. Lison and J. Tiedemann, 2016, OpenSubtitles2016: Extracting Large Parallel Corpora from Movie and TV Subtitles. In Proceedings of the 10th International Conference on Language Resources and Evaluation (LREC 2016)",whole,"NA"
41,11,eus_nfi_125.txt,Basque,Basque,eus,"NA",2014,written,non-fiction,prepared_speeches,Latn,"NA",OpenSubtitles2018,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip,http://www.opensubtitles.org/,"http://www.opensubtitles.org/ P. Lison and J. Tiedemann, 2016, OpenSubtitles2016: Extracting Large Parallel Corpora from Movie and TV Subtitles. In Proceedings of the 10th International Conference on Language Resources and Evaluation (LREC 2016)",whole,"NA"
42,11,eus_nfi_126.txt,Basque,Basque,eus,"NA",2014,written,non-fiction,prepared_speeches,Latn,"NA",OpenSubtitles2018,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip,http://www.opensubtitles.org/,"http://www.opensubtitles.org/ P. Lison and J. Tiedemann, 2016, OpenSubtitles2016: Extracting Large Parallel Corpora from Movie and TV Subtitles. In Proceedings of the 10th International Conference on Language Resources and Evaluation (LREC 2016)",whole,"NA"
43,11,eus_nfi_127.txt,Basque,Basque,eus,"NA",2014,written,non-fiction,prepared_speeches,Latn,"NA",OpenSubtitles2018,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip,http://www.opensubtitles.org/,"http://www.opensubtitles.org/ P. Lison and J. Tiedemann, 2016, OpenSubtitles2016: Extracting Large Parallel Corpora from Movie and TV Subtitles. In Proceedings of the 10th International Conference on Language Resources and Evaluation (LREC 2016)",whole,"NA"
