"filename","corpus","subcorpus","num.char","chunk.num","huni.chars","hrate.chars","ttr.chars","rm.chars"
"10_non-writing_animal_bhg_0005.txt","non-writing","animal","10",10,2.64643934467102,1.6460172065831,0.7,0
"10_non-writing_animal_bhg_0006.txt","non-writing","animal","10",1,1.68547529722733,1.35564946048022,0.4,0.111111111111111
"10_non-writing_animal_bhg_0006.txt","non-writing","animal","10",2,2.37095059445467,1.62526533161915,0.6,0
"10_non-writing_animal_bhg_0006.txt","non-writing","animal","10",3,2.04643934467102,1.42642297384579,0.5,0
"10_non-writing_animal_bhg_0006.txt","non-writing","animal","10",4,1.68547529722733,1.35564946048022,0.4,0.111111111111111
"10_non-writing_animal_bhg_0006.txt","non-writing","animal","10",5,2.04643934467102,1.45916892687479,0.5,0.111111111111111
"10_non-writing_animal_bhg_0006.txt","non-writing","animal","10",6,2.04643934467102,1.42642297384579,0.5,0
"10_non-writing_animal_bhg_0006.txt","non-writing","animal","10",7,2.04643934467102,1.35564946048022,0.5,0.111111111111111
"10_non-writing_animal_bhg_0006.txt","non-writing","animal","10",8,2.37095059445467,1.62526533161915,0.6,0
"10_non-writing_animal_bhg_0006.txt","non-writing","animal","10",9,2.04643934467102,1.42642297384579,0.5,0
"10_non-writing_animal_bhg_0006.txt","non-writing","animal","10",10,1.29546184423832,1.18955305573585,0.3,0.222222222222222
"10_non-writing_animal_bhg_0007.txt","non-writing","animal","10",1,2.04643934467102,1.47992080183873,0.5,0.111111111111111
"10_non-writing_animal_bhg_0007.txt","non-writing","animal","10",2,2.64643934467102,1.74691330198296,0.7,0.111111111111111
"10_non-writing_animal_bhg_0007.txt","non-writing","animal","10",3,2.32192809488736,1.61414571055233,0.6,0
"10_non-writing_animal_bhg_0007.txt","non-writing","animal","10",4,2.44643934467102,1.50564946048022,0.6,0
"10_non-writing_animal_bhg_0007.txt","non-writing","animal","10",5,2.64643934467102,1.75451345665521,0.7,0
"10_non-writing_animal_bhg_0007.txt","non-writing","animal","10",6,2.32192809488736,1.62321222254675,0.6,0
"10_non-writing_animal_bhg_0007.txt","non-writing","animal","10",7,2.17095059445467,1.37992080183873,0.5,0.111111111111111
"10_non-writing_animal_bhg_0007.txt","non-writing","animal","10",8,2.64643934467102,1.74691330198296,0.7,0
"10_non-writing_animal_bhg_0007.txt","non-writing","animal","10",9,2.12192809488736,1.49339383558839,0.5,0
"10_non-writing_animal_bhg_0007.txt","non-writing","animal","10",10,2.17095059445467,1.38955305573585,0.5,0
"10_non-writing_animal_bhg_0008.txt","non-writing","animal","10",1,2.17095059445467,1.3960172065831,0.5,0
"10_non-writing_animal_bhg_0008.txt","non-writing","animal","10",2,2.37095059445467,1.70451345665521,0.6,0
"10_non-writing_animal_bhg_0008.txt","non-writing","animal","10",3,2.32192809488736,1.69339383558839,0.6,0.111111111111111
"10_non-writing_animal_bhg_0008.txt","non-writing","animal","10",4,2.17095059445467,1.3960172065831,0.5,0
"10_non-writing_animal_bhg_0008.txt","non-writing","animal","10",5,2.64643934467102,1.77264196062445,0.7,0
"10_non-writing_animal_bhg_0008.txt","non-writing","animal","10",6,2.32192809488736,1.57585271192349,0.6,0
"10_non-writing_animal_bhg_0008.txt","non-writing","animal","10",7,2.44643934467102,1.52992080183873,0.6,0
"10_non-writing_animal_bhg_0008.txt","non-writing","animal","10",8,2.37095059445467,1.62526533161915,0.6,0
"10_non-writing_animal_bhg_0008.txt","non-writing","animal","10",9,2.32192809488736,1.57585271192349,0.6,0
