"object_id","ensemble_id","archaeological_period","archaeological_unit","site_name","site_id","location","country","latitude","longitude","coord_precision","coord_reference","layer","dating_method","date_bp_min","min_lab_number","date_bp_max","max_lab_number","excavation_year","material","material_species","object_type","associated_species","length_mm","width_mm","depth_mm","preservation","collection","collection_id","sign_coding","coding_certainty","coding_clean","coding_random","num.tokens","num.types","huni.chars","hrate.chars","hrate.chars.random","ttr.chars","rm.chars"
"gkl0012",NA,"Upper Paleolithic","Aurignacian","Geissenklösterle","gkl","Blaubeuren-Weiler","Germany",48.398333,9.772222,"precise","wikipedia","II","C14","30625±796","H 4147-3346","33700±825","H 4751-4404","1975","ivory","Mammuthus primigenius","figurine zoomorph","Mammuthus primigenius",67,38,3,"fragmented","LMW Stuttgart","Find No.: 38-7","||||| _ ¤¤¤¤¤¤¤¤¤¤¤¤¤¤¤ _ ///// _ ||||| _ ¤¤¤¤¤¤¤ _ ||| |||| _ || _ | | || | | | _ lllll | | _ ////! _ ///! ¤¤¤¤!","certain","|||||_¤¤¤¤¤¤¤¤¤¤¤¤¤¤¤_/////_|||||_¤¤¤¤¤¤¤_||| ||||_||_| | || | | |_lllll | |_////_/// ¤¤¤¤","||_/// ¤¤¤¤_||| ||||_////_|||||_¤¤¤¤¤¤¤¤¤¤¤¤¤¤¤_¤¤¤¤¤¤¤_lllll | |_/////_|||||_| | || | | |",90,6,2.34524013039383,1.56626928055031,1.39461051888073,0.0666666666666667,0.573033707865168
"gkl0013",NA,"Upper Paleolithic","Aurignacian","Geissenklösterle","gkl","Blaubeuren-Weiler","Germany",48.398333,9.772222,"precise","wikipedia","II","C14","30625±796","H 4147-3346","33700±825","H 4751-4404","1974","ivory","Mammuthus primigenius","possible flute","",25,8,3,"fragmented","Universität Tübingen","Find No.: 46-555","!vvvvvvvv","very certain","vvvvvvvv","vvvvvvvv",8,1,0,0.634341506468835,0.634341506468835,0.125,1
"gkl0014",NA,"Upper Paleolithic","Aurignacian","Geissenklösterle","gkl","Blaubeuren-Weiler","Germany",48.398333,9.772222,"precise","wikipedia","II","C14","30625±796","H 4147-3346","33700±825","H 4751-4404","","antler","Rangifer tarandus","personal ornament","",132,5,4,"almost complete","LMW Stuttgart","Find No.: 47-59","v!vvvvv!vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ vvvvv!vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv","certain","vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv_vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv","vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv_vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv",79,2,0.0979405827181741,0.573960494119317,0.562682810216428,0.0253164556962025,0.974358974358974
"gkl0015",NA,"Upper Paleolithic","Aurignacian","Geissenklösterle","gkl","Blaubeuren-Weiler","Germany",48.398333,9.772222,"precise","wikipedia","II","C14","30625±796","H 4147-3346","33700±825","H 4751-4404","1973","bone","undetermined","tube/flute","",50,8,6,"fragmented","URMU Blaubeuren","Find No.: 47-9000.1.1.","!vvvvvvvv! _ !vvvvvvvvv!","very certain","vvvvvvvv_vvvvvvvvv","vvvvvvvv_vvvvvvvvv",18,2,0.309543429150325,0.879904633950831,0.879904633950831,0.111111111111111,0.882352941176471
"gkl0017",NA,"Upper Paleolithic","Aurignacian","Geissenklösterle","gkl","Blaubeuren-Weiler","Germany",48.398333,9.772222,"precise","wikipedia","II","C14","30625±796","H 4147-3346","33700±825","H 4751-4404","1973","bone","undetermined","tube/flute","",35,6,2,"fragmented","URMU Blaubeuren","Find No.: 47-9000.1.3","!v vv vv","certain","v vv vv","v vv vv",7,2,0.863120568566631,0.734042128859753,0.734042128859753,0.285714285714286,0.333333333333333
"gkl0018",NA,"Upper Paleolithic","Aurignacian","Geissenklösterle","gkl","Blaubeuren-Weiler","Germany",48.398333,9.772222,"precise","wikipedia","II","C14","30625±796","H 4147-3346","33700±825","H 4751-4404","1973","bone","undetermined","tube/flute","",30,8,4,"fragmented","URMU Blaubeuren","Find No.: 47-9000.2","!v v v vv vv! _ !vv v v!","certain","v v v vv vv_vv v v","vv v v_v v v vv vv",18,3,1.19417373425691,1.08937474489769,1.01779620316358,0.166666666666667,0.176470588235294
"gkl0019",NA,"Upper Paleolithic","Aurignacian","Geissenklösterle","gkl","Blaubeuren-Weiler","Germany",48.398333,9.772222,"precise","wikipedia","II","C14","30625±796","H 4147-3346","33700±825","H 4751-4404","1974","ivory","Mammuthus primigenius","possible flute","",24,6,2,"fragmented","Universität Tübingen","Find No.: 47- without No.","!vvvvvvvv","very certain","vvvvvvvv","vvvvvvvv",8,1,0,0.634341506468835,0.634341506468835,0.125,1
"gkl0020",NA,"Upper Paleolithic","Aurignacian","Geissenklösterle","gkl","Blaubeuren-Weiler","Germany",48.398333,9.772222,"precise","wikipedia","II","C14","30625±796","H 4147-3346","33700±825","H 4751-4404","1974","ivory","Mammuthus primigenius","possible flute","",17,2,2,"fragmented","Universität Tübingen","Find No.: 48-125","!vvvvv!","very certain","vvvvv","vvvvv",5,1,0,0.571190309536813,0.571190309536813,0.2,1
"gkl0021",NA,"Upper Paleolithic","Aurignacian","Geissenklösterle","gkl","Blaubeuren-Weiler","Germany",48.398333,9.772222,"precise","wikipedia","II","C14","30625±796","H 4147-3346","33700±825","H 4751-4404","1974 2004","ivory","Mammuthus primigenius","flute","",187,12,11,"almost complete","URMU Blaubeuren","Find No.: 48-without No.","vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv! _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv!","very certain","vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv_vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv","vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv_vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv",113,2,0.0730661193138456,0.463709305887537,0.496736307612429,0.0176991150442478,0.982142857142857
"gkl0022",NA,"Upper Paleolithic","Aurignacian","Geissenklösterle","gkl","Blaubeuren-Weiler","Germany",48.398333,9.772222,"precise","wikipedia","III","C14","30100±550","OxA-6256","36560+410/-390","KIA 16032","1987","ivory","Mammuthus primigenius","rod/baton","",11,3,4,"fragmented","Universität Tübingen","Find No.: 56-802","!OOOOO!","very certain","OOOOO","OOOOO",5,1,0,0.571190309536813,0.571190309536813,0.2,1
"gkl0023",NA,"Upper Paleolithic","Aurignacian","Geissenklösterle","gkl","Blaubeuren-Weiler","Germany",48.398333,9.772222,"precise","wikipedia","III","C14","30100±550","OxA-6256","36560+410/-390","KIA 16032","1989","ivory","Mammuthus primigenius","possible flute","",47,3,2,"fragmented","Universität Tübingen","Find No.: 56-975","!vvvvvvvvvvvvvvvvvvv!","very certain","vvvvvvvvvvvvvvvvvvv","vvvvvvvvvvvvvvvvvvv",19,1,0,0.611667314589297,0.611667314589297,0.0526315789473684,1
