"tablet.id","signs.orig.vec","signs.expand.vec","num.char","huni.chars","hrate.chars","ttr.chars","rm.chars"
"P000568","1(N01) _ SI _ MUSZEN _ 1(N01) _ GISZ3~b _ MUSZEN _ 1(N01) _ MUSZEN#","N01 _ SI _ MUSZEN _ N01 _ GISZ3~b _ MUSZEN _ N01 _ MUSZEN",8,1.81127812445913,1.20902777794305,0.5,"0"
"P000569","1(N01)# _ SAL _ NE~a# _ 1(N01)# _ AL# _ GAR _ 1(N01)#","N01 _ SAL _ NE~a _ N01 _ AL _ GAR _ N01",7,2.12808527889139,1.41364722247978,0.714285714285714,"0"
"P000570","GIR2~a# _ NAGA~a _ E2~a _ NAGA~a#","GIR2~a _ NAGA~a _ E2~a _ NAGA~a",4,1.5,0.896240625180289,0.75,"0"
"P000571","URU~a1# _ 1(N01) _ NAM2 _ ERIN# _ 1(N01)# _ GAL~a#","URU~a1 _ N01 _ NAM2 _ ERIN _ N01 _ GAL~a",6,2.25162916738782,1.38848150814767,0.833333333333333,"0"
"P000572","NAM2# _ DI# _ 1(N01) _ NAM2 _ NAM2 _ 1(N01) _ NAM2# _ URU~a1 _ 1(N01) _ NAM2 _ ERIN# _ EN~a# _ IB~a# _ 1(N01)# _ GAL~a# _ SZITA~a1 _ 1(N01)# _ ABGAL# _ 1(N01)# _ KINGAL# _ 1(N01)# _ GAL~a# _ 1(N34)","NAM2 _ DI _ N01 _ NAM2 _ NAM2 _ N01 _ NAM2 _ URU~a1 _ N01 _ NAM2 _ ERIN _ EN~a _ IB~a _ N01 _ GAL~a _ SZITA~a1 _ N01 _ ABGAL _ N01 _ KINGAL _ N01 _ GAL~a _ N34",23,3.07742608958571,2.3548346796293,0.521739130434783,"0.0454545454545455"
"P000573","1(N01) _ KISIM~b# _ 1(N01) _ NI~b _ 1(N01) _ HI _ NI~b _ 1(N01) _ |NI~bx4(N57)| _ 1(N01)# _ 1(N01) _ |DUG~bxX|# _ 1(N01)","N01 _ KISIM~b _ N01 _ NI~b _ N01 _ HI _ NI~b _ N01 _ |NI~bx4(N57)| _ N01 _ N01 _ |DUG~bxX| _ N01",13,2.03494091395623,1.68999846081084,0.461538461538462,"0.0833333333333333"
"P000575","IDIGNA# _ ISZ~b _ 1(N01)# _ 1(N01) _ TUR _ SIG2~a1# _ 1(N01) _ GI# _ 1(N01)","IDIGNA _ ISZ~b _ N01 _ N01 _ TUR _ SIG2~a1 _ N01 _ GI _ N01",9,2.28103611255342,1.60894367311996,0.666666666666667,"0.125"
"P000576","EN~a# _ IB~a# _ GAL~a# _ SZITA~a1 _ ABGAL _ 1(N01)# _ KINGAL# _ 1(N01)# _ GAL~a _ TE# _ GAL~a _ SUKKAL# _ 1(N01)# _ 1(N01)#","EN~a _ IB~a _ GAL~a _ SZITA~a1 _ ABGAL _ N01 _ KINGAL _ N01 _ GAL~a _ TE _ GAL~a _ SUKKAL _ N01 _ N01",14,2.89629152904593,1.9839053031525,0.642857142857143,"0.0769230769230769"
"P000577","MUSZEN# _ MUSZEN# _ MUSZEN# _ MUSZ# _ MUSZEN# _ NI2# _ MUSZEN# _ 1(N01) _ SZA _ MUSZEN _ 1(N01) _ ZI~a _ BA _ MUSZEN _ 1(N01) _ DU _ IR~a _ MUSZEN _ 1(N01)# _ UR5~b# _ 1(N01) _ UR5~b _ MUSZEN# _ 1(N01) _ NAGA~a _ U2~b _ MUSZEN _ 1(N01) _ NAGA~a _ U2~b _ UR5~b# _ MUSZEN _ 1(N01)#","MUSZEN _ MUSZEN _ MUSZEN _ MUSZ _ MUSZEN _ NI2 _ MUSZEN _ N01 _ SZA _ MUSZEN _ N01 _ ZI~a _ BA _ MUSZEN _ N01 _ DU _ IR~a _ MUSZEN _ N01 _ UR5~b _ N01 _ UR5~b _ MUSZEN _ N01 _ NAGA~a _ U2~b _ MUSZEN _ N01 _ NAGA~a _ U2~b _ UR5~b _ MUSZEN _ N01",33,2.89867789792895,2.19308439528021,0.363636363636364,"0.0625"
"P000578","SZE~a# _ SZE~a@t _ A _ |SZE~a&SZE~a|# _ 1(N01) _ 1(N01)","SZE~a _ SZE~a@t _ A _ |SZE~a&SZE~a| _ N01 _ N01",6,2.25162916738782,1.36656197432818,0.833333333333333,"0.2"
"P000579","DA~a# _ GA~b _ GARA2~a# _ AB2# _ 1(N01)# _ 1(N01)# _ NAR _ 1(N01) _ UB _ SZA3~a1# _ 1(N01) _ GAR _ 5(N01) _ MUNU3# _ 5(N01) _ GAZI# _ 5(N01)#","DA~a _ GA~b _ GARA2~a _ AB2 _ N01 _ N01 _ NAR _ N01 _ UB _ SZA3~a1 _ N01 _ GAR _ N01 N01 N01 N01 N01 _ MUNU3 _ N01 N01 N01 N01 N01 _ GAZI _ N01 N01 N01 N01 N01",29,2.0748560725266,1.84838084744789,0.379310344827586,"0.464285714285714"
"P000580","1(N01) _ 1(N01)# _ SZELU# _ 1(N01) _ GISZIMMAR~b1# _ 1(N01) _ GISZIMMAR~b1 _ ME~a","N01 _ N01 _ SZELU _ N01 _ GISZIMMAR~b1 _ N01 _ GISZIMMAR~b1 _ ME~a",8,1.75,1.33402777794305,0.5,"0.142857142857143"
"P000581","MES _ SZU# _ SZA# _ 1(N01) _ LI#","MES _ SZU _ SZA _ N01 _ LI",5,2.32192809488736,1.3813781191217,1,"0"
"P000582","1(N01) _ GAL~a _ IM~a _ 1(N01) _ TUR _ IM~a _ GAL~a# _ SZA# _ GAL~a# _ ERIN# _ 1(N01) _ GAL~a# _ SANGA~a# _ 1(N01) _ DUB~a# _ 1(N01) _ SUG5# _ 1(N01) _ UB# _ 1(N01)# _ AN# _ 1(N01)# _ 1(N01)# _ 1(N01)# _ AN#","N01 _ GAL~a _ IM~a _ N01 _ TUR _ IM~a _ GAL~a _ SZA _ GAL~a _ ERIN _ N01 _ GAL~a _ SANGA~a _ N01 _ DUB~a _ N01 _ SUG5 _ N01 _ UB _ N01 _ AN _ N01 _ N01 _ N01 _ AN",25,2.83508495181978,2.25127811368281,0.44,"0.0833333333333333"
"P000583","1(N01)# _ KISIM~b# _ 1(N01) _ NI~b _ HI# _ NI~b _ NI~b# _ 1(N01) _ |DUG~bxKASKAL|# _ 1(N01) _ KASZ~b _ 1(N01) _ |DUG~bxX|# _ 1(N01)#","N01 _ KISIM~b _ N01 _ NI~b _ HI _ NI~b _ NI~b _ N01 _ |DUG~bxKASKAL| _ N01 _ KASZ~b _ N01 _ |DUG~bxX| _ N01",14,2.35987902873686,1.85696336812079,0.5,"0.0769230769230769"
"P000584","1(N01) _ GA'AR~a1# _ 1(N01)# _ SZE3@t _ GA'AR~a1# _ GA'AR~a1 _ GA'AR~a1#","N01 _ GA'AR~a1 _ N01 _ SZE3@t _ GA'AR~a1 _ GA'AR~a1 _ GA'AR~a1",7,1.37878349348618,1.09280057274195,0.428571428571429,"0.333333333333333"
"P000585","MA _ 1(N01) _ HASZHUR# _ 1(N01) _ ZATU735~b# _ 1(N01) _ |HASZHURxMA|# _ 1(N01) _ GISZ _ 1(N01) _ 1(N01) _ |SILA3~axNAGA~a| _ 1(N01) _ EN~a# _ 1(N01)# _ 1(N01) _ SZE~a _ 1(N01) _ KUSZU2~b _ 1(N01) _ 1(N01) _ 1(N01)# _ 1(N01)","MA _ N01 _ HASZHUR _ N01 _ ZATU735~b _ N01 _ |HASZHURxMA| _ N01 _ GISZ _ N01 _ N01 _ |SILA3~axNAGA~a| _ N01 _ EN~a _ N01 _ N01 _ SZE~a _ N01 _ KUSZU2~b _ N01 _ N01 _ N01 _ N01",23,2.2060415687176,2.07328370951427,0.434782608695652,"0.227272727272727"
"P000586","1(N01) _ 1(N01) _ E2~b _ 1(N01) _ 1(N01) _ PAP~a _ |SILA3~bxNI~b| _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ AN _ NU11","N01 _ N01 _ E2~b _ N01 _ N01 _ PAP~a _ |SILA3~bxNI~b| _ N01 _ N01 _ N01 _ N01 _ AN _ NU11",13,1.85428587198725,1.65261382291547,0.461538461538462,"0.416666666666667"
"P000587","SAG _ 1(N01) _ KU3~a _ E2~a# _ |1(N57).SZUBUR|# _ 1(N01) _ SZEN~c","SAG _ N01 _ KU3~a _ E2~a _ |1(N57).SZUBUR| _ N01 _ SZEN~c",7,2.52164063634332,1.57238953828953,0.857142857142857,"0"
"P000588","1(N01) _ 1(N01) _ SZELU# _ 1(N01)","N01 _ N01 _ SZELU _ N01",4,0.811278124459133,0.771240625180289,0.5,"0.333333333333333"
"P000589","1(N01)# _ NAM2# _ KAB# _ 1(N01)# _ NAM2# _ DI _ 1(N01)# _ NAM2 _ NAM2 _ 1(N01) _ NAM2 _ URU~a1 _ 1(N01) _ NAM2 _ ERIN _ 1(N01) _ GAL~a _ SZUBUR _ 1(N01) _ EN~a _ IB~a _ 1(N01) _ GAL~a _ SZITA~a1 _ 1(N01) _ ABGAL# _ 1(N01) _ 1(N01) _ GAL~a _ TE _ 1(N01) _ GAL~a# _ SUKKAL# _ 1(N01) _ SUKKAL# _ GADA~a# _ 1(N01) _ GAL~a _ GA~a _ 1(N01) _ SIG2~a1 _ GA~a _ 1(N01) _ GAL~a _ 1(N01) _ GAL~a _ 1(N01) _ GAL~a _ SILA4~a _ 1(N01) _ GAL~a# _ SZAB~a# _ 1(N01) _ BU~a# _ GAL~a# _ NESAG2~b# _ 1(N01) _ GAL~a# _ 1(N01) _ GAL~a# _ UMUN2# _ 1(N01) _ 1(N01) _ UMUN2 _ SANGA~a _ 1(N01) _ UMUN2 _ KU3~a _ 1(N01) _ GAL~a _ AK~a# _ 1(N01) _ 1(N01) _ 1(N01) _ GAL~a# _ SZA _ 1(N01) _ GAL~a# _ ERIN _ 1(N01) _ GAL~a# _ GURUSZ~a _ 1(N01) _ GAL~a _ |ZATU737xDI|# _ 1(N01)# _ 1(N01) _ GAL~a# _ 1(N01) _ GAL~a _ 1(N01) _ 1(N01) _ SUG5# _ SAG# _ 1(N01) _ UB _ SAG _ 1(N01) _ ZATU725 _ 1(N01)","N01 _ NAM2 _ KAB _ N01 _ NAM2 _ DI _ N01 _ NAM2 _ NAM2 _ N01 _ NAM2 _ URU~a1 _ N01 _ NAM2 _ ERIN _ N01 _ GAL~a _ SZUBUR _ N01 _ EN~a _ IB~a _ N01 _ GAL~a _ SZITA~a1 _ N01 _ ABGAL _ N01 _ N01 _ GAL~a _ TE _ N01 _ GAL~a _ SUKKAL _ N01 _ SUKKAL _ GADA~a _ N01 _ GAL~a _ GA~a _ N01 _ SIG2~a1 _ GA~a _ N01 _ GAL~a _ N01 _ GAL~a _ N01 _ GAL~a _ SILA4~a _ N01 _ GAL~a _ SZAB~a _ N01 _ BU~a _ GAL~a _ NESAG2~b _ N01 _ GAL~a _ N01 _ GAL~a _ UMUN2 _ N01 _ N01 _ UMUN2 _ SANGA~a _ N01 _ UMUN2 _ KU3~a _ N01 _ GAL~a _ AK~a _ N01 _ N01 _ N01 _ GAL~a _ SZA _ N01 _ GAL~a _ ERIN _ N01 _ GAL~a _ GURUSZ~a _ N01 _ GAL~a _ |ZATU737xDI| _ N01 _ N01 _ GAL~a _ N01 _ GAL~a _ N01 _ N01 _ SUG5 _ SAG _ N01 _ UB _ SAG _ N01 _ ZATU725 _ N01",100,3.42533209920059,3.04066391815569,0.32,"0.0707070707070707"
