"k","accuracy","precision","recall","f1"
1,0.88,0.66,0.58,0.62
2,0.89,0.66,0.7,0.68
3,0.88,0.66,0.63,0.64
4,0.89,0.68,0.65,0.67
5,0.89,0.68,0.65,0.67
6,0.89,0.7,0.67,0.68
7,0.89,0.7,0.65,0.67
8,0.89,0.7,0.65,0.67
9,0.9,0.71,0.67,0.69
10,0.9,0.71,0.67,0.69
