"k","accuracy","precision","recall","f1"
1,0.72,0.7,0.73,0.71
2,0.72,0.69,0.73,0.71
3,0.76,0.74,0.76,0.75
4,0.74,0.71,0.76,0.74
5,0.78,0.77,0.76,0.76
6,0.78,0.76,0.77,0.77
7,0.78,0.76,0.76,0.76
8,0.77,0.76,0.75,0.76
9,0.78,0.77,0.76,0.77
10,0.78,0.77,0.76,0.76
