"k","accuracy","precision","recall","f1"
1,0.64,0.68,0.78,0.73
2,0.66,0.69,0.82,0.75
3,0.72,0.74,0.85,0.79
4,0.75,0.76,0.88,0.82
5,0.74,0.75,0.88,0.81
6,0.72,0.74,0.85,0.79
7,0.7,0.72,0.85,0.78
8,0.72,0.72,0.9,0.8
9,0.73,0.72,0.93,0.81
10,0.75,0.72,0.98,0.83
