"k","accuracy","precision","recall","f1"
1,1,0.96,1,0.98
2,1,0.96,1,0.98
3,1,0.96,1,0.98
4,0.99,0.96,0.96,0.96
5,1,0.96,1,0.98
6,1,0.96,1,0.98
7,0.99,0.89,1,0.94
8,0.99,0.89,1,0.94
9,0.99,0.89,1,0.94
10,0.99,0.89,1,0.94
