"k","accuracy","precision","recall","f1"
1,1,1,0.98,0.99
2,1,1,0.98,0.99
3,1,1,0.98,0.99
4,1,1,1,1
5,1,1,1,1
6,1,1,1,1
7,1,1,1,1
8,1,1,1,1
9,1,1,1,1
10,0.99,1,0.97,0.98
