"k","accuracy","precision","recall","f1"
1,0.93,0.79,0.82,0.8
2,0.92,0.77,0.77,0.77
3,0.93,0.78,0.78,0.78
4,0.93,0.78,0.78,0.78
5,0.93,0.81,0.77,0.79
6,0.93,0.8,0.75,0.78
7,0.92,0.79,0.73,0.76
8,0.93,0.8,0.75,0.78
9,0.93,0.82,0.78,0.8
10,0.93,0.82,0.75,0.78
