"tablet.id","signs.orig.vec","signs.expand.vec"
"P000753","1(N14) _ 9(N01)# _ 5(N01) _ 3(N01)# _ 1(N01) _ 6(N01) _ 5(N01)","N14 _ N01 N01 N01 N01 N01 N01 N01 N01 N01 _ N01 N01 N01 N01 N01 _ N01 N01 N01 _ N01 _ N01 N01 N01 N01 N01 N01 _ N01 N01 N01 N01 N01"
"P000754","2(N01)# _ 2(N01)# _ 2(N01) _ 1(N01)#","N01 N01 _ N01 N01 _ N01 N01 _ N01"
"P000755","4(N14)# _ 4(N01)#","N14 N14 N14 N14 _ N01 N01 N01 N01"
"P000793","4(N01) _ 1(N01)","N01 N01 N01 N01 _ N01"
"P000795","3(N01)","N01 N01 N01"
"P000796","5(N01)# _ 5(N01)# _ 1(N01)# _ 2(N01)#","N01 N01 N01 N01 N01 _ N01 N01 N01 N01 N01 _ N01 _ N01 N01"
"P000797","2(N14)#","N14 N14"
"P000798","2(N01)","N01 N01"
"P000901","2(N01)","N01 N01"
"P000902","2(N34) _ 5(N01)#","N34 N34 _ N01 N01 N01 N01 N01"
"P000904","2(N01)#","N01 N01"
"P000906","2(N34)# _ 2(N14)# _ 3(N01)","N34 N34 _ N14 N14 _ N01 N01 N01"
"P000929","7(N01)","N01 N01 N01 N01 N01 N01 N01"
"P000932","4(N01)#","N01 N01 N01 N01"
"P000944","3(N01) _ 2(N01)","N01 N01 N01 _ N01 N01"
"P000842","2(N14)# _ 5(N01)#","N14 N14 _ N01 N01 N01 N01 N01"
"P000843","3(N01)#","N01 N01 N01"
"P000845","2(N01)","N01 N01"
"P000970","4(N01)# _ 4(N01)#","N01 N01 N01 N01 _ N01 N01 N01 N01"
"P000974","1(N14) _ 5(N01)#","N14 _ N01 N01 N01 N01 N01"
"P000987","8(N01) _ 1(N01) _ 2(N01) _ 6(N01)# _ 2(N14) _ 2(N01)","N01 N01 N01 N01 N01 N01 N01 N01 _ N01 _ N01 N01 _ N01 N01 N01 N01 N01 N01 _ N14 N14 _ N01 N01"
"P249252","5(N14)","N14 N14 N14 N14 N14"
"P235754","2(N34) _ 7(N14) _ 5(N01)#","N34 N34 _ N14 N14 N14 N14 N14 N14 N14 _ N01 N01 N01 N01 N01"
"P235755","10(N14) _ 3(N01)","N14 N14 N14 N14 N14 N14 N14 N14 N14 N14 _ N01 N01 N01"
"P235756","2(N45) _ 4(N14)","N45 N45 _ N14 N14 N14 N14"
"P235757","1(N45) _ 7(N14)","N45 _ N14 N14 N14 N14 N14 N14 N14"
"P235759","3(N34)# _ 22(N14) _ 5(N01)#","N34 N34 N34 _ N14 N14 N14 N14 N14 N14 N14 N14 N14 N14 N14 N14 N14 N14 N14 N14 N14 N14 N14 N14 N14 N14 _ N01 N01 N01 N01 N01"
"P235760","10(N14)","N14 N14 N14 N14 N14 N14 N14 N14 N14 N14"
"P235761","5(N14) _ 5(N01)","N14 N14 N14 N14 N14 _ N01 N01 N01 N01 N01"
"P235762","5(N01)","N01 N01 N01 N01 N01"
"P235763","4(N01)","N01 N01 N01 N01"
"P235766","3(N01)","N01 N01 N01"
"P235767","11(N14) _ 3(N01)","N14 N14 N14 N14 N14 N14 N14 N14 N14 N14 N14 _ N01 N01 N01"
"P235768","1(N14) _ 5(N01)","N14 _ N01 N01 N01 N01 N01"
"P235769","3(N14)#","N14 N14 N14"
"P235770","1(N14) _ 4(N01) _ 3(N01)","N14 _ N01 N01 N01 N01 _ N01 N01 N01"
