"tablet.id","signs.orig.vec","signs.expand.vec","num.char","huni.chars","hrate.chars","ttr.chars","rm.chars"
"P000304","1(N01) _ NI~b _ 1(N01) _ HI _ NI~b _ 1(N01) _ 10(N58) _ NI~b _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N34) _ 2(N14)","N01 _ NI~b _ N01 _ HI _ NI~b _ N01 _ N58 N58 N58 N58 N58 N58 N58 N58 N58 N58 _ NI~b _ N01 _ N01 _ N01 _ N01 _ N01 _ N01 _ N01 _ N01 _ N01 _ N01 _ N01 _ N01 _ N01 _ N34 _ N14 N14",55,2.10714763968725,1.30118660737668,0.127272727272727,"0.185185185185185"
"P000305","1(N01) _ GISZ _ SI _ KAK~a _ 1(N01) _ GISZ _ SI _ 1(N01) _ GISZ _ BAD _ 1(N01) _ GISZ _ |BAD&BAD| _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01)","N01 _ GISZ _ SI _ KAK~a _ N01 _ GISZ _ SI _ N01 _ GISZ _ BAD _ N01 _ GISZ _ |BAD&BAD| _ N01 _ N01 _ N01 _ N01",33,2.07469714966148,1.47254584487923,0.212121212121212,"0"
"P000306","1(N01) _ GISZ _ NU11 _ 1(N01) _ GISZ _ KIN2~c _ 1(N01) _ 1(N01) _ GISZ _ 1(N01) _ 1(N01)","N01 _ GISZ _ NU11 _ N01 _ GISZ _ KIN2~c _ N01 _ N01 _ GISZ _ N01 _ N01",21,1.84546297252333,1.24422827951043,0.238095238095238,"0"
"P000308","KI _ 1(N45) _ KI _ KI _ U2~b _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ AD~a _ 1(N01)","KI _ N45 _ KI _ KI _ U2~b _ N01 _ N01 _ N01 _ N01 _ N01 _ N01 _ AD~a _ N01",25,1.9468193111659,1.43064216852662,0.24,"0"
"P000309","1(N01) _ TUM~b _ ZATU647 _ 1(N01) _ GAL~a _ ZATU647 _ HI _ ZATU647 _ 1(N01)","N01 _ TUM~b _ ZATU647 _ N01 _ GAL~a _ ZATU647 _ HI _ ZATU647 _ N01",17,2.1162996057017,1.49393453375326,0.352941176470588,"0"
"P000310","1(N01) _ 1(N01) _ 1(N01) _ HI _ 1(N01) _ GISZ _ 1(N01) _ BIR3~c _ APIN~a _ 1(N01)","N01 _ N01 _ N01 _ HI _ N01 _ GISZ _ N01 _ BIR3~c _ APIN~a _ N01",19,1.9300801441116,1.65986985388598,0.315789473684211,"0"
"P000311","1(N01) _ NIMGIR _ 1(N01) _ U2~b _ NAGA~a _ MUSZEN _ ZATU647 _ BA _ IM~a","N01 _ NIMGIR _ N01 _ U2~b _ NAGA~a _ MUSZEN _ ZATU647 _ BA _ IM~a",17,2.55805107654446,2.09647336698124,0.529411764705882,"0"
"P000312","1(N01) _ BALA~a _ MUSZEN _ RAD~a _ ISZ~b","N01 _ BALA~a _ MUSZEN _ RAD~a _ ISZ~b",9,2.28103611255342,1.63073908549656,0.666666666666667,"0"
"P000313","SIG2~a3 _ 1(N01) _ 1(N01) _ 1(N01)","SIG2~a3 _ N01 _ N01 _ N01",7,1.44881563572518,0.898705260993257,0.428571428571429,"0"
"P000314","1(N01) _ 1(N01) _ BA _ SAG _ 1(N01) _ SIG2~b _ 1(N01) _ KA~a _ 1(N01) _ SZENNUR~a _ 1(N01) _ |EZEN~axSU~a| _ 1(N01) _ GI _ UNUG~a _ 1(N01) _ SZAM2 _ KI _ 1(N01)","N01 _ N01 _ BA _ SAG _ N01 _ SIG2~b _ N01 _ KA~a _ N01 _ SZENNUR~a _ N01 _ |EZEN~axSU~a| _ N01 _ GI _ UNUG~a _ N01 _ SZAM2 _ KI _ N01",37,2.40977836457645,2.19716696608094,0.324324324324324,"0"
"P000315","NA2~a _ 1(N01) _ BA _ 1(N01) _ 1(N01) _ HI _ BA _ SUM~b _ 1(N01) _ SI _ U4 _ KUR~a _ 1(N01) _ PAP~a _ APIN~a _ 1(N01) _ NU _ 1(N01) _ NU _ LUM _ 1(N01) _ EN~a _ 1(N01) _ 1(N01)","NA2~a _ N01 _ BA _ N01 _ N01 _ HI _ BA _ SUM~b _ N01 _ SI _ U4 _ KUR~a _ N01 _ PAP~a _ APIN~a _ N01 _ NU _ N01 _ NU _ LUM _ N01 _ EN~a _ N01 _ N01",47,2.54903127852477,2.1945834335485,0.297872340425532,"0"
"P000316","1(N01) _ 1(N01) _ GAL~a _ SIPA _ 1(N01) _ GAL~a _ GURUSZDA","N01 _ N01 _ GAL~a _ SIPA _ N01 _ GAL~a _ GURUSZDA",13,1.98777337148798,1.3508166897131,0.384615384615385,"0"
"P000317","1(N01) _ 1(N01) _ ZI~a _ GI _ 1(N01) _ |GI&GI| _ SZE3 _ 1(N01) _ APIN~a _ E2~b _ PIRIG~b1 _ 1(N01) _ 1(N01) _ 1(N01) _ TAR~a _ ZATU751~a _ 1(N01) _ 1(N01) _ ZATU751~a","N01 _ N01 _ ZI~a _ GI _ N01 _ |GI&GI| _ SZE3 _ N01 _ APIN~a _ E2~b _ PIRIG~b1 _ N01 _ N01 _ N01 _ TAR~a _ ZATU751~a _ N01 _ N01 _ ZATU751~a",37,2.3557243105224,1.98036869911807,0.297297297297297,"0"
"P000318","1(N01) _ GAL~a _ 1(N01) _ UNUG~a _ 1(N01) _ KAK~a _ DUG~a _ NU11 _ 1(N01) _ 1(N01) _ 1(N01)","N01 _ GAL~a _ N01 _ UNUG~a _ N01 _ KAK~a _ DUG~a _ NU11 _ N01 _ N01 _ N01",21,2.07188618691207,1.67366891308316,0.333333333333333,"0"
"P000319","BA _ IM~a _ AD~a _ NI~a _ ASAR _ KU~a _ DU6~a","BA _ IM~a _ AD~a _ NI~a _ ASAR _ KU~a _ DU6~a",13,2.50738010242364,1.94538218492705,0.615384615384615,"0"
"P000320","1(N01) _ 1(N01) _ 1(N01) _ |ZATU737xBUR~a| _ 1(N01) _ UR2 _ KU6~a _ RAD~a _ 1(N01) _ SZIM~a _ RAD~a _ 1(N01) _ AMA~b _ ME~a _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N34) _ |3(N57).PIRIG~b1| _ E2~a","N01 _ N01 _ N01 _ |ZATU737xBUR~a| _ N01 _ UR2 _ KU6~a _ RAD~a _ N01 _ SZIM~a _ RAD~a _ N01 _ AMA~b _ ME~a _ N01 _ N01 _ N01 _ N01 _ N01 _ N01 _ N01 _ N34 _ |3(N57).PIRIG~b1| _ E2~a",47,2.27485180220646,1.90193191721639,0.25531914893617,"0"
"P000321","1(N01) _ GAN2 _ GI4~a _ BU~a _ BAD3~a","N01 _ GAN2 _ GI4~a _ BU~a _ BAD3~a",9,2.28103611255342,1.63073908549656,0.666666666666667,"0"
"P000322","1(N01) _ 1(N01) _ 1(N01) _ NAGA~a _ 1(N01) _ SZU","N01 _ N01 _ N01 _ NAGA~a _ N01 _ SZU",11,1.67673703005213,1.27234882159237,0.363636363636364,"0"
"P000323","A _ 1(N01) _ 1(N01) _ 1(N01) _ KI","A _ N01 _ N01 _ N01 _ KI",9,1.7527152789797,1.14195064440653,0.444444444444444,"0"
"P000324","GAL~a _ 1(N01) _ GAL~a _ 1(N01) _ 1(N01)","GAL~a _ N01 _ GAL~a _ N01 _ N01",9,1.53049305675748,0.912926246624364,0.333333333333333,"0"
"P000325","AN _ A","AN _ A",3,1.58496250072116,0.861654166907052,1,"0"
"P000326","1(N01) _ 1(N01) _ GIR3~c _ 1(N01) _ TI _ A _ 1(N01) _ A _ 1(N01) _ E2~a _ 1(N01) _ KI _ 1(N01) _ 1(N01) _ 1(N01) _ KA~a _ KAR _ 1(N01) _ NUN~a _ A _ 1(N01) _ DU _ KU~b2 _ KASKAL _ 1(N01) _ SZAH2~a _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01)","N01 _ N01 _ GIR3~c _ N01 _ TI _ A _ N01 _ A _ N01 _ E2~a _ N01 _ KI _ N01 _ N01 _ N01 _ KA~a _ KAR _ N01 _ NUN~a _ A _ N01 _ DU _ KU~b2 _ KASKAL _ N01 _ SZAH2~a _ N01 _ N01 _ N01 _ N01",59,2.32948480595738,2.08372096130917,0.23728813559322,"0"
"P000327","AMA~a _ A _ MUSZ3~a _ AMA~a _ A _ 1(N01) _ MA _ UD5~a _ A _ 1(N01) _ ALIM _ A _ 1(N01) _ 1(N01) _ 1(N01) _ NAR _ DUR2 _ SZE3 _ 1(N01) _ RAD~a _ 1(N01) _ HAL _ ZATU751~a _ 1(N01)","AMA~a _ A _ MUSZ3~a _ AMA~a _ A _ N01 _ MA _ UD5~a _ A _ N01 _ ALIM _ A _ N01 _ N01 _ N01 _ NAR _ DUR2 _ SZE3 _ N01 _ RAD~a _ N01 _ HAL _ ZATU751~a _ N01",47,2.6175266178625,2.21389015911556,0.297872340425532,"0"
"P000328","1(N01) _ 1(N01) _ LI _ ZI~a _ MUSZEN _ KU6~a","N01 _ N01 _ LI _ ZI~a _ MUSZEN _ KU6~a",11,2.22219157550668,1.70367325167296,0.545454545454545,"0"
