"object_id","ensemble_id","archaeological_unit","site_name","location","layer","dating_method","date_bp_min","min_lab_number","date_bp_max","max_lab_number","excavation_year","material","object_type","length_mm","width_mm","depth_mm","preservation","sign_coding","coding_certainty","coding_clean","coding_random","num.char","huni.chars","hrate.chars","hrate.chars.random","ttr.chars","rm.chars"
"hss0001","","Aurignacien","Hohlenstein-Stadel",NA,"Au","AMS","35185±270",NA,NA,NA,"1939/1969","ivory","figurine anthropomorph",311,NA,NA,"almost complete","||||||| _ ≠ _ vvv _ v","","||||||| _ ≠ _ vvv _ v","≠ _ ||||||| _ vvv _ v",15,1.74646579850407,1.50198132448951,1.35184271796233,0.266666666666667,"0.571428571428571"
"hss0002","","Aurignacien","Hohlenstein-Stadel",NA,"Au","AMS","35185±270",NA,NA,NA,"2011","animal tooth","personal ornament",29,16,12,"complete","vvvv _ ||||","","vvvv _ ||||","|||| _ vvvv",9,1.39214722366453,1.21376126565913,1.21376126565913,0.333333333333333,"0.75"
"sgr0001","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière",NA,"burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"almost complete","|| |","Uncertain","|| |","|| |",4,0.811278124459133,0.771240625180289,0.771240625180289,0.5,"0.333333333333333"
"sgr0002","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière",NA,"burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","⚹°","Very certain","⚹°","⚹°",2,1,0.5,0.5,1,"0"
"sgr0013","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière",NA,"burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"almost complete","| || |","Very certain","| || |","| || |",6,0.918295834054489,0.726489755391713,0.726489755391713,0.333333333333333,"0.2"
"sgr0016","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière",NA,"burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","||||X","Very certain","||||X","||||X",5,0.721928094887362,0.870049785692216,0.870049785692216,0.4,"0.75"
"sgr0018","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière",NA,"burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","|X","Uncertain","|X","|X",2,1,0.5,0.5,1,"0"
"sgr0019","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière",NA,"burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","||l|","Very certain","||l|","||l|",4,0.811278124459133,0.771240625180289,0.771240625180289,0.5,"0.333333333333333"
"sgr0020","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière",NA,"burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","|X|","Uncertain","|X|","|X|",3,0.918295834054489,0.597493750120193,0.597493750120193,0.666666666666667,"0"
"sgr0021","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière",NA,"burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","Y||","Very certain","Y||","Y||",3,0.918295834054489,0.597493750120193,0.597493750120193,0.666666666666667,"0.5"
"sgr0025","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière",NA,"burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","|ll|||ll?| |","Certain","|ll|||ll| |","|ll|||ll| |",11,1.32217934551667,1.16444390303546,1.16444390303546,0.272727272727273,"0.4"
"sgr0027","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivièr",NA,"burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","|Y","Very certain","|Y","|Y",2,1,0.5,0.5,1,"0"
"sgr0029","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière",NA,"burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","|ll|X","Certain","|ll|X","|ll|X",5,1.52192809488736,1.02288186904959,1.02288186904959,0.6,"0.25"
"sgr0032","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière",NA,"burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","vvvvvv","Very certain","vvvvvv","vvvvvv",6,0,0.599129685927236,0.599129685927236,0.166666666666667,"1"
"sgr0033","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière",NA,"burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","l|l","Very certain","l|l","l|l",3,0.918295834054489,0.597493750120193,0.597493750120193,0.666666666666667,"0"
"sgr0034","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière",NA,"burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","|#","Certain","|#","|#",2,1,0.5,0.5,1,"0"
"sgr0037","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière",NA,"burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","|||","Very certain","|||","|||",3,0,0.430827083453526,0.430827083453526,0.333333333333333,"1"
"sgr0041","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière",NA,"burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","X","Very certain","X","X",1,0,0,0,1,"NA"
"sgr0042","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière",NA,"burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","Xl","Very certain","Xl","Xl",2,1,0.5,0.5,1,"0"
"sgr0043","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière",NA,"burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"fragmentary","| ||","Certain","| ||","| ||",4,0.811278124459133,0.698120312590145,0.698120312590145,0.5,"0.333333333333333"
"sgr0045","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière",NA,"burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","l | ||","Very certain","l | ||","l | ||",6,1.45914791702725,0.95084574419868,0.95084574419868,0.5,"0.2"
"sgr0046","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière",NA,"burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","||X","Certain","||X","||X",3,0.918295834054489,0.694987500240385,0.694987500240385,0.666666666666667,"0.5"
"sgr0047","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière",NA,"burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","| ||ll||","Very certain","| ||ll||","| ||ll||",8,1.2987949406954,1.10533444620346,1.10533444620346,0.375,"0.428571428571429"
"sgr0049","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière",NA,"burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","v||","Certain","v||","v||",3,0.918295834054489,0.597493750120193,0.597493750120193,0.666666666666667,"0.5"
"sgr0050","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière",NA,"burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","lll| |l","Very certain","lll| |l","lll| |l",7,1.37878349348618,1.18722400809105,1.18722400809105,0.428571428571429,"0.333333333333333"
"sgr0051","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière",NA,"burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"fragmentary","|||vv","Certain","|||vv","|||vv",5,0.970950594454669,0.890689059560852,0.890689059560852,0.4,"0.75"
"sgr0053","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière",NA,"burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","|| ||","Very certain","|| ||","|| ||",5,0.721928094887362,0.782518642966301,0.782518642966301,0.4,"0.5"
"sgr0054","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière",NA,"burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","l||⚹","Very certain","l||⚹","l||⚹",4,1.5,0.948120312590145,0.948120312590145,0.75,"0.333333333333333"
"sgr0056","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière",NA,"burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","|","Very certain","|","|",1,0,0,0,1,"NA"
"sgr0058","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière",NA,"burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","vvv","Very certain","vvv","vvv",3,0,0.430827083453526,0.430827083453526,0.333333333333333,"1"
"sgr0059","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière",NA,"burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"fragmentary","| |≠","Very certain","| |≠","| |≠",4,1.5,0.948120312590145,0.948120312590145,0.75,"0"
"sgr0060","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière",NA,"burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","|l|⚹","Very certain","|l|⚹","|l|⚹",4,1.5,0.948120312590145,0.948120312590145,0.75,"0"
"sgr0061","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière",NA,"burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","ll","Very certain","ll","ll",2,0,0.25,0.25,0.5,"1"
"sgr0062","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière",NA,"burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","||l|","Certain","||l|","||l|",4,0.811278124459133,0.771240625180289,0.771240625180289,0.5,"0.333333333333333"
"sgr0067","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière",NA,"burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"fragmentary","||","Very uncertain","||","||",2,0,0.25,0.25,0.5,"1"
"sgr0070","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière",NA,"burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"fragmentary","|||||","Certain","|||||","|||||",5,0,0.571190309536813,0.571190309536813,0.2,"1"
"sgr0072","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière",NA,"burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","XX","Very uncertain","XX","XX",2,0,0.25,0.25,0.5,"1"
"sgr0073","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière",NA,"burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","||","Certain","||","||",2,0,0.25,0.25,0.5,"1"
"sgr0074","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière",NA,"burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","|||X","Certain","|||X","|||X",4,0.811278124459133,0.823120312590145,0.823120312590145,0.5,"0.666666666666667"
"vhc0001","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2010","ivory","rod/bâton",28,12,6,"fragmented","XXXXX!","Very certain","XXXXX","XXXXX",5,0,0.571190309536813,0.571190309536813,0.2,"1"
"vhc0002","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2006","ivory","possible figurine",NA,NA,NA,"fragmented","°°°°°! _ vvvvvvv!","","°°°°° _ vvvvvvv","°°°°° _ vvvvvvv",13,1.29573780053801,1.19580445579249,1.19580445579249,0.230769230769231,"0.833333333333333"
"vhc0003","","Aurignacien","Vogelherd",NA,"-","C14","35810±710 - 25900±260",NA,NA,NA,"1952","ivory","figurine zoomorph",30,20,12,"almost complete","⊞ _ (||/|/|//|||/||/||| |) _ ⊞ _ || _  ⊞ _ | | | _ |||","","⊞ _ ⊞ _ || _  ⊞ _ | | | _ |||","| | | _ || _ ||| _  ⊞ _ ⊞ _ ⊞",19,1.87322143561391,1.34998509286357,1.39954956927986,0.210526315789474,"0.166666666666667"
"vhc0004","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2012","ivory","figurine undet.",15,5,3,"fragmented","!v!","","v","v",1,0,0,0,1,"NA"
"vhc0005","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2012","ivory","undetermined",15,7,3,"fragmented","⊞ _ !vvvvvv! _ !vvv!","","⊞ _ vvvvvv _ vvv","⊞ _ vvvvvv _ vvv",12,1.04085208297276,0.987588023233312,0.987588023233312,0.25,"0.636363636363636"
"vhc0006","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2012","ivory","possible flute",12,5,3,"fragmented","!vv!","","vv","vv",2,0,0.25,0.25,0.5,"1"
"vhc0007","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2012","bone","tube/flute",24,6,3,"fragmented","!v v vv v v!","","v v vv v v","v v vv v v",10,0.970950594454669,0.781585533014023,0.781585533014023,0.2,"0.111111111111111"
"vhc0008","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2012","ivory","rod/bâton",24,14,6,"fragmented","!& _ X","","& _ X","& _ X",3,1.58496250072116,0.861654166907052,0.861654166907052,1,"0"
"vhc0009","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2012","ivory","possible figurine",11,8,2,"fragmented","!v! _ !v!","","v _ v","v _ v",3,0.918295834054489,0.597493750120193,0.597493750120193,0.666666666666667,"0"
"vhc0010","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2012","bone","tube/flute",14,4,2,"fragmented","!vvvvvvvv!","","vvvvvvvv","vvvvvvvv",8,0,0.634341506468835,0.634341506468835,0.125,"1"
"vhc0011","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2012","ivory","possible figurine",12,8,4,"fragmented","!XX!","","XX","XX",2,0,0.25,0.25,0.5,"1"
"vhc0012","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2012","ivory","undetermined",12,7,3,"fragmented","!///!","","///","///",3,0,0.430827083453526,0.430827083453526,0.333333333333333,"1"
"vhc0013","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2012","bone","undetermined",15,5,2,"fragmented","!v vvv!","","v vvv","v vvv",5,0.721928094887362,0.790689059560852,0.790689059560852,0.4,"0.5"
"vhc0014","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2012","ivory","undetermined",20,13,5,"fragmented","!||!","","||","||",2,0,0.25,0.25,0.5,"1"
"vhc0015","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2012","bone","possible figurine",12,6,2,"fragmented","!X|!","","X|","X|",2,1,0.5,0.5,1,"0"
"vhc0016","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2012","ivory","figurine undet.",23,12,2,"fragmented","!XXXXX! _ !XXXX!","","XXXXX _ XXXX","XXXXX _ XXXX",10,0.468995593589281,0.946999074740786,0.946999074740786,0.2,"0.777777777777778"
"vhc0017","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2012","bone","spatula/lissoir",81,20,8,"almost complete","XXXXXXXX/ _ XXXX!","","XXXXXXXX/ _ XXXX","XXXXXXXX/ _ XXXX",14,0.73452992143947,1.16370496171885,1.16370496171885,0.214285714285714,"0.769230769230769"
"vhc0018","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2008","antler","undetermined",14,9,4,"fragmented","!vvvvv!","","vvvvv","vvvvv",5,0,0.571190309536813,0.571190309536813,0.2,"1"
"vhc0019","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2008","ivory","possible figurine",24,12,6,"fragmented","!//! _!vvvv!","","// _vvvv","// _vvvv",8,1.75,1.26689460249854,1.26689460249854,0.5,"0.571428571428571"
"vhc0020","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2008","ivory","personal ornament",28,10,3,"fragmented","/ / / / //!","","/ / / / //","/ / / / //",10,0.970950594454669,0.812413089804133,0.812413089804133,0.2,"0.111111111111111"
"vhc0021","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2008","bone","undetermined",13,5,2,"fragmented","!vvv!","","vvv","vvv",3,0,0.430827083453526,0.430827083453526,0.333333333333333,"1"
"vhc0022","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2009","ivory","figurine zoomorph",41,11,9,"fragmented","[°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°] _ v","","v","v",1,0,0,0,1,"NA"
"vhc0023","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2008","bone","undetermined",23,11,5,"fragmented","vv v! _v!","","vv v _v","vv v _v",7,1.37878349348618,1.12874759665449,1.12874759665449,0.428571428571429,"0.166666666666667"
"vhc0024","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2008","ivory","figurine undet.",24,10,6,"fragmented","!XXXXX!","","XXXXX","XXXXX",5,0,0.571190309536813,0.571190309536813,0.2,"1"
"vhc0025","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2008","ivory","undetermined",12,6,2,"fragmented","/XX!","","/XX","/XX",3,0.918295834054489,0.597493750120193,0.597493750120193,0.666666666666667,"0.5"
"vhc0026","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2008","ivory","possible figurine",28,17,4,"fragmented","|||||! _ vvvvv!","","||||| _ vvvvv","||||| _ vvvvv",11,1.34858789601242,1.24017598289922,1.24017598289922,0.272727272727273,"0.8"
"vhc0027","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2008","ivory","personal ornament",33,10,3,"fragmented","!//","","//","//",2,0,0.25,0.25,0.5,"1"
"vhc0029","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2008","ivory","rod/bâton",23,10,3,"fragmented","!| |||| | | ||||! _ v vvv!","","| |||| | | |||| _ v vvv","| |||| | | |||| _ v vvv",21,1.64644179042414,1.40592550159768,1.40592550159768,0.19047619047619,"0.4"
"vhc0030","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2008","bone","tube/flute",23,11,4,"fragmented","v v v vv! _ v v v vv!","","v v v vv _ v v v vv","v v v vv _ v v v vv",17,1.22104778517972,0.985670239277817,0.985670239277817,0.176470588235294,"0.125"
"vhc0031","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2009","bone","undetermined",35,7,3,"fragmented","!vvvvvvv!","","vvvvvvv","vvvvvvv",7,0,0.624876355033059,0.624876355033059,0.142857142857143,"1"
"vhc0032","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2009","bone","undetermined",17,4,2,"fragmented","!||||!","","||||","||||",4,0,0.50708020839343,0.50708020839343,0.25,"1"
"vhc0033","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2009","ivory","possible figurine",14,6,4,"fragmented","!vv!","","vv","vv",2,0,0.25,0.25,0.5,"1"
"vhc0034","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2009","ivory","undetermined",12,8,5,"fragmented","!≠!","","≠","≠",1,0,0,0,1,"NA"
"vhc0036","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2008","bone","undetermined",17,5,3,"fragmented","!vvvvvv!","","vvvvvv","vvvvvv",6,0,0.599129685927236,0.599129685927236,0.166666666666667,"1"
"vhc0037","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2008","bone","tube/flute",27,15,10,"fragmented","vv!","","vv","vv",2,0,0.25,0.25,0.5,"1"
"vhc0038","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2008","ivory","figurine undet.",15,5,1,"fragmented","!vv!","","vv","vv",2,0,0.25,0.25,0.5,"1"
"vhc0039","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2008","bone","undetermined",10,5,3,"fragmented","!YYY!","","YYY","YYY",3,0,0.430827083453526,0.430827083453526,0.333333333333333,"1"
"vhc0040","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2008","bone","tube/flute",13,5,2,"fragmented","!XX!","","XX","XX",2,0,0.25,0.25,0.5,"1"
"vhc0042","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2008","bone","undetermined",11,4,4,"fragmented","!XX!","","XX","XX",2,0,0.25,0.25,0.5,"1"
"vhc0043","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2008","bone","possible figurine",20,6,3,"fragmented","vvvv/Xv! _ XXXXXXvvv! _","","vvvv/Xv _ XXXXXXvvv","vvvv/Xv _ XXXXXXvvv",17,1.51972846157956,1.38179915015856,1.38179915015856,0.235294117647059,"0.625"
"vhc0044","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2008","ivory","figurine zoomorph",38,14,4,"fragmented","[vv _ v _ v _ vvv _ vv _ vv _ vvv] _ ||l","","||l","||l",3,0.918295834054489,0.694987500240385,0.694987500240385,0.666666666666667,"0.5"
"vhc0045","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2008","ivory","flute",21,7,NA,"fragmented","!vvvvvvv! _ !v!","","vvvvvvv _ v","vvvvvvv _ v",9,0.503258334775646,0.995455220661397,0.995455220661397,0.222222222222222,"0.75"
"vhc0046","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2009","antler","awl",39,9,5,"fragmented","| | |||| |||! _ vv!","","| | |||| ||| _ vv","vv _ | | |||| |||",15,1.55460976126557,1.33036999048779,1.18918930489962,0.266666666666667,"0.428571428571429"
"vhc0047","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2008","ivory","undetermined",11,5,1,"fragmented","!vvvv!","","vvvv","vvvv",4,0,0.50708020839343,0.50708020839343,0.25,"1"
"vhc0048","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2009","bone","tube/flute",6,6,4,"fragmented","!$!","","$","$",1,0,0,0,1,"NA"
"vhc0049","","Aurignacien","Vogelherd",NA,"V and HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2007","bone","spatula/lissoir",90,11,5,"almost complete","X X X X X X X _ vvvvvvvvvvvv!vvvvvvvvvvvvvv _ vvv vvv vv! vvv vvv","","X X X X X X X _ vvvvvvvvvvvvvvvvvvvvvvvvvv _ vvv vvv vv vvv vvv","X X X X X X X _ vvv vvv vv vvv vvv _ vvvvvvvvvvvvvvvvvvvvvvvvvv",59,1.34454323243351,1.09067948447261,1.04844265933343,0.0677966101694915,"0.586206896551724"
"vhc0050","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2007","ivory","undetermined",11,3,2,"fragmented","!vvvvvv/v!","","vvvvvv/v","vvvvvv/v",8,0.543564443199596,0.987766629702628,0.987766629702628,0.25,"0.714285714285714"
"vhc0051","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2007","ivory","undetermined",41,14,4,"fragmented","X/X||! _ ||||!","","X/X|| _ ||||","|||| _ X/X||",10,1.57095059445467,1.21917984871357,1.3960172065831,0.4,"0.444444444444444"
"vhc0052","","Aurignacien","Vogelherd",NA,"HL/KS","C14","35810±710 - 25900±260",NA,NA,NA,"2008","ivory","figurine zoomorph",70,31,9,"almost complete","!//////////// _ /// _ [!°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°] _ ///// _ // //// _ ≠ _ /////////// _ [!°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°]","","//////////// _ /// _ ///// _ // //// _ ≠ _ ///////////","//////////// _ ≠ _ // //// _ ///// _ /////////// _ ///",44,0.814899459484844,1.17174284523733,1.07700663415511,0.0909090909090909,"0.720930232558139"
