"object_id","ensemble_id","archaeological_unit","site_name","location","layer","dating_method","date_bp_min","min_lab_number","date_bp_max","max_lab_number","excavation_year","material","object_type","length_mm","width_mm","depth_mm","preservation","sign_coding","coding_certainty","coding_clean","coding_random","num.char","huni.chars","hrate.chars","hrate.chars.random","ttr.chars","rm.chars"
"gkl0019","","Aurignacien","Geissenklösterle",NA,"II","C14","35700±700 - 30625±796",NA,NA,NA,"1974","ivory","possible flute",24,6,2,"fragmented","!vvvvvvvv","","vvvvvvvv","vvvvvvvv",8,0,0.634341506468835,0.634341506468835,0.125,"1"
"gkl0020","","Aurignacien","Geissenklösterle",NA,"II","C14","35700±700 - 30625±796",NA,NA,NA,"1974","ivory","possible flute",17,2,2,"fragmented","!vvvvv!","","vvvvv","vvvvv",5,0,0.571190309536813,0.571190309536813,0.2,"1"
"gkl0021","","Aurignacien","Geissenklösterle",NA,"II","C14","35700±700 - 30625±796",NA,NA,NA,"1974 2004","ivory","flute",187,12,11,"almost complete","vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv! _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv!","Very certain","vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv","vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv",113,0.0730661193138456,0.463709305887537,0.463709305887537,0.0176991150442478,"0.982142857142857"
"gkl0022","","Aurignacien","Geissenklösterle",NA,"III","C14","38900±1000 - 30100±550",NA,NA,NA,"1987","ivory","rod/bâton",11,3,4,"fragmented","!OOOOO!","","OOOOO","OOOOO",5,0,0.571190309536813,0.571190309536813,0.2,"1"
"gkl0023","","Aurignacien","Geissenklösterle",NA,"III","C14","38900±1000 - 30100±550",NA,NA,NA,"1989","ivory","possible flute",47,3,2,"fragmented","!vvvvvvvvvvvvvvvvvvv!","Very certain","vvvvvvvvvvvvvvvvvvv","vvvvvvvvvvvvvvvvvvv",19,0,0.611667314589297,0.611667314589297,0.0526315789473684,"1"
"gkl0024","","Aurignacien","Geissenklösterle",NA,"II","C14","35700±700 - 30625±796",NA,NA,NA,"1974","ivory","possible flute",5,3,2,"fragmented","!vvvv!","Very certain","vvvv","vvvv",4,0,0.50708020839343,0.50708020839343,0.25,"1"
"gkl0025","","Aurignacien","Geissenklösterle",NA,"II","C14","35700±700 - 30625±796",NA,NA,NA,"1979","ivory","plaquette",38,14,5,"almost complete","vvvvvvvvvvvvv _ vvvvvvvvvvvvv _ vvvvvvv _ vvvvvv _ >>>>\\\  _ >>>! _  ^^^^ _ °°°°°°°°°°°°° _ °°°°°°°°°° _ °°°°°°°°°°°° _ °°°°°°°°°°°°°","Very certain","vvvvvvvvvvvvv _ vvvvvvvvvvvvv _ vvvvvvv _ vvvvvv _ >>>>\\\  _ >>> _  ^^^^ _ °°°°°°°°°°°°° _ °°°°°°°°°° _ °°°°°°°°°°°° _ °°°°°°°°°°°°°"," ^^^^ _ °°°°°°°°°°°°° _ vvvvvvvvvvvvv _ >>>>\\\  _ °°°°°°°°°°°° _ >>> _ vvvvvv _ °°°°°°°°°° _ °°°°°°°°°°°°° _ vvvvvvv _ vvvvvvvvvvvvv",113,2.02518303785162,1.24929666458918,1.218984912131,0.0619469026548673,"0.794642857142857"
"gkl0026","","Aurignacien","Geissenklösterle",NA,"II","C14","35700±700 - 30625±796",NA,NA,NA,"1983","ivory","figurine zoomorph",25,14,6,"fragmented","| ||||| | _ | | | || || | | | | |","Very certain","| ||||| | _ | | | || || | | | | |","| ||||| | _ | | | || || | | | | |",31,1.1230875826308,1.01257509923345,1.01257509923345,0.0967741935483871,"0.2"
"gkl0027","","Aurignacien","Geissenklösterle",NA,"II","C14","35700±700 - 30625±796",NA,NA,NA,"1983","ivory","bâton percé",147,27,8,"fragmented","!vvvvvvvvvvvv!","Very uncertain","vvvvvvvvvvvv","vvvvvvvvvvvv",12,0,0.644556365533815,0.644556365533815,0.0833333333333333,"1"
"gkl0028","","Aurignacien","Geissenklösterle",NA,"II","C14","35700±700 - 30625±796",NA,NA,NA,"1979","antler","antler object",42,25,18,"complete","|||| _ –XXXX _ ¤¤¤¤¤¤¤¤¤ _ vvvvvvvvvvvvv _ ////////////","Very certain","|||| _ –XXXX _ ¤¤¤¤¤¤¤¤¤ _ vvvvvvvvvvvvv _ ////////////","//////////// _ vvvvvvvvvvvvv _ ¤¤¤¤¤¤¤¤¤ _ –XXXX _ ||||",47,2.49810818449745,1.61142482497776,1.80663367370454,0.148936170212766,"0.804347826086957"
"gkl0029","","Aurignacien","Geissenklösterle",NA,"II","C14","35700±700 - 30625±796",NA,NA,NA,"1983","ivory","possible flute",26,10,5,"fragmented","!vvvvvvvvvvv","Very certain","vvvvvvvvvvv","vvvvvvvvvvv",11,0,0.647357495241454,0.647357495241454,0.0909090909090909,"1"
"gkl0030","","Aurignacien","Geissenklösterle",NA,"III","C14","38900±1000 - 30100±550",NA,NA,NA,"1983","bone","undetermined",6,3,1,"fragmented","!||!","Very certain","||","||",2,0,0.25,0.25,0.5,"1"
"hfc0001","","Aurignacien","Hohle Fels",NA,"IIIb","AMS","29990+340/-330 - 29780+330/-310",NA,NA,NA,"2002","ivory","personal ornament",61,7,3,"fragmented","v vvv v v _ vvv! v","","v vvv v v _ vvv v","v vvv v v _ vvv v",15,1.15893853235028,1.08563898255922,1.08563898255922,0.2,"0.285714285714286"
"hfc0002","","Aurignacien","Hohle Fels",NA,"IV","AMS","33090+260/-250 - 28750±750",NA,NA,NA,"2007","ivory","undetermined",30,6,4,"fragmented","!≠!","Certain","≠","≠",1,0,0,0,1,"NA"
"hfc0003","","Aurignacien","Hohle Fels",NA,"Va","AMS","34570±260 - 31750±260",NA,NA,NA,"2014","ivory","possible figurine",9,6,3,"fragmented","[°°°°°°°°°°] _ | _ |","","| _ |","| _ |",3,0.918295834054489,0.597493750120193,0.597493750120193,0.666666666666667,"0"
"hfc0004","","Aurignacien","Hohle Fels",NA,"Va","AMS","34570±260 - 31750±260",NA,NA,NA,"2007","ivory","rod/bâton",89,15,7,"fragmented","X(X\)!XX(XX)! _ || _ v _ v","","XXX _ || _ v _ v","v _ || _ XXX _ v",10,1.97095059445467,1.40281737712284,1.34804930580796,0.4,"0.333333333333333"
"hfc0005","","Aurignacien","Hohle Fels",NA,"Vab","AMS","34570±260 - 31750±260",NA,NA,NA,"2014","ivory","figurine anthropomorph",25,21,12,"fragmented","vvvvv _ >> _ ||||CC _ !¤¤¤¤¤¤¤¤¤¤¤¤ _ !||||","","vvvvv _ >> _ ||||CC _ ¤¤¤¤¤¤¤¤¤¤¤¤ _ ||||","¤¤¤¤¤¤¤¤¤¤¤¤ _ ||||CC _ |||| _ >> _ vvvvv",33,2.29805501381025,1.58190385910883,1.76775835227736,0.181818181818182,"0.71875"
"hfc0006","","Aurignacien","Hohle Fels",NA,"IIda","AMS","30010±220 - 29560+240/-230",NA,NA,NA,"2010","bone","undetermined",128,27,10,"almost complete","||| X V\\ / \\/ \\ ≠ _ °°°°°°°","","||| X V\\ / \\/ \\ ≠ _ °°°°°°°","||| X V\\ / \\/ \\ ≠ _ °°°°°°°",28,2.75642913758544,1.92696134911343,1.92696134911343,0.321428571428571,"0.407407407407407"
