"id","period","coding_sample","num.char","huni.chars","hrate.chars","ttr.chars","rm.chars"
86,"magdalenian","ll_X_|ll|X_|||_|#_v||_l|l_||||X_||l|_|||vv_| ||_|||X_l | ||_⚹°_||_||l|_||X_l||⚹_|ll|||ll| |_Xl_|_|l|⚹_|||||_Y||_| ||ll||",120,2.22780861024386,1.80856795224867,0.0833333333333333,0.26890756302521
87,"magdalenian","|l|⚹_|||vv_|||_||l|_X_|||||_vvvvvv_l|l_ll_| ||ll||_|#_||X_||_⚹°_||l|_Xl_|Y_| ||_lll| |l_|_||||X_v||_|||X_vvv_|ll|||ll| |",120,2.35564221336104,1.81891437902115,0.0833333333333333,0.310924369747899
88,"magdalenian","| ||ll||_||||X_lll| |l_|ll|X_Y||_||X_v||_|| ||_|||X_|||_||_vvvvvv_|Y_|l|⚹_|_ll_|ll|||ll| |_|#_|||||_||l|_| || |_l|l_||l|_| ||_X",127,2.22146177537598,1.72316073320736,0.0708661417322835,0.293650793650794
89,"magdalenian","X_|_| || |_| ||_Y||_|l|⚹_|ll|X_|ll|||ll| |_||l|_||_ll_|||||_lll| |l_|||_Xl_|#_||X_vvv_v||_||||X_|| ||_vvvvvv_|Y_|||X_| |¥",121,2.37516964656495,1.83110221120488,0.0826446280991736,0.291666666666667
90,"magdalenian","|Y_|||_|||X_Y||_ll_vvvvvv_|#_X_|_||||X_| ||ll||_Xl_| ||_l||⚹_||_|ll|||ll| |_⚹°_|||vv_lll| |l_||l|_| |¥_v||_|ll|X_l|l_||l|",121,2.44349166440306,1.92468661558259,0.0909090909090909,0.275
91,"magdalenian","|||||_|_l||⚹_|ll|||ll| |_ll_|||vv_⚹°_Y||_X_| || |_|l|⚹_||l|_|ll|X_||l|_||_||||X_v||_| ||ll||_| |¥_vvv_|Y_||X_vvvvvv_|#_l | ||",125,2.45343896337799,1.9261896981329,0.088,0.282258064516129
92,"magdalenian","| |¥_|||_l|l_| ||ll||_|#_l||⚹_||l|_||X_| ||_|l|⚹_|||vv_|ll|||ll| |_|||||_|| ||_X_v||_|_| || |_⚹°_l | ||_|||X_|ll|X_|Y_vvv_||",124,2.32073266375706,1.85310759807709,0.0887096774193548,0.252032520325203
93,"magdalenian","|||X_|| ||_|||vv_v||_l | ||_l||⚹_vvvvvv_ll_| || |_|ll|X_X_l|l_|l|⚹_Y||_|Y_Xl_|||||_lll| |l_vvv_|ll|||ll| |_|||_||l|_||_||||X_|#",127,2.3665966398896,1.80794836448175,0.0708661417322835,0.301587301587302
94,"magdalenian","||l|_X_|#_||_|ll|||ll| |_|_|ll|X_vvvvvv_|| ||_|||X_l | ||_||l|_l|l_l||⚹_|||_| ||_vvv_| || |_|||||_Y||_|||vv_⚹°_ll_|l|⚹_||X",122,2.3645294444738,1.83220353972622,0.0819672131147541,0.289256198347107
95,"magdalenian","l | ||_|||vv_||||X_l||⚹_|ll|||ll| |_X_v||_|||X_|| ||_vvvvvv_| ||_|#_lll| |l_| ||ll||_||l|_l|l_|||_|l|⚹_||X_|||||_||_Xl_vvv_|ll|X_ll",131,2.28364076428215,1.6820176867471,0.0610687022900763,0.315384615384615
96,"magdalenian","|#_v||_|||||_Y||_| ||ll||_|_Xl_||l|_|||_|| ||_| ||_|ll|||ll| |_|ll|X_l|l_| || |_||X_⚹°_l||⚹_||||X_vvvvvv_|||vv_||_||l|_| |¥_vvv",127,2.33965681964081,1.82241373654672,0.0866141732283465,0.301587301587302
97,"magdalenian","||l|_ll_| || |_||_| ||ll||_l|l_|||_|||X_|#_Y||_l | ||_||||X_|ll|X_l||⚹_| |¥_||X_⚹°_lll| |l_X_|||vv_| ||_|ll|||ll| |_vvvvvv_||l|_Xl",130,2.42599287804234,1.89915059677311,0.0846153846153846,0.271317829457364
98,"magdalenian","Xl_|||vv_l | ||_| ||ll||_||l|_||X_|l|⚹_|||||_||_| ||_l|l_ll_|| ||_⚹°_vvvvvv_| |¥_X_|||X_||||X_v||_|||_lll| |l_l||⚹_|Y_|ll|X",123,2.39995055892245,1.835177569056,0.0813008130081301,0.286885245901639
99,"magdalenian","|||X_|||||_l | ||_l|l_|||_||_|Y_|ll|||ll| |_| |¥_|#_| ||_vvvvvv_||l|_| || |_⚹°_vvv_| ||ll||_lll| |l_||X_ll_Y||_||||X_|_|||vv_l||⚹",129,2.40171697359289,1.88335576734174,0.0852713178294574,0.3046875
100,"magdalenian","|l|⚹_||X_l|l_|| ||_| ||ll||_||_|_⚹°_X_| |¥_|||||_|ll|||ll| |_|#_l | ||_| ||_v||_vvv_|ll|X_ll_l||⚹_|||X_lll| |l_|||_vvvvvv_Xl",124,2.44326757424917,1.78891539493784,0.0806451612903226,0.276422764227642
