"object_id","site_name","date_bp_max_min","material","object_type","coding","coding_clean"
"vhc0131","Vogelherd","35810±710 - 25900±260","bone","tube/flute","¥!","¥"
"vhc0132","Vogelherd","35810±710 - 25900±260","bone","awl","|||||| _ vvvv vvv _ ||||! _ vvvv vv","|||||| _ vvvv vvv _ |||| _ vvvv vv"
"vhc0133","Vogelherd","35810±710 - 25900±260","bone","flute","v","v"
"vhc0134","Vogelherd","35810±710 - 25900±260","bone","possible figurine","!XXX!","XXX"
"vhc0135","Vogelherd","35810±710 - 25900±260","bone","spatula/lissoir","(/XXXX!) _ (XXXX!) _ >>! _ "," _  _ >> _ "
"vhc0136","Vogelherd","35810±710 - 25900±260","bone","flute","||!","||"
"vhc0137","Vogelherd","35810±710 - 25900±260","ivory","possible flute","!vvv!","vvv"
"vhc0138","Vogelherd","35810±710 - 25900±260","bone","tube/flute","!vvvv! _ !vvvvv!","vvvv _ vvvvv"
"vhc0139","Vogelherd","35810±710 - 25900±260","ivory","undetermined","!| || |!","| || |"
"vhc0140","Vogelherd","35810±710 - 25900±260","ivory","rod/bâton","!vvv!","vvv"
"vhc0141","Vogelherd","35810±710 - 25900±260","bone","tube/flute","!||||!","||||"
"vhc0142","Vogelherd","32030±280 - 26160±150","ivory","undetermined","!¥!","¥"
"vhc0143","Vogelherd","35810±710 - 25900±260","bone","undetermined","||| ||||","||| ||||"
"vhc0144","Vogelherd","32030±280 - 26160±150","ivory","figurine zoomorph","||||| _! /////////////////! _ !///////////////!","||||| _ ///////////////// _ ///////////////"
"vhc0145","Vogelherd","35810±710 - 25900±260","ivory","figurine zoomorph","(/X)XXXXXYYY _ X(XX) _ (X/X)XXXX _ XVXXY _ °°° _ °°°°°°° _ XXXX _ >>>XXX _ ⊞ _ XXXXX","XXXXXYYY _ X _ XXXX _ XVXXY _ °°° _ °°°°°°° _ XXXX _ >>>XXX _ ⊞ _ XXXXX"
"vhc0146","Vogelherd","35810±710 - 25900±260","ivory","figurine zoomorph","XXXXXXXXXXXXX _ vvvvvvvvvvvvvvvvv","XXXXXXXXXXXXX _ vvvvvvvvvvvvvvvvv"
"vhc0147","Vogelherd","35810±710 - 25900±260","ivory","figurine zoomorph","|||||X _ [!°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°!] _ [!°°°°°°°°°°°°°°°°°!] _ ||||","|||||X _  _  _ ||||"
"vhc0148","Vogelherd","35810±710 - 25900±260","sandstone","possible figurine","||||||||||| _ [||||||||||||||||||||||||] _ [||||||||||||||||||||||||]","||||||||||| _  _ "
"vhc0149","Vogelherd","32030±280 - 26160±150","ivory","undetermined","!|||||||","|||||||"
"vhc0151","Vogelherd","35810±710 - 25900±260","fossil","undetermined","v v vvv vv","v v vvv vv"
"vhc0152","Vogelherd","35810±710 - 25900±260","ivory","bâton percé","|||| _ ||||| _ ||||||||","|||| _ ||||| _ ||||||||"
"vhc0153","Vogelherd","35810±710 - 25900±260","ivory","rod/bâton","|||| || || | _ |||||| | | | _ !||||||||","|||| || || | _ |||||| | | | _ ||||||||"
"vhc0154","Vogelherd","35810±710 - 25900±260","ivory","figurine zoomorph","¥ _ |||||","¥ _ |||||"
"vhc0155","Vogelherd","35810±710 - 25900±260","ivory","figurine zoomorph","°!°°°°°°°°°°! _ °°°°°°°° _ !°°°°°°°°°°°! _ °°°°°°°°°°°°°° _ vvvXXX! _ !vvvvvv! _ !vvvvv! _ [CCCC] _ [CCCC] _ [CCCC] _ |||! _ ||| _ vvvv _ ||| _ vvvv _ |||| _ ||| _ ||| _ vvv _ ¥ _ || _ °!","°°°°°°°°°°° _ °°°°°°°° _ °°°°°°°°°°° _ °°°°°°°°°°°°°° _ vvvXXX _ vvvvvv _ vvvvv _  _  _  _ ||| _ ||| _ vvvv _ ||| _ vvvv _ |||| _ ||| _ ||| _ vvv _ ¥ _ || _ °"
"vhc0156","Vogelherd","32030±280 - 26160±150","ivory","figurine anthropomorph","°°°° °°° _ °°°°°°°° _ v°°°°°°°°° _ Vv _ ","°°°° °°° _ °°°°°°°° _ v°°°°°°°°° _ Vv _ "
"vhc0157","Vogelherd","35810±710 - 25900±260","ivory","figurine zoomorph","!||| _ X X _ |||! _ //// _ ||||| _ vvv _ vv _ || _ ||||| _ || _ vvv||||! _ ^^^^ _ X!","||| _ X X _ ||| _ //// _ ||||| _ vvv _ vv _ || _ ||||| _ || _ vvv|||| _ ^^^^ _ X"
"vhc0158","Vogelherd","32030±280 - 26160±150","ivory","figurine zoomorph","⊞ _ [°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°!] _V V _ V _ vv","⊞ _  _V V _ V _ vv"
"vhc0159","Vogelherd","32030±280 - 26160±150","ivory","figurine zoomorph","vvvv*vvvvvvvv _ ||||| _ ¤¤¤¤¤¤¤¤¤ _ [°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°!]","vvvv*vvvvvvvv _ ||||| _ ¤¤¤¤¤¤¤¤¤ _ "
"vhc0160","Vogelherd","32030±280 - 26160±150","antler","antler object","| |||| _ | _ vv v _ ||||_ | ||","| |||| _ | _ vv v _ ||||_ | ||"
"vhc0161","Vogelherd","35810±710 - 25900±260","ivory","bâton percé","vvv vvv","vvv vvv"
"vhc0162","Vogelherd","32030±280 - 26160±150","bone","spatula/lissoir","(XXXXXXXXXX) _ >>>> <<< >>>> <<<< >> _ > <<<<< >>>> <<<<<< >>>>"," _ >>>> <<< >>>> <<<< >> _ > <<<<< >>>> <<<<<< >>>>"
"vhc0163","Vogelherd","32030±280 - 26160±150","bone","spatula/lissoir","!⊞! _ !vvvvvvvvvvvvvvvvvv! _  !⊞!","⊞ _ vvvvvvvvvvvvvvvvvv _  ⊞"
"vhc0164","Vogelherd","32030±280 - 26160±150","ivory","bâton percé","vvvvv! _ vvvvvv! _ [CCCC] _ &","vvvvv _ vvvvvv _  _ &"
"vhc0165","Vogelherd","32030±280 - 26160±150","bone","spatula/lissoir","!vvvv vvvvvv >>>>","vvvv vvvvvv >>>>"
"vhc0166","Vogelherd","32030±280 - 26160±150","antler","antler object","vvvvvvv _ [&]","vvvvvvv _ "
"vhc0167","Vogelherd","35810±710 - 25900±260","bone","spatula/lissoir","vvvvvvvvvvvvvvvvvv _ v!","vvvvvvvvvvvvvvvvvv _ v"
"vhc0168","Vogelherd","35810±710 - 25900±260","bone","spatula/lissoir",">>>>>> ! >>>>>",">>>>>>  >>>>>"
"vhc0169","Vogelherd","32030±280 - 26160±150","bone","spatula/lissoir","vvvvvvvvvv!","vvvvvvvvvv"
"vhc0170","Vogelherd","35810±710 - 25900±260","ivory","possible figurine","!XXXXXXXX! _ |","XXXXXXXX _ |"
"vhc0171","Vogelherd","35810±710 - 25900±260","ivory","possible figurine","X!","X"
"vhc0172","Vogelherd","35810±710 - 25900±260","ivory","rod/bâton","¥!","¥"
"vhc0173","Vogelherd","35810±710 - 25900±260","bone","undetermined","!vvvv v!","vvvv v"
"vhc0174","Vogelherd","35810±710 - 25900±260","ivory","undetermined","¥!","¥"
"vhc0175","Vogelherd","35810±710 - 25900±260","ivory","rod/bâton","vvv!","vvv"
