"object_id","site_name","date_bp_max_min","material","object_type","coding","coding_clean"
"hfc0006","Hohle Fels","30010±220 - 29560+240/-230","bone","undetermined","||| X V\\ / \\/ \\ ¥ _ °°°°°°°","||| X V\\ / \\/ \\ ¥ _ °°°°°°°"
"hfc0007","Hohle Fels","34570±260 - 31750±260","bone","tube/flute","!vvvvv!","vvvvv"
"hfc0008","Hohle Fels","33090+260/-250 - 28750±750","bone","spatula/lissoir","!vvvvvvvvvvvv!","vvvvvvvvvvvv"
"hfc0009","Hohle Fels","34570±260 - 31750±260","bone","undetermined","l llXl ll| |  XX| |  ¥¥¥ ¥¥ llll _ | | | | | | | | | | l _ (–ll) ll ll ll ll","l llXl ll| |  XX| |  ¥¥¥ ¥¥ llll _ | | | | | | | | | | l _  ll ll ll ll"
"hfc0010","Hohle Fels","34570±260 - 31750±260","ivory","personal ornament","OO","OO"
"hfc0011","Hohle Fels","34570±260 - 31750±260","ivory","personal ornament","|| |||","|| |||"
"hfc0012","Hohle Fels","34570±260 - 31750±260","ivory","personal ornament","OO","OO"
"hfc0013","Hohle Fels","33090+260/-250 - 28750±750","ivory","undetermined","!¥ ¥ ¥?!","¥ ¥ ¥"
"hfc0014","Hohle Fels","33090+260/-250 - 28750±750","ivory","undetermined","!¥!","¥"
"hfc0015","Hohle Fels","40000±500 - 31290±180","ivory","figurine anthropomorph","|||||||||| _ ¤¤¤¤¤¤¤¤¤¤¤¤¤ _ Y/\\\\VV\\[°°°° °°] _ [|||| _ ||||||] _ vvvvvvvv! _ C _ |||| _ /// _ [CCCC] _ ||| _ ||| _ v","|||||||||| _ ¤¤¤¤¤¤¤¤¤¤¤¤¤ _ Y/\\\\VV\\ _  _ vvvvvvvv _ C _ |||| _ /// _  _ ||| _ ||| _ v"
"hfc0016","Hohle Fels","30010±220 - 29560+240/-230","ivory","undetermined","[¥ ¥ ||||]",""
"hfc0017","Hohle Fels","34570±260 - 31750±260","antler","spatula/lissoir","¥!","¥"
"hfc0018","Hohle Fels","34570±260 - 31750±260","ivory","figurine undet.","|||||||||||| _ ||||| _ !|||||||","|||||||||||| _ ||||| _ |||||||"
"hfc0019","Hohle Fels","34570±260 - 31750±260","ivory","personal ornament","!O","O"
"hfc0020","Hohle Fels","31140+250/-240 - 29710+210/-200","ivory","undetermined","!XX!","XX"
"hfc0021","Hohle Fels","34570±260 - 31750±260","ivory","personal ornament","OO","OO"
"hfc0022","Hohle Fels","29990+340/-330 - 29780+330/-310","ivory","undetermined","!¥!","¥"
"hfc0023","Hohle Fels","30010±220 - 29560+240/-230","bone","undetermined","!¥!","¥"
"hfc0024","Hohle Fels","33090+260/-250 - 28750±750","ivory","figurine anthropomorph","V _ v","V _ v"
"hfc0025","Hohle Fels","33090+260/-250 - 28750±750","bone","awl","!v v v vv! _ v v v _ (//|) _ !v v vv vv vv vv _ ¥! _ vvv _ !vvvvvvv","v v v vv _ v v v _  _ v v vv vv vv vv _ ¥ _ vvv _ vvvvvvv"
"hfc0026","Hohle Fels","30010±220 - 29560+240/-230","ivory","figurine zoomorph","!|||! _ !¥! _ |","||| _ ¥ _ |"
"hfc0027","Hohle Fels","30010±220 - 29560+240/-230","ivory","figurine zoomorph","|||||||! _ ||||||! _ ||||||||||! _ vv! _ ///!","||||||| _ |||||| _ |||||||||| _ vv _ ///"
"hfc0029","Hohle Fels","29990+340/-330 - 29780+330/-310","ivory","rod/bâton","W W","W W"
"hfc0030","Hohle Fels","30640±190","ivory","point","!$","$"
"hfc0031","Hohle Fels","33090+260/-250 - 28750±750","ivory","rod/bâton","|| |","|| |"
"hfc0032","Hohle Fels","29990+340/-330 - 29780+330/-310","ivory","undetermined","!\\\\ \\\\\ _ !\ \\\ /","\\\\ \\\\\ _ \ \\\ /"
"hfc0033","Hohle Fels","40000±500 - 31290±180","ivory","undetermined","!|XX |X X!","|XX |X X"
"hfc0034","Hohle Fels","31140+250/-240 - 29710+210/-200","ivory","undetermined","!¥!","¥"
"hfc0035","Hohle Fels","33090+260/-250 - 28750±750","ivory","figurine zoomorph","¥ _ ¥","¥ _ ¥"
"hfc0036","Hohle Fels","30010±220 - 29560+240/-230","ivory","undetermined","!¥!","¥"
"hfc0037","Hohle Fels","34570±260 - 31750±260","ivory","awl","¥","¥"
"hfc0038","Hohle Fels","31140+250/-240 - 29710+210/-200","ochre","undetermined","[|°°|]",""
"hfc0039","Hohle Fels","29990+340/-330 - 29780+330/-310","ivory","undetermined","!||||||||||!","||||||||||"
"hfc0040","Hohle Fels","40000+500 - 29710+210/-200","ivory","undetermined","!||||","||||"
"hfc0041","Hohle Fels","40000±500 - 31290±180","ivory","personal ornament","OO","OO"
"hfc0042","Hohle Fels","33090+260/-250 - 28750±750","ivory","rod/bâton","X || _ | _ | || |","X || _ | _ | || |"
"hfc0043","Hohle Fels","33090+260/-250 - 28750±750","ivory","undetermined","¥ v _ vvvvV _ >> ","¥ v _ vvvvV _ >> "
"hfc0044","Hohle Fels","34570±260 - 31750±260","ivory","personal ornament","!||||||||||||||||||| _ !vvvvvvvvvvvvvv _ !vvvvvvvvvvvvvvvvvvv","||||||||||||||||||| _ vvvvvvvvvvvvvv _ vvvvvvvvvvvvvvvvvvv"
"hfc0045","Hohle Fels","34570±260 - 31750±260","ivory","possible flute","!vv","vv"
"hfc0046","Hohle Fels","34570±260 - 31750±260","ivory","personal ornament","!|||||||||||||||! _ !vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv! _ !vvvvvvvvvvvvvvvvvvvv!","||||||||||||||| _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ vvvvvvvvvvvvvvvvvvvv"
"hfc0047","Hohle Fels","40000±500 - 31290±180","ivory","possible flute","| | || | >","| | || | >"
"hfc0048","Hohle Fels","33090+260/-250 - 28750±750","ivory","rod/bâton","[X//]!",""
"hfc0049","Hohle Fels","33090+260/-250 - 28750±750","ivory","undetermined","!¥!","¥"
"hfc0050","Hohle Fels","33090+260/-250 - 28750±750","ivory","undetermined","!¥!","¥"
"hss0001","Hohlenstein-Stadel","35185±270","ivory","figurine anthropomorph","||||||| _ ¥ _ vvv _ v","||||||| _ ¥ _ vvv _ v"
"hss0002","Hohlenstein-Stadel","35185±270","animal tooth","personal ornament","Vvvv _ ||||","Vvvv _ ||||"
"vhc0001","Vogelherd","35810±710 - 25900±260","ivory","rod/bâton","XXXXX!","XXXXX"
"vhc0002","Vogelherd","35810±710 - 25900±260","ivory","possible figurine","°°°°°! _ vvvvvvv!","°°°°° _ vvvvvvv"
"vhc0003","Vogelherd","35810±710 - 25900±260","ivory","figurine zoomorph","⊞ _ (||/|/|//|||/||/||| |) _ ⊞ _ || _  ⊞ _ | | | _ |||","⊞ _  _ ⊞ _ || _  ⊞ _ | | | _ |||"
"vhc0004","Vogelherd","35810±710 - 25900±260","ivory","figurine undet.","!v!","v"
"vhc0005","Vogelherd","35810±710 - 25900±260","ivory","undetermined","⊞ _ !vvvvvv! _ !vvv!","⊞ _ vvvvvv _ vvv"
"vhc0006","Vogelherd","35810±710 - 25900±260","ivory","possible flute","!vv!","vv"
"vhc0007","Vogelherd","35810±710 - 25900±260","bone","tube/flute","!v v vv v v!","v v vv v v"
"vhc0008","Vogelherd","35810±710 - 25900±260","ivory","rod/bâton","!& _ X","& _ X"
"vhc0009","Vogelherd","35810±710 - 25900±260","ivory","possible figurine","!v! _ !v!","v _ v"
"vhc0010","Vogelherd","35810±710 - 25900±260","bone","tube/flute","!vvvvvvvv!","vvvvvvvv"
"vhc0011","Vogelherd","35810±710 - 25900±260","ivory","possible figurine","!XX!","XX"
"vhc0012","Vogelherd","35810±710 - 25900±260","ivory","undetermined","!///!","///"
"vhc0013","Vogelherd","35810±710 - 25900±260","bone","undetermined","!v vvv!","v vvv"
"vhc0014","Vogelherd","35810±710 - 25900±260","ivory","undetermined","!||!","||"
"vhc0015","Vogelherd","35810±710 - 25900±260","bone","possible figurine","!X|!","X|"
"vhc0016","Vogelherd","35810±710 - 25900±260","ivory","figurine undet.","!XXXXX! _ !XXXX!","XXXXX _ XXXX"
"vhc0017","Vogelherd","35810±710 - 25900±260","bone","spatula/lissoir","XXXXXXXX/ _ XXXX!","XXXXXXXX/ _ XXXX"
"vhc0018","Vogelherd","35810±710 - 25900±260","antler","undetermined","!vvvvv!","vvvvv"
"vhc0019","Vogelherd","35810±710 - 25900±260","ivory","possible figurine","!//! _!vvvv!","// _vvvv"
"vhc0020","Vogelherd","35810±710 - 25900±260","ivory","personal ornament","/ / / / //!","/ / / / //"
"vhc0021","Vogelherd","35810±710 - 25900±260","bone","undetermined","!vvv!","vvv"
"vhc0022","Vogelherd","35810±710 - 25900±260","ivory","figurine zoomorph","[°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°] _ v"," _ v"
