"hidden.structure","hidden.size","hidden.depth","err.fct","act.fct.name","algorithm","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
"1,3,3",7,3,"sse","tanh","rprop+",0.83,0.88,0.00773643224005445,0.69,0.52,0.59,350
"3,4",7,2,"sse","tanh","rprop+",0.83,0.87,0.0116927189759012,0.69,0.48,0.57,350
"2",2,1,"sse","tanh","rprop+",0.83,0.9,0.000111783250001992,0.78,0.58,0.67,350
"2,4",6,2,"sse","tanh","rprop+",0.83,0.9,5.79356441163162e-05,0.76,0.63,0.69,350
"2,1",3,2,"sse","tanh","rprop+",0.83,0.9,5.79356441163162e-05,0.77,0.62,0.69,350
"5,4",9,2,"sse","tanh","rprop+",0.83,0.89,0.000380428587171614,0.73,0.6,0.66,350
"2,3,2",7,3,"sse","tanh","rprop+",0.83,0.9,0.000209265984795028,0.68,0.75,0.71,350
"1,2,3,2",8,4,"sse","tanh","rprop+",0.83,0.89,0.00115491820727514,0.72,0.57,0.64,350
"3,5,3",11,3,"sse","tanh","rprop+",0.83,0.89,0.000380428587171614,0.69,0.7,0.69,350
"3,1,3,5",12,4,"sse","tanh","rprop+",0.83,0.9,0.000209265984795028,0.75,0.6,0.67,350
"1,4,3",8,3,"sse","tanh","rprop+",0.83,0.88,0.00499581232966337,0.7,0.53,0.6,350
"1,4,4",9,3,"sse","tanh","rprop+",0.83,0.89,0.00193155822399517,0.71,0.57,0.63,350
