"hidden.structure","hidden.size","hidden.depth","err.fct","act.fct.name","algorithm","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
"2,4,3,4",13,4,"sse","tanh","rprop+",0.92,0.94,0.0830346064463774,0.98,0.95,0.97,312
"4",4,1,"sse","tanh","rprop+",0.92,0.95,0.0322294686849065,1,0.94,0.97,312
"1,1,4,3",9,4,"sse","tanh","rprop+",0.92,0.94,0.0830346064463774,1,0.94,0.97,312
"1,2",3,2,"sse","tanh","rprop+",0.92,0.94,0.0830346064463774,1,0.94,0.97,312
"2,2,5",9,3,"sse","tanh","rprop+",0.92,0.94,0.123305320613321,1,0.94,0.97,312
"3,3,4,3",13,4,"sse","tanh","rprop+",0.92,0.94,0.174696083901275,0.99,0.94,0.96,312
"2,2",4,2,"sse","tanh","rprop+",0.92,0.94,0.0830346064463774,1,0.94,0.97,312
"3",3,1,"sse","tanh","rprop+",0.92,0.95,0.0322294686849065,0.99,0.96,0.97,312
"5",5,1,"sse","tanh","rprop+",0.92,0.95,0.0322294686849065,0.98,0.97,0.97,312
"1,2,1",4,3,"sse","tanh","rprop+",0.92,0.92,0.55296765450294,0.92,1,0.96,312
"3,2,2",7,3,"sse","tanh","rprop+",0.92,0.95,0.0184310612123784,1,0.95,0.97,312
"3,3,2,1",9,4,"sse","tanh","rprop+",0.92,0.95,0.0531575718406166,1,0.94,0.97,312
"2,4,3",9,3,"sse","tanh","rprop+",0.92,0.94,0.123305320613321,0.98,0.95,0.97,312
"4,3,3,4",14,4,"sse","tanh","rprop+",0.92,0.95,0.0184310612123784,0.99,0.96,0.97,312
"1,1",2,2,"sse","tanh","rprop+",0.92,0.94,0.123305320613321,1,0.94,0.97,312
"4,3",7,2,"sse","tanh","rprop+",0.92,0.94,0.174696083901275,0.99,0.94,0.96,312
"2,4,2,3",11,4,"sse","tanh","rprop+",0.92,0.94,0.123305320613321,1,0.94,0.97,312
"3,3,3",9,3,"sse","tanh","rprop+",0.92,0.95,0.0322294686849065,0.98,0.97,0.97,312
"1,5,3,4",13,4,"sse","tanh","rprop+",0.92,0.94,0.0830346064463774,1,0.94,0.97,312
"2",2,1,"sse","tanh","rprop+",0.92,0.95,0.0531575718406166,1,0.94,0.97,312
"2,3,2",7,3,"sse","tanh","rprop+",0.92,0.96,0.00989741985024373,1,0.95,0.98,312
"4,2",6,2,"sse","tanh","rprop+",0.92,0.94,0.123305320613321,0.98,0.96,0.97,312
"3,2",5,2,"sse","tanh","rprop+",0.92,0.94,0.123305320613321,0.98,0.95,0.97,312
"3",3,1,"sse","tanh","rprop+",0.92,0.94,0.0830346064463774,0.98,0.96,0.97,312
"2,1",3,2,"sse","tanh","rprop+",0.92,0.95,0.0531575718406166,1,0.94,0.97,312
"4,4,4",12,3,"sse","tanh","rprop+",0.92,0.96,0.00989741985024373,0.99,0.96,0.98,312
"3,4",7,2,"sse","tanh","rprop+",0.92,0.95,0.0531575718406166,0.98,0.96,0.97,312
"3,3,2",8,3,"sse","tanh","rprop+",0.92,0.95,0.0322294686849065,0.98,0.97,0.97,312
"3,2,4,1",10,4,"sse","tanh","rprop+",0.92,0.95,0.0322294686849065,0.98,0.97,0.97,312
"2,2,4,1",9,4,"sse","tanh","rprop+",0.92,0.94,0.0830346064463774,1,0.94,0.97,312
"4,5,2",11,3,"sse","tanh","rprop+",0.92,0.94,0.0830346064463774,0.99,0.95,0.97,312
"4,5,4,4",17,4,"sse","tanh","rprop+",0.92,0.94,0.174696083901275,0.98,0.95,0.96,312
"4",4,1,"sse","tanh","rprop+",0.92,0.93,0.236941408607112,0.98,0.95,0.96,312
"2,5,5",12,3,"sse","tanh","rprop+",0.92,0.95,0.0531575718406166,1,0.94,0.97,312
"2,2",4,2,"sse","tanh","rprop+",0.92,0.95,0.0322294686849065,1,0.94,0.97,312
"4",4,1,"sse","tanh","rprop+",0.92,0.93,0.236941408607112,0.98,0.95,0.96,312
"3,4,3",10,3,"sse","tanh","rprop+",0.92,0.95,0.0322294686849065,1,0.95,0.97,312
"1,2,2",5,3,"sse","tanh","rprop+",0.92,0.94,0.123305320613321,1,0.94,0.97,312
"2,3",5,2,"sse","tanh","rprop+",0.92,0.95,0.0322294686849065,1,0.94,0.97,312
"4,1,4,3",12,4,"sse","tanh","rprop+",0.92,0.95,0.0531575718406166,1,0.94,0.97,312
"5,2",7,2,"sse","tanh","rprop+",0.92,0.94,0.123305320613321,0.98,0.95,0.97,312
"1",1,1,"sse","tanh","rprop+",0.92,0.94,0.0830346064463774,1,0.94,0.97,312
"5,1",6,2,"sse","tanh","rprop+",0.92,0.94,0.0830346064463774,0.98,0.96,0.97,312
"5,3",8,2,"sse","tanh","rprop+",0.92,0.94,0.123305320613321,0.98,0.95,0.97,312
"1,3,3",7,3,"sse","tanh","rprop+",0.92,0.94,0.123305320613321,1,0.94,0.97,312
"3,4",7,2,"sse","tanh","rprop+",0.92,0.94,0.123305320613321,0.98,0.95,0.97,312
"4,2,3,2",11,4,"sse","tanh","rprop+",0.92,0.94,0.123305320613321,0.98,0.96,0.97,312
"2",2,1,"sse","tanh","rprop+",0.92,0.94,0.0830346064463774,1,0.94,0.97,312
"2,4",6,2,"sse","tanh","rprop+",0.92,0.95,0.0322294686849065,1,0.94,0.97,312
"2,1",3,2,"sse","tanh","rprop+",0.92,0.95,0.0322294686849065,0.98,0.97,0.97,312
"5,4",9,2,"sse","tanh","rprop+",0.92,0.94,0.0830346064463774,0.98,0.96,0.97,312
"2,3,2",7,3,"sse","tanh","rprop+",0.92,0.95,0.0322294686849065,1,0.95,0.97,312
"1,2,3,2",8,4,"sse","tanh","rprop+",0.92,0.95,0.0531575718406166,1,0.94,0.97,312
"3,5,3",11,3,"sse","tanh","rprop+",0.92,0.95,0.0322294686849065,1,0.95,0.97,312
"3,1,3,5",12,4,"sse","tanh","rprop+",0.92,0.95,0.0531575718406166,0.99,0.95,0.97,312
"1,4,3",8,3,"sse","tanh","rprop+",0.92,0.94,0.0830346064463774,1,0.94,0.97,312
"1,4,4",9,3,"sse","tanh","rprop+",0.92,0.94,0.0830346064463774,1,0.94,0.97,312
