"hidden.structure","hidden.size","hidden.depth","err.fct","act.fct.name","algorithm","baseline","accuracy","accuracy.pvalue","precision","recall","f1"
"3,5,4",12,3,"sse","tanh","rprop+",0.92,0.95,0.05,0.99,0.95,0.97
"3,3,2",8,3,"sse","tanh","rprop+",0.92,0.95,0.03,0.99,0.96,0.97
"3,1,1",5,3,"sse","tanh","rprop+",0.92,0.95,0.05,1,0.94,0.97
"3",3,1,"sse","tanh","rprop+",0.92,0.95,0.02,0.99,0.96,0.97
"5,3,1",9,3,"sse","tanh","rprop+",0.92,0.94,0.12,0.98,0.95,0.97
"2,1",3,2,"sse","tanh","rprop+",0.92,0.95,0.05,1,0.94,0.97
"2,2,1,2",7,4,"sse","tanh","rprop+",0.92,0.95,0.05,1,0.94,0.97
"4,2",6,2,"sse","tanh","rprop+",0.92,0.95,0.03,1,0.94,0.97
"5,2,3",10,3,"sse","tanh","rprop+",0.92,0.95,0.05,0.98,0.96,0.97
"4,4",8,2,"sse","tanh","rprop+",0.92,0.94,0.12,0.98,0.95,0.97
"5,4,4,5",18,4,"sse","tanh","rprop+",0.92,0.93,0.31,0.97,0.95,0.96
"1,5",6,2,"sse","tanh","rprop+",0.92,0.94,0.08,1,0.94,0.97
"3,2",5,2,"sse","tanh","rprop+",0.92,0.96,0.01,0.99,0.97,0.98
"1",1,1,"sse","tanh","rprop+",0.92,0.94,0.08,1,0.94,0.97
"5,4,2",11,3,"sse","tanh","rprop+",0.92,0.94,0.17,0.97,0.96,0.96
"4,4",8,2,"sse","tanh","rprop+",0.92,0.94,0.08,0.99,0.95,0.97
"3,2,3",8,3,"sse","tanh","rprop+",0.92,0.95,0.02,0.98,0.97,0.97
"2",2,1,"sse","tanh","rprop+",0.92,0.95,0.02,0.98,0.97,0.97
"2,1,1,1",5,4,"sse","tanh","rprop+",0.92,0.93,0.31,1,0.93,0.96
"4,2,3",9,3,"sse","tanh","rprop+",0.92,0.95,0.03,1,0.95,0.97
"4,4,4",12,3,"sse","tanh","rprop+",0.92,0.95,0.05,0.98,0.96,0.97
