"hidden.structure","hidden.size","hidden.depth","err.fct","act.fct.name","algorithm","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
"2,5,5",12,3,"sse","tanh","rprop+",0.51,0.91,1.25296911644211e-97,0.9,0.93,0.91,575
"2,2",4,2,"sse","tanh","rprop+",0.51,0.92,1.07005337731611e-100,0.91,0.93,0.92,575
"4",4,1,"sse","tanh","rprop+",0.51,0.92,1.07005337731611e-100,0.9,0.94,0.92,575
"3,4,3",10,3,"sse","tanh","rprop+",0.51,0.92,1.15384351712625e-99,0.9,0.94,0.92,575
"1,2,2",5,3,"sse","tanh","rprop+",0.51,0.92,1.15384351712625e-99,0.89,0.95,0.92,575
"2,3",5,2,"sse","tanh","rprop+",0.51,0.91,1.26287045247495e-96,0.89,0.94,0.91,575
"5,2",7,2,"sse","tanh","rprop+",0.51,0.91,1.20254333497083e-94,0.89,0.93,0.91,575
"1",1,1,"sse","tanh","rprop+",0.51,0.91,1.25296911644211e-97,0.9,0.93,0.91,575
"5,1",6,2,"sse","tanh","rprop+",0.51,0.92,9.69415526234101e-102,0.9,0.95,0.92,575
"5,3",8,2,"sse","tanh","rprop+",0.51,0.92,1.07005337731611e-100,0.91,0.93,0.92,575
"1,3,3",7,3,"sse","tanh","rprop+",0.51,0.92,9.69415526234101e-102,0.9,0.95,0.92,575
"3,4",7,2,"sse","tanh","rprop+",0.51,0.92,8.57544561242632e-103,0.9,0.94,0.92,575
"4,2,3,2",11,4,"sse","tanh","rprop+",0.51,0.92,1.15384351712625e-99,0.91,0.93,0.92,575
"2",2,1,"sse","tanh","rprop+",0.51,0.92,1.15384351712625e-99,0.91,0.93,0.92,575
"2,4",6,2,"sse","tanh","rprop+",0.51,0.92,1.07005337731611e-100,0.91,0.93,0.92,575
"2,1",3,2,"sse","tanh","rprop+",0.51,0.91,1.25296911644211e-97,0.9,0.93,0.91,575
"5,4",9,2,"sse","tanh","rprop+",0.51,0.93,6.23468791931981e-105,0.91,0.94,0.93,575
"2,3,2",7,3,"sse","tanh","rprop+",0.51,0.92,1.07005337731611e-100,0.91,0.93,0.92,575
"1,2,3,2",8,4,"sse","tanh","rprop+",0.51,0.92,9.69415526234101e-102,0.9,0.95,0.92,575
"3,5,3",11,3,"sse","tanh","rprop+",0.51,0.92,9.69415526234101e-102,0.9,0.95,0.92,575
"1,4,3",8,3,"sse","tanh","rprop+",0.51,0.92,9.69415526234101e-102,0.9,0.95,0.92,575
"1,4,4",9,3,"sse","tanh","rprop+",0.51,0.92,9.69415526234101e-102,0.9,0.95,0.92,575
