"tablet.id","signs.orig.vec","signs.expand.vec"
"P000038","1(N01) _ DUG~c _ 1(N01) _ BAPPIR~b _ 1(N01)","N01 _ DUG~c _ N01 _ BAPPIR~b _ N01"
"P000039","1(N01) _ IDIGNA _ BU~a _ 1(N01) _ SAG _ RAD~a _ 1(N01) _ GAN2 _ RAD~a _ SANGA~a _ 1(N01) _ ISZ~b _ 1(N01) _ AN _ E2~a _ AN _ GAL~a _ 1(N01) _ DA~a _ PA~a _ 1(N01) _ U4 _ AN _ KI","N01 _ IDIGNA _ BU~a _ N01 _ SAG _ RAD~a _ N01 _ GAN2 _ RAD~a _ SANGA~a _ N01 _ ISZ~b _ N01 _ AN _ E2~a _ AN _ GAL~a _ N01 _ DA~a _ PA~a _ N01 _ U4 _ AN _ KI"
"P000040","ZATU647 _ URUDU@g~c","ZATU647 _ URUDU@g~c"
"P000041","PAP~a _ SZA3~a2 _ TU~b","PAP~a _ SZA3~a2 _ TU~b"
"P000042","1(N01) _ 1(N01) _ 1(N01) _ GISZ _ 1(N01) _ IN~b _ 1(N01)","N01 _ N01 _ N01 _ GISZ _ N01 _ IN~b _ N01"
"P000043","MUSZEN _ 1(N01) _ 1(N01) _ 1(N57) _ GAN2 _ 1(N01) _ NAGA~a _ TUR3~b _ 1(N01) _ |SILA3~axA| _ 1(N01) _ ME~a _ 1(N01) _ KUSZU2~d _ 1(N01) _ 1(N01) _ AN","MUSZEN _ N01 _ N01 _ N57 _ GAN2 _ N01 _ NAGA~a _ TUR3~b _ N01 _ |SILA3~axA| _ N01 _ ME~a _ N01 _ KUSZU2~d _ N01 _ N01 _ AN"
"P000045","1(N01) _ 1(N01) _ KAB _ NAM2 _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01)","N01 _ N01 _ KAB _ NAM2 _ N01 _ N01 _ N01 _ N01 _ N01 _ N01"
"P000046","1(N01) _ 1(N01) _ 1(N01)","N01 _ N01 _ N01"
"P000047","1(N01) _ HI _ 1(N01)","N01 _ HI _ N01"
"P000048","1(N01) _ 1(N01) _ 1(N01) _ SUKKAL _ 1(N01) _ 1(N01) _ 1(N01)","N01 _ N01 _ N01 _ SUKKAL _ N01 _ N01 _ N01"
