"tablet.id","signs.orig.vec","signs.expand.vec"
"P000156","1(N01) _ 1(N01) _ |KA~axSAR~a| _ KU6~a _ 1(N01) _ LU2 _ KU6~a","N01 _ N01 _ |KA~axSAR~a| _ KU6~a _ N01 _ LU2 _ KU6~a"
"P000157","",""
"P000158","1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ UB _ 1(N01) _ ZATU725 _ 1(N01)","N01 _ N01 _ N01 _ N01 _ N01 _ UB _ N01 _ ZATU725 _ N01"
"P000159","1(N01) _ 1(N01) _ DI _ 1(N01) _ NAM2 _ 1(N01) _ 1(N01)","N01 _ N01 _ DI _ N01 _ NAM2 _ N01 _ N01"
"P000160","AD~a _ NI~b _ DU6~a _ 1(N01) _ 1(N01) _ 1(N57) _ BAR _ 1(N01) _ 1(N01)","AD~a _ NI~b _ DU6~a _ N01 _ N01 _ N57 _ BAR _ N01 _ N01"
"P000161","1(N01) _ 1(N01) _ NAM2 _ 1(N01) _ NAM2 _ DI _ 1(N01) _ NAM2 _ NAM2 _ 1(N01) _ NAM2 _ URU~a1 _ 1(N01) _ NAM2 _ ERIN _ 1(N01) _ GAL~a _ SZUBUR _ 1(N01) _ 1(N01) _ 1(N01) _ NAM2 _ PA~a _ RAD~a _ 1(N01) _ AB~a _ ME~a _ 1(N01) _ |1(N58).BAD~a| _ GAL~a _ 1(N01) _ EN~a _ IB~a _ 1(N01) _ SZITA~a1 _ 1(N01) _ ABGAL _ 1(N01) _ KINGAL _ 1(N01) _ 1(N01) _ 1(N01) _ SIG2~c1 _ 1(N01) _ NIM~a _ 1(N01) _ GAL~a _ 1(N01) _ SILA4~a _ 1(N01) _ SZAB~a _ GAL~a _ 1(N01) _ 1(N01) _ ERIN _ 1(N01) _ SANGA~a _ UMUN2 _ 1(N01) _ AK~a _ 1(N01) _ SUHUR _ 1(N01) _ 1(N01) _ 3(N14) _ 6(N01)","N01 _ N01 _ NAM2 _ N01 _ NAM2 _ DI _ N01 _ NAM2 _ NAM2 _ N01 _ NAM2 _ URU~a1 _ N01 _ NAM2 _ ERIN _ N01 _ GAL~a _ SZUBUR _ N01 _ N01 _ N01 _ NAM2 _ PA~a _ RAD~a _ N01 _ AB~a _ ME~a _ N01 _ |1(N58).BAD~a| _ GAL~a _ N01 _ EN~a _ IB~a _ N01 _ SZITA~a1 _ N01 _ ABGAL _ N01 _ KINGAL _ N01 _ N01 _ N01 _ SIG2~c1 _ N01 _ NIM~a _ N01 _ GAL~a _ N01 _ SILA4~a _ N01 _ SZAB~a _ GAL~a _ N01 _ N01 _ ERIN _ N01 _ SANGA~a _ UMUN2 _ N01 _ AK~a _ N01 _ SUHUR _ N01 _ N01 _ N14 N14 N14 _ N01 N01 N01 N01 N01 N01"
"P000162","1(N01) _ KISZIK~a _ AB~a _ 1(N01) _ 1(N01)","N01 _ KISZIK~a _ AB~a _ N01 _ N01"
"P000163","1(N01) _ 1(N01) _ NAM2 _ 1(N01) _ AB~a _ ME~a _ 1(N01) _ GAL~a _ |1(N58).BAD~a| _ 1(N01) _ EN~a _ 1(N01) _ 1(N01) _ 1(N01)","N01 _ N01 _ NAM2 _ N01 _ AB~a _ ME~a _ N01 _ GAL~a _ |1(N58).BAD~a| _ N01 _ EN~a _ N01 _ N01 _ N01"
"P000164","1(N01) _ UMUN2 _ 1(N01) _ AB~a _ KU3~a _ 1(N01) _ GAL~a _ AK~a _ 1(N01) _ GAL~a _ IM~a _ 1(N01) _ IM~a _ 1(N01) _ 1(N01) _ 1(N01) _ DAM _ 1(N01) _ NUN~a _ BU3 _ 1(N01) _ ME~a _ 1(N01) _ GALGA~a _ 1(N01) _ LAGAR~a _ IB~a _ 1(N01) _ GAR _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01)","N01 _ UMUN2 _ N01 _ AB~a _ KU3~a _ N01 _ GAL~a _ AK~a _ N01 _ GAL~a _ IM~a _ N01 _ IM~a _ N01 _ N01 _ N01 _ DAM _ N01 _ NUN~a _ BU3 _ N01 _ ME~a _ N01 _ GALGA~a _ N01 _ LAGAR~a _ IB~a _ N01 _ GAR _ N01 _ N01 _ N01 _ N01 _ N01 _ N01"
"P000165","1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ SANGA~a _ |ZATU737xDI| _ 1(N01) _ SANGA~a","N01 _ N01 _ N01 _ N01 _ SANGA~a _ |ZATU737xDI| _ N01 _ SANGA~a"
"P000166","1(N01) _ 1(N01) _ KAR2~a _ 1(N01) _ NUN~a _ 1(N01)","N01 _ N01 _ KAR2~a _ N01 _ NUN~a _ N01"
"P000167","1(N01) _ 1(N01) _ 1(N01) _ GA2~b _ 1(N01) _ UR~a _ 1(N01) _ GA2~a3 _ 1(N01) _ URU~a1 _ 1(N01) _ 1(N01) _ 1(N01) _ GAL~a _ 1(N01) _ TE _ |NUN~a+EN~a| _ 1(N01) _ RAD~b _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ PAP~a _ 1(N01)","N01 _ N01 _ N01 _ GA2~b _ N01 _ UR~a _ N01 _ GA2~a3 _ N01 _ URU~a1 _ N01 _ N01 _ N01 _ GAL~a _ N01 _ TE _ |NUN~a+EN~a| _ N01 _ RAD~b _ N01 _ N01 _ N01 _ N01 _ N01 _ PAP~a _ N01"
"P000169","1(N01) _ 1(N01) _ 1(N01) _ |8(N57).NI~b|","N01 _ N01 _ N01 _ |8(N57).NI~b|"
"P000170","1(N01) _ NAMESZDA _ 1(N01) _ 1(N01) _ GAL~a _ SZUBUR _ 1(N01)","N01 _ NAMESZDA _ N01 _ N01 _ GAL~a _ SZUBUR _ N01"
"P000171","1(N01) _ GIR2~a _ 1(N01) _ AN _ GIR2~a","N01 _ GIR2~a _ N01 _ AN _ GIR2~a"
"P000172","1(N01) _ 1(N01) _ NUN~a _ PAP~a _ SIG7","N01 _ N01 _ NUN~a _ PAP~a _ SIG7"
"P000173","1(N01) _ 1(N01)","N01 _ N01"
"P000174","1(N01) _ 1(N01)","N01 _ N01"
"P000175","1(N01) _ 1(N01) _ 1(N01) _ 1(N01)","N01 _ N01 _ N01 _ N01"
"P000176","1(N01) _ ZATU686~c _ 1(N01) _ PA~a","N01 _ ZATU686~c _ N01 _ PA~a"
"P000177","",""
"P000178","1(N01) _ MA _ 1(N01) _ GU4 _ 1(N01) _ AD~a _ A _ BU~a","N01 _ MA _ N01 _ GU4 _ N01 _ AD~a _ A _ BU~a"
"P000179","1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ GAL~a _ SZITA~a1 _ 1(N01) _ ABGAL _ 1(N01) _ 1(N01) _ GAL~a _ TE _ 1(N01) _ NESAG2~b _ 1(N01) _ GAL~a _ TUR3~a _ 1(N01) _ GAL~a _ SZAB~a _ 1(N01) _ 1(N01) _ IM~b _ 1(N01) _ SZA _ 1(N01) _ GAL~a _ ERIN _ 1(N01) _ 1(N01) _ PA~a _ 1(N01) _ ADAB _ PA~a _ 1(N01) _ ADAB","N01 _ N01 _ N01 _ N01 _ N01 _ N01 _ GAL~a _ SZITA~a1 _ N01 _ ABGAL _ N01 _ N01 _ GAL~a _ TE _ N01 _ NESAG2~b _ N01 _ GAL~a _ TUR3~a _ N01 _ GAL~a _ SZAB~a _ N01 _ N01 _ IM~b _ N01 _ SZA _ N01 _ GAL~a _ ERIN _ N01 _ N01 _ PA~a _ N01 _ ADAB _ PA~a _ N01 _ ADAB"
"P000180","1(N01) _ 1(N01) _ 1(N01) _ NIM~a _ 1(N01) _ 1(N01) _ 1(N01) _ EN~a _ AMAR _ 1(N01) _ AN _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01)","N01 _ N01 _ N01 _ NIM~a _ N01 _ N01 _ N01 _ EN~a _ AMAR _ N01 _ AN _ N01 _ N01 _ N01 _ N01"
"P000181","|SU~ax1(N58)| _ |GA2~a1xMASZ| _ GISZ _ 1(N34) _ 2(N34) _ 1(N01) _ GURUSZ~a _ LA2 _ 1(N01)","|SU~ax1(N58)| _ |GA2~a1xMASZ| _ GISZ _ N34 _ N34 N34 _ N01 _ GURUSZ~a _ LA2 _ N01"
"P000182","1(N01) _ 1(N01) _ NUN~a _ 1(N01) _ AN _ RU _ 1(N01) _ EN~a _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01)","N01 _ N01 _ NUN~a _ N01 _ AN _ RU _ N01 _ EN~a _ N01 _ N01 _ N01 _ N01"
"P000183","NI~a _ 1(N01) _ DUG~b _ 1(N01)","NI~a _ N01 _ DUG~b _ N01"
"P000184","1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ NAM2 _ APIN~a _ SZITA~a1 _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ KU3~a _ 1(N01)","N01 _ N01 _ N01 _ N01 _ NAM2 _ APIN~a _ SZITA~a1 _ N01 _ N01 _ N01 _ N01 _ N01 _ KU3~a _ N01"
"P000187","NAM2 _ 1(N01) _ GISZ _ NU11 _ 1(N01) _ GISZ _ KIN2~c _ 1(N01) _ 1(N01) _ 1(N01) _ DUB~b _ 1(N01) _ GISZ _ 1(N01) _ SI","NAM2 _ N01 _ GISZ _ NU11 _ N01 _ GISZ _ KIN2~c _ N01 _ N01 _ N01 _ DUB~b _ N01 _ GISZ _ N01 _ SI"
"P000188","1(N01) _ 1(N01) _ TE _ 1(N01) _ NI~b _ 1(N01)","N01 _ N01 _ TE _ N01 _ NI~b _ N01"
"P000189","SUM~a _ ZATU751~a","SUM~a _ ZATU751~a"
"P000190","GUM~b","GUM~b"
"P000191","1(N01) _ 1(N01) _ 1(N01)","N01 _ N01 _ N01"
"P000193","1(N01) _ 1(N01) _ 1(N01) _ 1(N01)","N01 _ N01 _ N01 _ N01"
"P000194","1(N01) _ |DUG~cx1(N57)| _ 1(N01)","N01 _ |DUG~cx1(N57)| _ N01"
"P000195","AN _ NE~a","AN _ NE~a"
"P000196","SIG _ GA~a _ SZA3~a1","SIG _ GA~a _ SZA3~a1"
"P000197","DA~a _ MAR~a _ NA~a _ NIR~b _ A _ ZATU680~b _ DA~a _ NA~a _ A","DA~a _ MAR~a _ NA~a _ NIR~b _ A _ ZATU680~b _ DA~a _ NA~a _ A"
"P000198","1(N01) _ GISZ _ 1(N01) _ IN~b _ 1(N01) _ GISZ _ 1(N01) _ GISZ _ URUDU~a _ 1(N01) _ TAG~b _ GISZ _ 1(N01) _ 1(N01) _ 1(N01)","N01 _ GISZ _ N01 _ IN~b _ N01 _ GISZ _ N01 _ GISZ _ URUDU~a _ N01 _ TAG~b _ GISZ _ N01 _ N01 _ N01"
"P000199","GU4 _ GU4","GU4 _ GU4"
"P000200","1(N01) _ |NINDA2x1(N01)| _ |NINDA2x2(N01)| _ 1(N08) _ 1(N01) _ 1(N01) _ A _ 1(N01)","N01 _ |NINDA2x1(N01)| _ |NINDA2x2(N01)| _ N08 _ N01 _ N01 _ A _ N01"
"P000201","1(N01) _ 1(N01) _ 1(N01) _ KI _ 1(N01) _ KI _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ KI _ 1(N01) _ MUSZ3~a _ 1(N01) _ DUR2 _ KI _ 1(N01) _ 1(N01) _ MAR~a _ 1(N01) _ U4 _ 1(N01) _ 1(N01) _ E2~a _ HI _ EZEN~b _ 1(N01) _ BU~a _ A _ 1(N01) _ NI2 _ 1(N01) _ SIG7 _ ZATU647 _ 1(N01) _ EN~a _ BA _ ZATU647 _ 1(N01) _ 1(N01) _ ILDUM~b _ BAR _ KI _ 1(N01) _ 1(N01) _ 1(N01) _ GAL~a _ 1(N01) _ 1(N01) _ ME~a _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ ADDA _ 1(N01) _ |ZATU737xSAL| _ 1(N01) _ SZENNUR~a _ 1(N01) _ E2~a _ SUKKAL _ NA~a _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ AN _ KI _ 1(N01) _ KI _ 1(N01) _ 1(N01) _ GAN2 _ A _ 1(N01) _ BA _ KI _ 1(N01) _ E2~a _ KI","N01 _ N01 _ N01 _ KI _ N01 _ KI _ N01 _ N01 _ N01 _ N01 _ KI _ N01 _ MUSZ3~a _ N01 _ DUR2 _ KI _ N01 _ N01 _ MAR~a _ N01 _ U4 _ N01 _ N01 _ E2~a _ HI _ EZEN~b _ N01 _ BU~a _ A _ N01 _ NI2 _ N01 _ SIG7 _ ZATU647 _ N01 _ EN~a _ BA _ ZATU647 _ N01 _ N01 _ ILDUM~b _ BAR _ KI _ N01 _ N01 _ N01 _ GAL~a _ N01 _ N01 _ ME~a _ N01 _ N01 _ N01 _ N01 _ ADDA _ N01 _ |ZATU737xSAL| _ N01 _ SZENNUR~a _ N01 _ E2~a _ SUKKAL _ NA~a _ N01 _ N01 _ N01 _ N01 _ AN _ KI _ N01 _ KI _ N01 _ N01 _ GAN2 _ A _ N01 _ BA _ KI _ N01 _ E2~a _ KI"
"P000202","1(N01) _ 1(N01) _ |DUG~bxKU6~a|","N01 _ N01 _ |DUG~bxKU6~a|"
"P000203","1(N01) _ KI _ |SAG+NAM2| _ 1(N01) _ DU _ AN _ NUN~a _ AD~a _ MUNU3 _ 1(N14) _ KAR2~a _ ME~a _ 3(N01) _ ZA~v","N01 _ KI _ |SAG+NAM2| _ N01 _ DU _ AN _ NUN~a _ AD~a _ MUNU3 _ N14 _ KAR2~a _ ME~a _ N01 N01 N01 _ ZA~v"
"P000204","GAR@g~b _ GAR","GAR@g~b _ GAR"
"P000205","1(N01) _ 1(N01) _ KAK~a","N01 _ N01 _ KAK~a"
"P000206","GA~b","GA~b"
"P000207","1(N01) _ 1(N01) _ MAR~a _ APIN~a _ 1(N01) _ 1(N01) _ DILMUN _ 1(N01) _ GAL~a _ DU6~b","N01 _ N01 _ MAR~a _ APIN~a _ N01 _ N01 _ DILMUN _ N01 _ GAL~a _ DU6~b"
"P000208","1(N01) _ 1(N01) _ NAM2 _ RAD~a _ 1(N01) _ AB~a _ ME~a _ 1(N01) _ 1(N01) _ IB~a _ 1(N01) _ SZITA~a1 _ 1(N01) _ ABGAL _ 1(N01) _ 1(N01) _ GAL~a _ TE _ 1(N01) _ GAL~a _ SUKKAL _ 1(N01) _ GADA~a _ SUKKAL _ 1(N01) _ GAL~a _ GA~a _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01)","N01 _ N01 _ NAM2 _ RAD~a _ N01 _ AB~a _ ME~a _ N01 _ N01 _ IB~a _ N01 _ SZITA~a1 _ N01 _ ABGAL _ N01 _ N01 _ GAL~a _ TE _ N01 _ GAL~a _ SUKKAL _ N01 _ GADA~a _ SUKKAL _ N01 _ GAL~a _ GA~a _ N01 _ N01 _ N01 _ N01 _ N01 _ N01 _ N01 _ N01 _ N01 _ N01 _ N01"
"P000210","1(N01) _ 1(N01) _ 1(N01) _ DI _ 1(N01) _ 1(N01) _ 1(N01)","N01 _ N01 _ N01 _ DI _ N01 _ N01 _ N01"
"P000211","1(N01) _ 1(N01)","N01 _ N01"
"P000212","1(N01) _ 1(N01) _ 1(N01)","N01 _ N01 _ N01"
"P000213","1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01)","N01 _ N01 _ N01 _ N01 _ N01"
"P000214","1(N01) _ 1(N01) _ 1(N01)","N01 _ N01 _ N01"
"P000215","",""
"P000216","SUHUR _ |(SUKUD+SUKUD)~b|","SUHUR _ |(SUKUD+SUKUD)~b|"
"P000217","1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01)","N01 _ N01 _ N01 _ N01 _ N01 _ N01"
"P000218","KASKAL _ 1(N01)","KASKAL _ N01"
"P000219","U2~a _ U2~a","U2~a _ U2~a"
"P000220","1(N01) _ 1(N01) _ 1(N01)","N01 _ N01 _ N01"
"P000221","1(N01) _ 1(N01)","N01 _ N01"
"P000222","1(N01) _ AB~a _ ME~a _ 1(N01) _ GAL~a _ KISAL~b2","N01 _ AB~a _ ME~a _ N01 _ GAL~a _ KISAL~b2"
"P000223","AD~a _ AD~a _ 1(N14) _ 3(N01)","AD~a _ AD~a _ N14 _ N01 N01 N01"
"P000224","SZE~a","SZE~a"
"P000225","1(N01) _ GI _ NAM2 _ GISZ _ 1(N01) _ GISZ _ 1(N01) _ GISZ _ 1(N01) _ GISZ _ 1(N01) _ GISZ _ 1(N01) _ HI _ GISZ _ E2~b _ 1(N01) _ NUN~a _ 1(N01) _ 1(N01) _ GISZ@t _ E2~b _ 1(N01) _ GISZ _ PU2 _ 1(N01) _ GISZ _ PU2 _ 1(N01) _ KI _ GISZ _ 1(N01) _ GISZ _ KI _ 1(N01) _ GISZ _ GI _ 1(N01) _ |BAD&BAD| _ 1(N01) _ BAD _ 1(N01) _ TAG~b _ 1(N01) _ SI _ TAG~b _ 1(N01) _ SI _ NIM~a _ 1(N01) _ AL _ 1(N01) _ NAM2 _ AL _ GISZ _ 1(N01) _ 1(N01) _ 1(N01) _ KIN _ 1(N01) _ KIN _ SZU _ 1(N01) _ GISZ _ 1(N01) _ GISZ _ TAG~a1 _ 1(N01) _ 1(N01) _ 1(N01) _ GISZ _ SIG _ 1(N01) _ U4 _ GISZ _ 1(N01) _ GISZ _ 1(N01) _ 1(N01) _ GISZ _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01)","N01 _ GI _ NAM2 _ GISZ _ N01 _ GISZ _ N01 _ GISZ _ N01 _ GISZ _ N01 _ GISZ _ N01 _ HI _ GISZ _ E2~b _ N01 _ NUN~a _ N01 _ N01 _ GISZ@t _ E2~b _ N01 _ GISZ _ PU2 _ N01 _ GISZ _ PU2 _ N01 _ KI _ GISZ _ N01 _ GISZ _ KI _ N01 _ GISZ _ GI _ N01 _ |BAD&BAD| _ N01 _ BAD _ N01 _ TAG~b _ N01 _ SI _ TAG~b _ N01 _ SI _ NIM~a _ N01 _ AL _ N01 _ NAM2 _ AL _ GISZ _ N01 _ N01 _ N01 _ KIN _ N01 _ KIN _ SZU _ N01 _ GISZ _ N01 _ GISZ _ TAG~a1 _ N01 _ N01 _ N01 _ GISZ _ SIG _ N01 _ U4 _ GISZ _ N01 _ GISZ _ N01 _ N01 _ GISZ _ N01 _ N01 _ N01 _ N01 _ N01 _ N01"
"P000226","1(N01) _ LAM~b _ 1(N01) _ 1(N01) _ MES _ 1(N01) _ MES _ 1(N01) _ SZE3 _ A _ 1(N01) _ TAK4~a _ 1(N01) _ AB~a _ U2~b _ 1(N01) _ GAL~a _ SZA _ 1(N01) _ SZA _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ GUL _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ GISZ _ 1(N01) _ GISZ _ 1(N01) _ GISZ _ 1(N01) _ 1(N01) _ NAGA~a _ 1(N01) _ DA~a _ 1(N01) _ GISZ _ U4 _ 1(N01) _ 1(N01) _ GUM~b _ 1(N01) _ 1(N01) _ 1(N01) _ U4 _ 1(N01) _ UR4~a _ SIG _ 1(N01) _ GISZ@t _ SI _ 1(N01) _ TAG~b _ 1(N01) _ |BAD&BAD| _ 1(N01) _ BAD _ 1(N14) _ 9(N01) _ HI _ KASKAL _ GI","N01 _ LAM~b _ N01 _ N01 _ MES _ N01 _ MES _ N01 _ SZE3 _ A _ N01 _ TAK4~a _ N01 _ AB~a _ U2~b _ N01 _ GAL~a _ SZA _ N01 _ SZA _ N01 _ N01 _ N01 _ N01 _ GUL _ N01 _ N01 _ N01 _ N01 _ GISZ _ N01 _ GISZ _ N01 _ GISZ _ N01 _ N01 _ NAGA~a _ N01 _ DA~a _ N01 _ GISZ _ U4 _ N01 _ N01 _ GUM~b _ N01 _ N01 _ N01 _ U4 _ N01 _ UR4~a _ SIG _ N01 _ GISZ@t _ SI _ N01 _ TAG~b _ N01 _ |BAD&BAD| _ N01 _ BAD _ N14 _ N01 N01 N01 N01 N01 N01 N01 N01 N01 _ HI _ KASKAL _ GI"
"P000227","GIR2~a _ AN _ DA~a _ KASZ~a _ KISZ","GIR2~a _ AN _ DA~a _ KASZ~a _ KISZ"
"P000229","1(N01) _ ZATU647 _ ZATU647 _ ZATU647 _ ZATU647 _ 1(N01) _ SZITA~a1 _ SZITA~a1 _ 1(N01) _ 1(N01) _ 1(N01)","N01 _ ZATU647 _ ZATU647 _ ZATU647 _ ZATU647 _ N01 _ SZITA~a1 _ SZITA~a1 _ N01 _ N01 _ N01"
"P000230","1(N01) _ EN~a _ SIG2~b _ 1(N01)","N01 _ EN~a _ SIG2~b _ N01"
"P000231","1(N01) _ 1(N01) _ KU6~a _ 1(N01)","N01 _ N01 _ KU6~a _ N01"
"P000232","",""
"P000233","1(N01) _ NAM2 _ URU~a1 _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ ABGAL _ 1(N01) _ KINGAL _ 1(N01) _ GAL~a _ TE _ 1(N01) _ 1(N01) _ GADA~a _ 1(N01) _ 1(N01) _ GAL~a _ SZAB~a _ 1(N01) _ BU~a _ SZAB~a _ 1(N01) _ 1(N01) _ 1(N01) _ GAL~a _ 1(N01) _ SUHUR _ SANGA~a _ 1(N01) _ SUHUR _ GAL~a _ 1(N01) _ DUB~a _ SANGA~a _ 1(N01) _ GAL~a _ 1(N01) _ SUG5 _ SAG _ 1(N01) _ 1(N01) _ ISZ~b _ GAL~a _ 1(N01)","N01 _ NAM2 _ URU~a1 _ N01 _ N01 _ N01 _ N01 _ N01 _ N01 _ ABGAL _ N01 _ KINGAL _ N01 _ GAL~a _ TE _ N01 _ N01 _ GADA~a _ N01 _ N01 _ GAL~a _ SZAB~a _ N01 _ BU~a _ SZAB~a _ N01 _ N01 _ N01 _ GAL~a _ N01 _ SUHUR _ SANGA~a _ N01 _ SUHUR _ GAL~a _ N01 _ DUB~a _ SANGA~a _ N01 _ GAL~a _ N01 _ SUG5 _ SAG _ N01 _ N01 _ ISZ~b _ GAL~a _ N01"
"P000234","1(N01) _ NAMESZDA _ 1(N01) _ NAM2 _ KAB _ 1(N01) _ DI _ 1(N01) _ NAM2 _ NAM2 _ 1(N01) _ NAM2 _ 1(N01) _ 1(N01) _ GADA~a _ 1(N01) _ GAL~a _ 1(N01) _ SIG2~b _ 1(N01) _ 1(N01)","N01 _ NAMESZDA _ N01 _ NAM2 _ KAB _ N01 _ DI _ N01 _ NAM2 _ NAM2 _ N01 _ NAM2 _ N01 _ N01 _ GADA~a _ N01 _ GAL~a _ N01 _ SIG2~b _ N01 _ N01"
"P000235","SUM~a _ 1(N01) _ AN _ HI _ 1(N01) _ KAB _ 1(N01) _ AMA~b _ 1(N01) _ NI~b _ BAHAR2~a _ 1(N01) _ DU _ |GISZxSZU2~b| _ 1(N01) _ SAR~a _ A _ 1(N01) _ GISZ _ SAR~a _ A _ 1(N01) _ SAR~a _ A","SUM~a _ N01 _ AN _ HI _ N01 _ KAB _ N01 _ AMA~b _ N01 _ NI~b _ BAHAR2~a _ N01 _ DU _ |GISZxSZU2~b| _ N01 _ SAR~a _ A _ N01 _ GISZ _ SAR~a _ A _ N01 _ SAR~a _ A"
"P000236","1(N01) _ 1(N01) _ SUHUR _ 1(N01) _ APIN~a _ 1(N01) _ 1(N01) _ NESAG2~a _ 1(N01) _ BARA3","N01 _ N01 _ SUHUR _ N01 _ APIN~a _ N01 _ N01 _ NESAG2~a _ N01 _ BARA3"
"P000237","1(N01) _ 1(N01) _ AB~a _ ME~a _ 1(N01) _ GAL~a _ |1(N58).BAD~a| _ TUR3~a _ UMUN2 _ UMUN2 _ 1(N01) _ 1(N01) _ SANGA~a _ 1(N01) _ BU~a _ NUN~a _ 1(N01) _ BU~a _ SANGA~a _ NUN~a _ ME~a _ 1(N01) _ NUN~a","N01 _ N01 _ AB~a _ ME~a _ N01 _ GAL~a _ |1(N58).BAD~a| _ TUR3~a _ UMUN2 _ UMUN2 _ N01 _ N01 _ SANGA~a _ N01 _ BU~a _ NUN~a _ N01 _ BU~a _ SANGA~a _ NUN~a _ ME~a _ N01 _ NUN~a"
"P000240","5(N01) _ MUNU3 _ GAZI _ HALUB _ MUSZEN _ SZE~a _ 5(N01) _ MASZ _ SI4~a _ 1(N14) _ 1(N14) _ 1(N01) _ AB2 _ 1(N01) _ AMAR _ GA~b _ 1(N14) _ 1(N14) _ GA~b _ 1(N14) _ GARA2~a _ 1(N14) _ AB2 _ 1(N01) _ GU4 _ 1(N14) _ 1(N01) _ UTUA~b _ 1(N14) _ UD5~a _ GAZI _ 5(N01) _ HALUB _ 5(N01) _ MUSZEN _ SZE~a _ 5(N01) _ MASZ _ 1(N14) _ 1(N14) _ 1(N14) _ 1(N14) _ GARA2~a _ 1(N14) _ AB2 _ 1(N01) _ U8 _ 1(N01) _ UTUA~b _ 1(N14) _ UD5~a _ 1(N01) _ MASZ2 _ 1(N34) _ 1(N01) _ MUSZEN _ A _ 1(N01) _ ISZ~b _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ ZATU718 _ E2~a _ 1(N01) _ EN~a _ 1(N01) _ 1(N34) _ 1(N14) _ NUN~a","N01 N01 N01 N01 N01 _ MUNU3 _ GAZI _ HALUB _ MUSZEN _ SZE~a _ N01 N01 N01 N01 N01 _ MASZ _ SI4~a _ N14 _ N14 _ N01 _ AB2 _ N01 _ AMAR _ GA~b _ N14 _ N14 _ GA~b _ N14 _ GARA2~a _ N14 _ AB2 _ N01 _ GU4 _ N14 _ N01 _ UTUA~b _ N14 _ UD5~a _ GAZI _ N01 N01 N01 N01 N01 _ HALUB _ N01 N01 N01 N01 N01 _ MUSZEN _ SZE~a _ N01 N01 N01 N01 N01 _ MASZ _ N14 _ N14 _ N14 _ N14 _ GARA2~a _ N14 _ AB2 _ N01 _ U8 _ N01 _ UTUA~b _ N14 _ UD5~a _ N01 _ MASZ2 _ N34 _ N01 _ MUSZEN _ A _ N01 _ ISZ~b _ N01 _ N01 _ N01 _ N01 _ N01 _ N01 _ N01 _ ZATU718 _ E2~a _ N01 _ EN~a _ N01 _ N34 _ N14 _ NUN~a"
"P000241","ZA~v _ AN _ GIR2~a _ ANSZE~b _ GARA2~a _ AB2 _ 1(N01) _ 1(N01) _ 1(N01) _ UB _ 5(N01) _ 5(N01) _ 5(N01) _ 5(N01)","ZA~v _ AN _ GIR2~a _ ANSZE~b _ GARA2~a _ AB2 _ N01 _ N01 _ N01 _ UB _ N01 N01 N01 N01 N01 _ N01 N01 N01 N01 N01 _ N01 N01 N01 N01 N01 _ N01 N01 N01 N01 N01"
"P000243","GIR2~a _ KISZ _ GA~b _ GARA2~a _ 1(N01) _ 1(N01) _ 5(N01) _ 5(N01)","GIR2~a _ KISZ _ GA~b _ GARA2~a _ N01 _ N01 _ N01 N01 N01 N01 N01 _ N01 N01 N01 N01 N01"
"P000244","1(N01) _ GA~b _ 1(N14) _ GARA2~a _ 1(N14) _ AB2 _ 2(N14) _ GU4 _ 1(N14) _ 1(N14) _ 1(N14)","N01 _ GA~b _ N14 _ GARA2~a _ N14 _ AB2 _ N14 N14 _ GU4 _ N14 _ N14 _ N14"
"P000245","1(N01) _ 1(N01) _ 3(N01) _ ZA~v _ GIR2~a _ AN _ 1(N01) _ 1(N45)","N01 _ N01 _ N01 N01 N01 _ ZA~v _ GIR2~a _ AN _ N01 _ N45"
"P000246","GAZI _ 3(N01) _ 4(N01) _ AN _ GIR2~a _ 1(N14)","GAZI _ N01 N01 N01 _ N01 N01 N01 N01 _ AN _ GIR2~a _ N14"
