artifact_id,cdli_comments,designation,artifact_type,period,provenience,written_in,archive,composite_no,seal_no,composites,seals,museum_no,accession_no,condition_description,artifact_preservation,period_comments,provenience_comments,artifact_type_comments,is_provenience_uncertain,is_period_uncertain,is_artifact_type_uncertain,is_school_text,height,thickness,width,weight,elevation,excavation_no,findspot_square,findspot_comments,stratigraphic_level,surface_preservation,artifact_comments,seal_information,collections,dates,alternative_years,genres,languages,materials,publications_key,publications_type,publications_exact_ref,publications_comment,external_resources,external_resources_key,genres_comment,genres_uncertain,languages_uncertain,materials_aspect,materials_color,materials_uncertain,retired,has_fragments,is_artifact_fake,redirect_artifact_id,retired_comments
899,,"ATU 5, pl. 020, W 6883,a",tablet,Uruk V (ca. 3500-3350 BC),Uruk (mod. Warka),,,,,,S999999,VA 13630,,,,"change to Uruk V ?, numerical tablet",,,0,0,0,0,65,23,45,,,"W 06883,a","Pd XVI,3","an der nördlichen Kante der Rillenwand der Schicht IV, 1-2 m nordwestlich der Tür, z.T. in einem Lager in dem Mauerrücksprung 1,5 m nordwestlich der Tür",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1994ATU5,primary,"pl. 20, W 6883,a","65x45x23 - same locus as W 6881,b - 8.2.1930 - sealed ""numerical"" tablet - photo courtesy of VAM.",,, ,0,0,,,0,0,0,0,,
901,,"ATU 5, pl. 021, W 6883,e",tablet,Uruk V (ca. 3500-3350 BC),Uruk (mod. Warka),,,,,,S999999,VA 13630,,,,"change to Uruk V ?, numerical tablet",,,0,0,0,0,31,17,34,,,"W 06883,e","Pd XVI,3","an der nördlichen Kante der Rillenwand der Schicht IV, 1-2 m nordwestlich der Tür, z.T. in einem Lager in dem Mauerrücksprung 1,5 m nordwestlich der Tür",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1994ATU5,primary,"pl. 21, W 6883,e","31x34x17 - same locus as W 6881,b - 8.2.1930 - sealed ""numerical"" tablet.",,, ,0,0,,,0,0,0,0,,
902,,"ATU 5, pl. 021, W 6883,g",tablet,Uruk V (ca. 3500-3350 BC),Uruk (mod. Warka),,,,,,S999999,VA 13622,,,,"change to Uruk V ?, numerical tablet",,,0,0,0,0,57,24,50,,,"W 06883,g","Pd XVI,3","an der nördlichen Kante der Rillenwand der Schicht IV, 1-2 m nordwestlich der Tür, z.T. in einem Lager in dem Mauerrücksprung 1,5 m nordwestlich der Tür",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1994ATU5,primary,"pl. 21, W 6883,g","57x50x24 - same locus as W 6881,b - 8.2.1930 - sealed ""numerical"" tablet - photo courtesy of DAI-Baghdad.",,, ,0,0,,,0,0,0,0,,
904,,"ATU 5, pl. 021, W 6883,i",tablet,Uruk V (ca. 3500-3350 BC),Uruk (mod. Warka),,,,,,,VAT 17822,,,,"change to Uruk V ?, numerical tablet",,,0,0,0,0,28,18,36,,,"W 06883,i","Pd XVI,3","an der nördlichen Kante der Rillenwand der Schicht IV, 1-2 m nordwestlich der Tür, z.T. in einem Lager in dem Mauerrücksprung 1,5 m nordwestlich der Tür",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1994ATU5,primary,"pl. 21, W 6883,i","28x36x18 - same locus as W 6881,b - 8.2.1930 - ""numerical"" tablet.",,, ,0,0,,,0,0,0,0,,
905,,"ATU 5, pl. 021, W 6883,l",tablet,Uruk V (ca. 3500-3350 BC),Uruk (mod. Warka),,,,,,S999999,VAT 15332,,,,"change to Uruk V ?, numerical tablet",,,0,0,0,0,32,20,35,,,"W 06883,l","Pd XVI,3","an der nördlichen Kante der Rillenwand der Schicht IV, 1-2 m nordwestlich der Tür, z.T. in einem Lager in dem Mauerrücksprung 1,5 m nordwestlich der Tür",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1994ATU5,primary,"pl. 21, W 6883,l","32x35x20 - same locus as W 6881,b - 8.2.1930 - sealed ""numerical"" tablet, ""waster"" (tablet squashed and discarded in antiquity).",,, ,0,0,,,0,0,0,0,,
906,,"ATU 5, pl. 021, W 6883,m",tablet,Uruk V (ca. 3500-3350 BC),Uruk (mod. Warka),,,,,,S999999,VA 13630,,,,"change to Uruk V ?, numerical tablet",,,0,0,0,0,37,23,34,,,"W 06883,m","Pd XVI,3","an der nördlichen Kante der Rillenwand der Schicht IV, 1-2 m nordwestlich der Tür, z.T. in einem Lager in dem Mauerrücksprung 1,5 m nordwestlich der Tür",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1994ATU5,primary,"pl. 21, W 6883,m","37x34x23 - same locus as W 6881,b - 8.2.1930 - sealed ""numerical"" tablet, dividing line drawn with shaft of stylus.",,, ,0,0,,,0,0,0,0,,
918,,"ATU 5, pl. 022, W 6883,?",tablet,Uruk V (ca. 3500-3350 BC),Uruk (mod. Warka),,,,,,S999999,VA 13630,,,,"change to Uruk V ?, numerical tablet",,,0,0,0,0,41,16,26,,,"W 06883,?","Pd XVI,3","an der nördlichen Kante der Rillenwand der Schicht IV, 1-2 m nordwestlich der Tür, z.T. in einem Lager in dem Mauerrücksprung 1,5 m nordwestlich der Tür",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1994ATU5,primary,"pl. 22, W 6883,?","41x26x16 - same locus as W 6881,b - 8.2.1930 - sealed ""numerical"" tablet.",,, ,0,0,,,0,0,0,0,,
913,,"ATU 5, pl. 022, W 6883,t2",tablet,Uruk V (ca. 3500-3350 BC),Uruk (mod. Warka),,,,,,S999999,VA 13630,,,,"change to Uruk V ?, numerical tablet",,,0,0,0,0,35,23,28,,,"W 06883,t2","Pd XVI,3","an der nördlichen Kante der Rillenwand der Schicht IV, 1-2 m nordwestlich der Tür, z.T. in einem Lager in dem Mauerrücksprung 1,5 m nordwestlich der Tür",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1994ATU5,primary,"pl. 22, W 6883,t2","35x28x23 - same locus as W 6881,b - 8.2.1930 - sealed ""numerical"" tablet, dividing line drawn with shaft of stylus.",,, ,0,0,,,0,0,0,0,,
929,,"ATU 5, pl. 024, W 7038",tablet,Uruk V (ca. 3500-3350 BC),Uruk (mod. Warka),,,,,,,VAT 15261,,,,"change to Uruk V ?, numerical tablet",,,0,0,0,0,59,22,42,,,W 07038,"Pd XVI,3","etwa 0,8 m unter Asphaltpflaster// t.a.q. IIIc",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1994ATU5,primary,"pl. 24, W 7038","59x42x22 - Pd XVI,3, about 0.8 m below the asphalt pavement - 15.2.1930 - ""numerical"" tablet with two facing notations - photo courtesy of DAI-Baghdad.",,, ,0,0,,,0,0,0,0,,
930,,"ATU 5, pl. 024, W 7067,a",tablet,Uruk V (ca. 3500-3350 BC),Uruk (mod. Warka),,,,,,S999999,VA 13625,,,,"change to Uruk V ?, numerical tablet",,,0,0,0,0,47,21,39,,,"W 07067,a","Pe XVI,3",südlich der Rillenmauer deer Schicht IV// t.a.q. IIIc,,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1994ATU5,primary,"pl. 24, W 7067,a","47x39x21 - Pe XVI,3, south of the niched wall belonging to level IV - 17.2.1930 - sealed ""numerical"" tablet.",,, ,0,0,,,0,0,0,0,,
932,,"ATU 5, pl. 024, W 7067,c",tablet,Uruk V (ca. 3500-3350 BC),Uruk (mod. Warka),,,,,,S999999,VA 13625,,,,"change to Uruk V ?, numerical tablet",,,0,0,0,0,37,23,39,,,"W 07067,c","Pe XVI,3",südlich der Rillenmauer deer Schicht IV// t.a.q. IIIc,,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1994ATU5,primary,"pl. 24, W 7067,c","37x39x23 - same locus as W 7067,a+ - 17.2.1930 - sealed ""numerical"" tablet.",,, ,0,0,,,0,0,0,0,,
935,,"ATU 5, pl. 024, W 7067,f",tablet,Uruk V (ca. 3500-3350 BC),Uruk (mod. Warka),,,,,,S999999,VA 13625,,,,"change to Uruk V ?, numerical tablet",,,0,0,0,0,31,22,21,,,"W 07067,f","Pe XVI,3",südlich der Rillenmauer deer Schicht IV// t.a.q. IIIc,,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1994ATU5,primary,"pl. 24, W 7067,f","31x21x22 - same locus as W 7067,a+ - 17.2.1930 - sealed ""numerical"" tablet?",,, ,0,0,,,0,0,0,0,,
940,,"ATU 5, pl. 025, W 7092,b",tablet,Uruk V (ca. 3500-3350 BC),Uruk (mod. Warka),,,,,,S999999,VA 13631,,,,"change to Uruk V ?, numerical tablet",,,0,0,0,0,46,26,46,,,"W 07092,b","Pe XVI,3",auf Abgleichung IV,,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1994ATU5,primary,"pl. 25, W 7092,b","46x46x26 - Pe XVI,3, on leveling IV - 18.2.1930 - sealed ""numerical"" tablet?",,, ,0,0,,,0,0,0,0,,
941,,"ATU 5, pl. 025, W 7092,c",tablet,Uruk V (ca. 3500-3350 BC),Uruk (mod. Warka),,,,,,S999999,VA 13631,,,,"change to Uruk V ?, numerical tablet",,,0,0,0,0,35,23,51,,,"W 07092,c","Pe XVI,3",auf Abgleichung IV,,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1994ATU5,primary,"pl. 25, W 7092,c","35x51x23 - same locus as W 7092,b - 18.2.1930 - sealed ""numerical"" tablet?",,, ,0,0,,,0,0,0,0,,
942,,"ATU 5, pl. 025, W 7092,d",tablet,Uruk V (ca. 3500-3350 BC),Uruk (mod. Warka),,,,,,,VAT 17854,,,,"change to Uruk V ?, numerical tablet",,,0,0,0,0,40,25,29,,,"W 07092,d","Pe XVI,3",auf Abgleichung IV,,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1994ATU5,primary,"pl. 25, W 7092,d","40x29x25 - same locus as W 7092,b - 18.2.1930 - ""numerical"" tablet, dividing line drawn with shaft of stylus.",,, ,0,0,,,0,0,0,0,,
944,,"ATU 5, pl. 025, W 7092,f",tablet,Uruk V (ca. 3500-3350 BC),Uruk (mod. Warka),,,,,,S999999,VAT 15358,,,,"change to Uruk V ?, numerical tablet",,,0,0,0,0,31,21,40,,,"W 07092,f","Pe XVI,3",auf Abgleichung IV,,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1994ATU5,primary,"pl. 25, W 7092,f","31x40x21 - same locus as W 7092,b - 18.2.1930 - VAT number written above a stricken VAT 17786 - sealed ""numerical"" tablet, dividing line drawn with shaft of stylus.",,, ,0,0,,,0,0,0,0,,
949,,"ATU 5, pl. 025, W 7092,l1",tablet,Uruk V (ca. 3500-3350 BC),Uruk (mod. Warka),,,,,,,VAT 17849,,,,"change to Uruk V ?, numerical tablet",,,0,0,0,0,28,20,35,,,"W 07092,l1","Pe XVI,3",auf Abgleichung IV,,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1994ATU5,primary,"pl. 25, W 7092,l1","28x35x20 - same locus as W 7092,b - 18.2.1930 - sealed ""numerical"" tablet?",,, ,0,0,,,0,0,0,0,,
952,,"ATU 5, pl. 025, W 7092,o",tablet,Uruk V (ca. 3500-3350 BC),Uruk (mod. Warka),,,,,,,VAT 17841,,,,"change to Uruk V ?, numerical tablet",,,0,0,0,0,33,23,44,,,"W 07092,o","Pe XVI,3",auf Abgleichung IV,,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1994ATU5,primary,"pl. 25, W 7092,o","33x44x23 - same locus as W 7092,b - 18.2.1930 - ""numerical"" tablet, dividing line drawn with shaft of stylus.",,, ,0,0,,,0,0,0,0,,
954,,"ATU 5, pl. 026, W 7204,a+",tablet,Uruk V (ca. 3500-3350 BC),Uruk (mod. Warka),,,,,,S999999,VA 13632,,,,"change to Uruk V ?, numerical tablet",,,0,0,0,0,57,19,40,,,"W 07204,a + W 07204,c","Pd XVI,3",Scherbenschicht an der Rillenwand IV// t.a.q. IIIc,,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1994ATU5,primary,"pl. 26, W 7204,a+","57x40x19 - Pd XVI,3, layer of sherds against the niched wall IV - 24.2.1930 - sealed ""numerical"" tablet.",,, ,0,0,,,0,0,0,0,,
957,,"ATU 5, pl. 026, W 7204,d",tablet,Uruk V (ca. 3500-3350 BC),Uruk (mod. Warka),,,,,,S999999,VAT 15359,,,,,,,0,0,0,0,28,22,20,,,"W 07204,d","Pd XVI,3",Scherbenschicht an der Rillenwand IV// t.a.q. IIIc,,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1994ATU5,primary,"pl. 26, W 7204,d","39x21x22 - same locus as W 7204,a+ - 24.2.1930 - VAT number written above a stricken VAT 17794 - sealed ""numerical"" tablet? with only the notation 5N23 on the right edge (the sign N23 represents the quantity ""100"" in the proto-Elamite decimal system - see P. D",,, ,0,0,,,0,0,0,0,,
970,,"ATU 5, pl. 028, W 7272,a",tablet,Uruk V (ca. 3500-3350 BC),Uruk (mod. Warka),,,,,,,VAT 17812,,,,"change to Uruk V ?, numerical tablet",,,0,0,0,0,49,19,42,,,"W 07272,a","Pe XVI,3",Scherbenschicht der Schicht IV,,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1994ATU5,primary,"pl. 28, W 7272,a","49x42x19 - Pe XVI,3, layer of sherds belonging to level IV - 26.2.1930 - ""numerical"" tablet, dividing line impressed with shaft of the stylus.",,, ,0,0,,,0,0,0,0,,
971,,"ATU 5, pl. 028, W 7272,b",tablet,Uruk V (ca. 3500-3350 BC),Uruk (mod. Warka),,,,,,,VAT 17825,,,,"change to Uruk V ?, numerical tablet",,,0,0,0,0,55,22,39,,,"W 07272,b","Pe XVI,3",Scherbenschicht der Schicht IV// t.a.q. IIIc,,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1994ATU5,primary,"pl. 28, W 7272,b","55x39x22 - same locus as W 7272,a - 26.2.1930 - ""numerical"" tablet, dividing line impressed with shaft of the stylus.",,, ,0,0,,,0,0,0,0,,
972,,"ATU 5, pl. 029, W 7272,c",tablet,Uruk V (ca. 3500-3350 BC),Uruk (mod. Warka),,,,,,,VAT 17826,,,,"change to Uruk V ?, numerical tablet",,,0,0,0,0,57,20,39,,,"W 07272,c","Pe XVI,3",Scherbenschicht der Schicht IV// t.a.q. IIIc,,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1994ATU5,primary,"pl. 29, W 7272,c","57x39x20 - same locus as W 7272,a - 26.2.1930 - ""numerical"" tablet, dividing lines impressed with shaft of the stylus - photo courtesy of DAI-Baghdad.",,, ,0,0,,,0,0,0,0,,
973,,"ATU 5, pl. 029, W 7272,d",tablet,Uruk V (ca. 3500-3350 BC),Uruk (mod. Warka),,,,,,,VAT 17810,,,,"change to Uruk V ?, numerical tablet",,,0,0,0,0,60,24,38,,,"W 07272,d","Pe XVI,3",Scherbenschicht der Schicht IV// t.a.q. IIIc,,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1994ATU5,primary,"pl. 29, W 7272,d","60x38x24 - same locus as W 7272,a - 26.2.1930 - ""numerical"" tablet.",,, ,0,0,,,0,0,0,0,,
974,,"ATU 5, pl. 029, W 7272,e",tablet,Uruk V (ca. 3500-3350 BC),Uruk (mod. Warka),,,,,,,VAT 17836,,,,"change to Uruk V ?, numerical tablet",,,0,0,0,0,39,22,48,,,"W 07272,e","Pe XVI,3",Scherbenschicht der Schicht IV// t.a.q. IIIc,,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1994ATU5,primary,"pl. 29, W 7272,e","39x48x22 - same locus as W 7272,a - 26.2.1930 - ""numerical"" tablet.",ARMEP,X000974, ,0,0,,,0,0,0,0,,
975,,"ATU 5, pl. 029, W 7272,f",tablet,Uruk V (ca. 3500-3350 BC),Uruk (mod. Warka),,,,,,,VAT 17853,,,,"change to Uruk V ?, numerical tablet",,,0,0,0,0,35,16,46,,,"W 07272,f","Pe XVI,3",Scherbenschicht der Schicht IV// t.a.q. IIIc,,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1994ATU5,primary,"pl. 29, W 7272,f","35x46x16 - same locus as W 7272,a - 26.2.1930 - ""numerical"" tablet.",,, ,0,0,,,0,0,0,0,,
976,,"ATU 5, pl. 029, W 7272,g",tablet,Uruk V (ca. 3500-3350 BC),Uruk (mod. Warka),,,,,,,VAT 17848,,,,"change to Uruk V ?, numerical tablet",,,0,0,0,0,29,20,28,,,"W 07272,g","Pe XVI,3",Scherbenschicht der Schicht IV// t.a.q. IIIc,,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1994ATU5,primary,"pl. 29, W 7272,g","29x28x20 - same locus as W 7272,a - 26.2.1930 - ""numerical"" tablet.",,, ,0,0,,,0,0,0,0,,
987,,"ATU 5, pl. 031, W 7357",tablet,Uruk V (ca. 3500-3350 BC),Uruk (mod. Warka),,,,,,,VAT 17813,,,,"change to Uruk V ?, numerical tablet",,,0,0,0,0,58,23,46,,,W 07357,"Pe XVI,3",Schutt 1 m über Kalksteinfund,,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1994ATU5,primary,"pl. 31, W 7357","58x46x23 - Pe XVI,3 - 2.3.1930 - ""numerical"" tablet, dividing line impressed with shaft of the stylus - photo courtesy of VAM.",,, ,0,0,,,0,0,0,0,,
