id,comments,object_id,ensemble_id,techno_complex,site_name,location,country,longitude,latitude,layer,dating_method,date_bp_max_min,excavation_year,material,object_type,length_mm,width_mm,depth_mm,preservation,short_description,references,sign_coding,coding_certainty
820,"tooth xx. not examined. published in Blanchard 1972, could not be assigned to any number from d'Errico & Vanhaeren 2003",sgr0074,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,Saint-Germain-la-Rivière,France,-0.333300,44.400000,burial,"AMS, 858 (GifA 95456)","15,780 ± 200",1934,"animal tooth, red deer","personal ornament, pendant",,,,complete,"red deer canine with markings on the frontal surface. not examined. published in Blanchard 1972, could not be assigned to any number from d'Errico & Vanhaeren 2003. transcript based on photo","Blanchard et al. 1972, Pl. I; Gambier et al. 2000; Vermeersch 2016",|||X,Certain
819,"tooth xx. not examined. published in Blanchard 1972, could not be assigned to any number from d'Errico & Vanhaeren 2003",sgr0073,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,Saint-Germain-la-Rivière,France,-0.333300,44.400000,burial,"AMS, 858 (GifA 95456)","15,780 ± 200",1934,"animal tooth, red deer","personal ornament, pendant",,,,complete,"red deer canine with markings on the occusal surface, centred. not examined. published in Blanchard 1972, could not be assigned to any number from d'Errico & Vanhaeren 2003. transcript based on photo","Blanchard et al. 1972, Pl. I; Gambier et al. 2000; Vermeersch 2016",||,Certain
818,tooth 74. missing (see Vanhaeren & d'Errico 2003). not examined. Tanscript based on photo,sgr0072,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,Saint-Germain-la-Rivière,France,-0.333300,44.400000,burial,"AMS, 858 (GifA 95456)","15,780 ± 200",1934,"animal tooth, red deer","personal ornament, pendant",,,,complete,reed deer canine with markings. piece is missing (see Vanhaeren & d'Errico 2003). Transcript based on photo,"Vanhaeren & d'Errico  2003, Fig. 6.74; Blanchard et al. 1972, Pl. I; Gambier et al. 2000; Vermeersch 2016",XX,Very uncertain
817,tooth 71. no markings. not examined,sgr0071,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,Saint-Germain-la-Rivière,France,-0.333300,44.400000,burial,"AMS, 858 (GifA 95456)","15,780 ± 200",1934,"animal tooth, red deer","personal ornament, pendant",,,,complete,"red deer canine, no markings","Vanhaeren & d'Errico  2003, Fig. 6.71",,
816,tooth 70,sgr0070,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,Saint-Germain-la-Rivière,France,-0.333300,44.400000,burial,"AMS, 858 (GifA 95456)","15,780 ± 200",1934,"animal tooth, red deer","personal ornament, pendant",,,,fragmentary,"right red deer canine with markings on the occlusal surface, complete","Vanhaeren & d'Errico  2003, Fig. 6.70; Vanhaeren & d'Errico  2003, Fig. 13.34; Gambier et al. 2000; Vermeersch 2016",|||||,Certain
815,tooth 69. no markings. not examined,sgr0069,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,Saint-Germain-la-Rivière,France,-0.333300,44.400000,burial,"AMS, 858 (GifA 95456)","15,780 ± 200",1934,"animal tooth, red deer","personal ornament, pendant",,,,complete,"red deer canine, no markings","Vanhaeren & d'Errico  2003, Fig. 6.69",,
814,tooth 68. no markings. not examined,sgr0068,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,Saint-Germain-la-Rivière,France,-0.333300,44.400000,burial,"AMS, 858 (GifA 95456)","15,780 ± 200",1934,"animal tooth, red deer","personal ornament, pendant",,,,fragmentary,"red deer canine, no markings","Vanhaeren & d'Errico  2003, Fig. 6.68",,
813,tooth 67. not examined. transcript based on photo,sgr0067,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,Saint-Germain-la-Rivière,France,-0.333300,44.400000,burial,"AMS, 858 (GifA 95456)","15,780 ± 200",1934,"animal tooth, red deer","personal ornament, pendant",,,,fragmentary,"left red deer canine with markings on the occusal surface, approximal","Vanhaeren & d'Errico  2003, Fig. 6.67; Vanhaeren & d'Errico  2003, Fig. 13.11; Gambier et al. 2000; Vermeersch 2016",||,Very uncertain
812,tooth 66. no markings. not examined,sgr0066,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,Saint-Germain-la-Rivière,France,-0.333300,44.400000,burial,"AMS, 858 (GifA 95456)","15,780 ± 200",1934,"animal tooth, red deer","personal ornament, pendant",,,,almost complete,"red deer canine, no markings","Vanhaeren & d'Errico  2003, Fig. 6.66",,
811,tooth 65. no markings. not examined,sgr0065,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,Saint-Germain-la-Rivière,France,-0.333300,44.400000,burial,"AMS, 858 (GifA 95456)","15,780 ± 200",1934,"animal tooth, red deer","personal ornament, pendant",,,,almost complete,"red deer canine, no markings","Vanhaeren & d'Errico  2003, Fig. 6.165",,
810,tooth 64. no markings. not examined,sgr0064,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,Saint-Germain-la-Rivière,France,-0.333300,44.400000,burial,"AMS, 858 (GifA 95456)","15,780 ± 200",1934,"animal tooth, red deer","personal ornament, pendant",,,,complete,"red deer canine, no markings","Vanhaeren & d'Errico  2003, Fig. 6.64",,
809,tooth 63. no markings. not examined,sgr0063,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,Saint-Germain-la-Rivière,France,-0.333300,44.400000,burial,"AMS, 858 (GifA 95456)","15,780 ± 200",1934,"animal tooth, red deer","personal ornament, pendant",,,,complete,"red deer canine, no markings","Vanhaeren & d'Errico  2003, Fig. 6.63",,
808,tooth 62,sgr0062,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,Saint-Germain-la-Rivière,France,-0.333300,44.400000,burial,"AMS, 858 (GifA 95456)","15,780 ± 200",1934,"animal tooth, red deer","personal ornament, pendant",,,,complete,"right red deer canine with markings on the occlusal surface, centered","Vanhaeren & d'Errico  2003, Fig. 6.62; Vanhaeren & d'Errico  2003, Fig. 13.30; Blanchard et al. 1972, Pl. I; Gambier et al. 2000; Vermeersch 2016",||l|,Certain
807,tooth 61,sgr0061,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,Saint-Germain-la-Rivière,France,-0.333300,44.400000,burial,"AMS, 858 (GifA 95456)","15,780 ± 200",1934,"animal tooth, red deer","personal ornament, pendant",,,,complete,"right red deer canine with markings on the occlusal surface, frontal, lingual","Vanhaeren & d'Errico  2003, Fig. 6.61; Vanhaeren & d'Errico  2003, Fig. 13.29; Gambier et al. 2000; Vermeersch 2016",ll,Very certain
806,tooth 60,sgr0060,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,Saint-Germain-la-Rivière,France,-0.333300,44.400000,burial,"AMS, 858 (GifA 95456)","15,780 ± 200",1934,"animal tooth, red deer","personal ornament, pendant",,,,complete,"right red deer canine with markings on the occlusal surface, centered","Vanhaeren & d'Errico  2003, Fig. 6.60; Vanhaeren & d'Errico  2003, Fig. 13.28; Blanchard et al. 1972, Pl. I; Gambier et al. 2000; Vermeersch 2016",|l|⚹,Very certain
805,tooth 59,sgr0059,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,Saint-Germain-la-Rivière,France,-0.333300,44.400000,burial,"AMS, 858 (GifA 95456)","15,780 ± 200",1934,"animal tooth, red deer","personal ornament, pendant",,,,fragmentary,"right red deer canine with markings on the occlusal surface, complete","Vanhaeren & d'Errico  2003, Fig. 6.59; Vanhaeren & d'Errico  2003, Fig. 13.27; Gambier et al. 2000; Vermeersch 2016",| |≠,Very certain
804,tooth 58,sgr0058,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,Saint-Germain-la-Rivière,France,-0.333300,44.400000,burial,"AMS, 858 (GifA 95456)","15,780 ± 200",1934,"animal tooth, red deer","personal ornament, pendant",,,,complete,"right red deer canine with markings on the buccal surface, approximal","Vanhaeren & d'Errico  2003, Fig. 6.58; Gambier et al. 2000; Vermeersch 2016",vvv,Very certain
803,tooth 57. no markings. not examined,sgr0057,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,Saint-Germain-la-Rivière,France,-0.333300,44.400000,burial,"AMS, 858 (GifA 95456)","15,780 ± 200",1934,"animal tooth, red deer","personal ornament, pendant",,,,complete,"red deer canine, no markings","Vanhaeren & d'Errico  2003, Fig. 6.57",,
802,tooth 56,sgr0056,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,Saint-Germain-la-Rivière,France,-0.333300,44.400000,burial,"AMS, 858 (GifA 95456)","15,780 ± 200",1934,"animal tooth, red deer","personal ornament, pendant",,,,complete,"right red deer canine with markings on the occlusal surface, centered","Vanhaeren & d'Errico  2003, Fig. 6.56; Vanhaeren & d'Errico  2003, Fig. 13.25; Gambier et al. 2000; Vermeersch 2016",|,Very certain
801,tooth 55. no markings. not examined,sgr0055,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,Saint-Germain-la-Rivière,France,-0.333300,44.400000,burial,"AMS, 858 (GifA 95456)","15,780 ± 200",1934,"animal tooth, red deer","personal ornament, pendant",,,,complete,"red deer canine, no markings","Vanhaeren & d'Errico  2003, Fig. 6.55",,
800,tooth 54,sgr0054,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,Saint-Germain-la-Rivière,France,-0.333300,44.399999,burial,"AMS, 858 (GifA 95456)","15,780 ± 200",1934,"animal tooth, red deer","personal ornament, pendant",,,,complete,"right red deer canine with markings on the occlusal surface, complete","Vanhaeren & d'Errico  2003, Fig. 6.54; Vanhaeren & d'Errico  2003, Fig. 13.24; Blanchard et al. 1972, Pl. I; Gambier et al. 2000; Vermeersch 2016",l||⚹,Very certain
799,tooth 53,sgr0053,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,Saint-Germain-la-Rivière,France,-0.333300,44.400000,burial,"AMS, 858 (GifA 95456)","15,780 ± 200",1934,"animal tooth, red deer","personal ornament, pendant",,,,complete,"right red deer canine with markings on the occlusal surface, complete","Vanhaeren & d'Errico  2003, Fig. 6.53; Vanhaeren & d'Errico  2003, Fig. 13.23; Gambier et al. 2000; Vermeersch 2016",|| ||,Very certain
798,"tooth 52. not examined, missing (recently). no transcript possible",sgr0052,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,Saint-Germain-la-Rivière,France,-0.333300,44.400000,burial,"AMS, 858 (GifA 95456)","15,780 ± 200",1934,"animal tooth, red deer","personal ornament, pendant",,,,fragmentary,right red deer canine with markings on the occlusal surface. the piece is missing and the photographs do not show the marked surface so there is no transcript possible,"Vanhaeren & d'Errico  2003, Fig. 6.52; Vanhaeren & d'Errico  2003, Fig. 13.26; Gambier et al. 2000; Vermeersch 2016",,
797,tooth 51. not examined. missing recently,sgr0051,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,Saint-Germain-la-Rivière,France,-0.333300,44.400000,burial,"AMS, 858 (GifA 95456)","15,780 ± 200",1934,"animal tooth, red deer","personal ornament, pendant",,,,fragmentary,"right red deer canine with markings on the occlusal surface, approximal, in centre buccal","Vanhaeren & d'Errico  2003, Fig. 6.51; Vanhaeren & d'Errico  2003, Fig. 13.33; von Petzinger 2016; Gambier et al. 2000; Vermeersch 2016",|||vv,Certain
796,tooth 50,sgr0050,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,Saint-Germain-la-Rivière,France,-0.333300,44.400000,burial,"AMS, 858 (GifA 95456)","15,780 ± 200",1934,"animal tooth, red deer","personal ornament, pendant",,,,complete,"right red deer canine with markings on the occlusal surface, lingual 1/3 to central","Vanhaeren & d'Errico  2003, Fig. 6.50; Vanhaeren & d'Errico  2003, Fig. 13.32; Gambier et al. 2000; Vermeersch 2016",lll| |l,Very certain
795,tooth 49,sgr0049,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,Saint-Germain-la-Rivière,France,-0.333300,44.400000,burial,"AMS, 858 (GifA 95456)","15,780 ± 200",1934,"animal tooth, red deer","personal ornament, pendant",,,,complete,"right red deer canine with markings on the frontal surface, from top to bottom, lingually orientated","Vanhaeren & d'Errico  2003, Fig. 6.49; Vanhaeren & d'Errico  2003, Fig. 13.22; Blanchard et al. 1972, Pl. I; Gambier et al. 2000; Vermeersch 2016",v||,Certain
794,tooth 48. no markings. not examined,sgr0048,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,Saint-Germain-la-Rivière,France,-0.333300,44.400000,burial,"AMS, 858 (GifA 95456)","15,780 ± 200",1934,"animal tooth, red deer","personal ornament, pendant",,,,complete,"red deer canine, no markings","Vanhaeren & d'Errico  2003, Fig. 6.48",,
793,tooth 47,sgr0047,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,Saint-Germain-la-Rivière,France,-0.333300,44.400000,burial,"AMS, 858 (GifA 95456)","15,780 ± 200",1934,"animal tooth, red deer","personal ornament, pendant",,,,complete,"right red deer canine with markings on the occlusal surface, complete","Vanhaeren & d'Errico  2003, Fig. 6.47; Vanhaeren & d'Errico  2003, Fig. 13.21; Blanchard et al. 1972, Pl. I; Gambier et al. 2000; Vermeersch 2016",| ||ll||,Very certain
