"object_id","ensemble_id","archaeological_period","archaeological_unit","site_name","site_id","location","country","latitude","longitude","coord_precision","coord_reference","layer","dating_method","date_bp_min","min_lab_number","date_bp_max","max_lab_number","excavation_year","material","material_species","object_type","associated_species","length_mm","width_mm","depth_mm","preservation","collection","collection_id","sign_coding","coding_certainty","coding_clean","coding_random"
"vhc0104",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2006","ivory","Mammuthus primigenius","undetermined","",9,2,2,"fragmented","Universität Tübingen","Find No.: 44/68-75.1","!vvv! _ !vv! _ !vv! _ !vvv!","uncertain","vvv_vv_vv_vvv","vvv_vv_vv_vvv"
"vhc0103",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2006","bone","undetermined","undetermined","",18,5,2,"fragmented","Universität Tübingen","Find No.: 44/68-52.1","!vvvvvv!","certain","vvvvvv","vvvvvv"
"vhc0102",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2006","bone","undetermined","undetermined","",8,8,2,"fragmented","Universität Tübingen","Find No.: 44/67-45.1","!|||! _ !vv! _ !vvv!","certain","|||_vv_vvv","|||_vv_vvv"
"vhc0101",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2007","ivory","Mammuthus primigenius","possible figurine","",10,7,4,"fragmented","Universität Tübingen","Find No.: 44/64-20.1","!vv! _ !v!","certain","vv_v","v_vv"
"vhc0100",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2008","bone","undetermined","tube/flute","",10,6,2,"fragmented","Universität Tübingen","Find No.: 43/76-13.1","!vvv!","certain","vvv","vvv"
"vhc0099",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","DKS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2008","ivory","Mammuthus primigenius","undetermined","",28,8,2,"fragmented","Universität Tübingen","Find No.: 43/74-62.1","!////","certain","////","////"
"vhc0098",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2008","ivory","Mammuthus primigenius","undetermined","",32,10,5,"fragmented","Universität Tübingen","Find No.: 43/73-24.1","|| ||","very certain","|| ||","|| ||"
"vhc0096",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2006","ivory","Mammuthus primigenius","undetermined","",18,5,4,"fragmented","Universität Tübingen","Find No.: 43/71-50.1","XX! _ vvvvvvvv! _ !vvvv!","certain","XX_vvvvvvvv_vvvv","XX_vvvvvvvv_vvvv"
"vhc0094",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2007","ivory","Mammuthus primigenius","undetermined","",11,5,3,"fragmented","Universität Tübingen","Find No.: 43/66-62.1","!/X/! _ !<><><><!","uncertain","/X/_<><><><","/X/_<><><><"
"vhc0093",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2006","ivory","Mammuthus primigenius","figurine","undetermined",61,23,8,"fragmented","MUT Tübingen","Find No.: 42/72-72","!|||||! _ !|! _ !||!","uncertain","|||||_|_||","|||||_||_|"
"vhc0092",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2006","bone","undetermined","undetermined","",16,3,2,"fragmented","Universität Tübingen","Find No.: 42/70-69.1","!vvv! _ !vvvvv!","very certain","vvv_vvvvv","vvvvv_vvv"
"vhc0091",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2006","ivory","Mammuthus primigenius","possible figurine","",14,8,3,"fragmented","Universität Tübingen","Find No.: 42/70-48.1","!vvvvvvvvvv!","very certain","vvvvvvvvvv","vvvvvvvvvv"
"vhc0090",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2006","ivory","Mammuthus primigenius","figurine zoomorph","Mammuthus primigenius",37,28,12,"complete","URMU Blaubeuren","Find No.: 42/69-85","vvvvvv _ ≠ _ ≠","very certain","vvvvvv_≠_≠","vvvvvv_≠_≠"
"vhc0089",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2006","ivory","Mammuthus primigenius","undetermined","",17,7,4,"fragmented","Universität Tübingen","Find No.: 42/69-77.1",">>>>! _ >>!","certain",">>>>_>>",">>>>_>>"
"vhc0087",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2006","ivory","Mammuthus primigenius","figurine zoomorph","Panthera",56,17,6,"fragmented","URMU Blaubeuren","Find No.: 42/67-89.1","(XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX) _ °°°°°°°°°! _ °°°°°°! _ °! _ °! _ ¤¤¤¤¤¤","certain","°°°°°°°°°_°°°°°°_°_°_¤¤¤¤¤¤","°_°°°°°°°°°_°_°°°°°°_¤¤¤¤¤¤"
"vhc0086",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2006","bone","undetermined","undetermined","",NA,NA,NA,"fragmented","Universität Tübingen","Find No.: 42/67-16.1","!v vv vv!","certain","v vv vv","v vv vv"
"vhc0085",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2006","bone","undetermined","undetermined","",17,5,2,"fragmented","Universität Tübingen","Find No.: 41/71-37.2","vv!","uncertain","vv","vv"
"vhc0084",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2006","ivory","Mammuthus primigenius","figurine zoomorph","Mammuthus primigenius",31,14,4,"fragmented","MUT Tübingen","Find No.: 41/71-108.1","|||! _ v _ v _ v _ v _ v","certain","|||_v_v_v_v_v","v_v_|||_v_v_v"
"vhc0083",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2006","ivory","Mammuthus primigenius","possible figurine","",11,9,4,"fragmented","Universität Tübingen","Find No.: 41/69-73.1","!XXX!","very certain","XXX","XXX"
"vhc0082",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2008","ivory","Mammuthus primigenius","possible figurine","",11,6,3,"fragmented","Universität Tübingen","Find No.: 40/78-14.1","!vvvvv!","very certain","vvvvv","vvvvv"
"vhc0081",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","","2008","ivory","Mammuthus primigenius","undetermined","",20,8,5,"fragmented","Universität Tübingen","Find No.: 40/73-67.1","!VVV! _ !vvvv!","uncertain","VVV_vvvv","vvvv_VVV"
"vhc0080",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","","2008","ivory","Mammuthus primigenius","undetermined","",19,7,2,"fragmented","Universität Tübingen","Find No.: 40/73-17.1","!/ / //","very certain","/ / //","/ / //"
"vhc0078",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2007","ivory","Mammuthus primigenius","figurine","undetermined",11,8,6,"fragmented","Universität Tübingen","Find No.: 40/71-48.1","!vv!","uncertain","vv","vv"
"vhc0077",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HU/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2007","bone","undetermined","undetermined","",15,5,2,"fragmented","Universität Tübingen","Find No.: 40/70-53.2","!v v vv v!","very certain","v v vv v","v v vv v"
"vhc0076",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2008","bone","undetermined","flute","",16,3,1,"fragmented","Universität Tübingen","Find No.: 40/70-49.1","!||||!","very certain","||||","||||"
"vhc0075",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2007","ivory","Mammuthus primigenius","undetermined","",9,1,2,"fragmented","Universität Tübingen","Find No.: 40/68-76.1","!vvvvv!","certain","vvvvv","vvvvv"
"vhc0073",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2009","ivory","Mammuthus primigenius","possible figurine","",16,9,3,"fragmented","Universität Tübingen","Find No.: 39/76-17.1","!vvv!","uncertain","vvv","vvv"
"vhc0071",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2008","bone","undetermined","undetermined","",14,4,2,"fragmented","Universität Tübingen","Find No.: 39/73-36.2","!||||!","very certain","||||","||||"
"vhc0070",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2008","bone","undetermined","tube/flute","",17,7,3,"fragmented","Universität Tübingen","Find No.: 39/73-35.1","!vvvvvv!","very certain","vvvvvv","vvvvvv"
"vhc0069",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2007","ivory","Mammuthus primigenius","personal ornament","",10,5,4,"almost complete","MUT Tübingen","Find No.: 39/71-98.1",">>>>! _ >>>>!","very certain",">>>>_>>>>",">>>>_>>>>"
"vhc0068",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2007","ivory","Mammuthus primigenius","undetermined","",9,4,1,"fragmented","Universität Tübingen","Find No.: 39/71-37.1","!XX","very certain","XX","XX"
"vhc0067",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2007","ivory","Mammuthus primigenius","awl","",79,10,10,"almost complete","MUT Tübingen","Find No.: 39/70-76.1","||||| (/||)||| _ ||","certain","||||| |||_||","||_||||| |||"
"vhc0066",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2007","ivory","Mammuthus primigenius","undetermined","",16,6,3,"fragmented","Universität Tübingen","Find No.: 39/69-91.1-2","!vv! _ vv!","uncertain","vv_vv","vv_vv"
"vhc0064",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2007","bone","undetermined","flute","",22,5,4,"fragmented","MUT Tübingen","Find No.: 39/69-73.1","vvvv _ !vvv!  _ !vvv!","very certain","vvvv_vvv _vvv","vvv _vvvv_vvv"
"vhc0063",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2007","bone","undetermined","undetermined","",19,7,3,"fragmented","Universität Tübingen","Find No.: 39/69-32.1","!/XXXXX/!","certain","/XXXXX/","/XXXXX/"
"vhc0062",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","","PL0001337A","2007","ivory","Mammuthus primigenius","personal ornament","",13,5,4,"fragmented","Universität Tübingen","Find No.: 39/68-38.1","!vvv!","certain","vvv","vvv"
"vhc0061",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2007","ivory","Mammuthus primigenius","possible flute","",9,2,2,"fragmented","Universität Tübingen","Find No.: 39/67-7.1","!v vvvv v!","very certain","v vvvv v","v vvvv v"
"vhc0060",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2008","ivory","Mammuthus primigenius","possible figurine","",29,15,3,"fragmented","Universität Tübingen","Find No.: 38/78-53","////////// _ l|ll!","uncertain","//////////_l|ll","//////////_l|ll"
"vhc0059",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2008","ivory","Mammuthus primigenius","figurine","undetermined",25,15,7,"fragmented","Universität Tübingen","Find No.: 38/78-18.1","!^^^^^^ |!","certain","^^^^^^ |","^^^^^^ |"
"vhc0057",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2008","ivory","Mammuthus primigenius","rod/baton","",14,4,1,"fragmented","Universität Tübingen","Find No.: 38/75-9.2","!vvv! _ !vvv!","certain","vvv_vvv","vvv_vvv"
"vhc0055",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","GF/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2008","bone","undetermined","tube/flute","",9,5,2,"fragmented","Universität Tübingen","Find No.: 38/75-193.1","!vv! _ !vvv!","uncertain","vv_vvv","vvv_vv"
"vhc0054",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2008","ivory","Mammuthus primigenius","possible figurine","",20,9,4,"fragmented","Universität Tübingen","Find No.: 38/74-59.2","!vvvvvvvvv!","certain","vvvvvvvvv","vvvvvvvvv"
"vhc0053",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2008","bone","undetermined","undetermined","",17,6,2,"fragmented","Universität Tübingen","Find No.: 38/73-28","!X/XXX/!","uncertain","X/XXX/","X/XXX/"
"vhc0052",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2008","ivory","Mammuthus primigenius","figurine zoomorph","Osteichthyes",70,31,9,"almost complete","MUT Tübingen","Find No.: 38/70-78","!//////////// _ /// _ [!°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°] _ ///// _ // //// _ ≠ _ /////////// _ [!°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°]","very certain","////////////_///_/////_// ////_≠_///////////","///////////_≠_// ////_/////_///_////////////"
"vhc0051",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2007","ivory","Mammuthus primigenius","undetermined","",41,14,4,"fragmented","Universität Tübingen","Find No.: 38/70-151","X/X||! _ ||||!","uncertain","X/X||_||||","||||_X/X||"
"vhc0050",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2007","ivory","Mammuthus primigenius","undetermined","",11,3,2,"fragmented","Universität Tübingen","Find No.: 38/69-102.1","!vvvvvv/v!","uncertain","vvvvvv/v","vvvvvv/v"
"vhc0049",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","V and HL/KS","C14","30162±1340","H 4054-3210","35810±710","PL0001337A","2007","bone","undetermined","spatula/lissoir","",90,11,5,"almost complete","Universität Tübingen","Find No.: 38/68-90.1","X X X X X X _ vvvvvvvvv!vvvvvvvvvvvv _ vvv vvv v!v vvv vvv","certain","X X X X X X_vvvvvvvvvvvvvvvvvvvvv_vvv vvv vv vvv vvv","X X X X X X_vvvvvvvvvvvvvvvvvvvvv_vvv vvv vv vvv vvv"
"vhc0173",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2007","bone","undetermined","undetermined","",25,8,3,"fragmented","Universität Tübingen","Find No.: 38/68-19.1","!vvvv v!","very certain","vvvv v","vvvv v"
"vhc0047",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2008","ivory","Mammuthus primigenius","undetermined","",11,5,1,"fragmented","Universität Tübingen","Find No.: 37/78-5.1","!vvvv!","certain","vvvv","vvvv"
"vhc0046",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2009","antler","Rangifer tarandus","awl","",39,9,5,"fragmented","Universität Tübingen","Find No.: 37/77-80.1","| | |||| |||! _ vv!","certain","| | |||| |||_vv","| | |||| |||_vv"
"vhc0045",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2008","ivory","Mammuthus primigenius","flute","",21,7,NA,"fragmented","MUT Tübingen","Find No.: 37/75-71.3","!vvvvvvv! _ !v!","very certain","vvvvvvv_v","vvvvvvv_v"
"vhc0044",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2008","ivory","Mammuthus primigenius","figurine zoomorph","undetermined",38,14,4,"fragmented","Universität Tübingen","Find No.: 37/74-84.1","[vv _ v _ v _ vvv _ vv _ vv _ vvv] _ ||l","uncertain","||l","||l"
"vhc0043",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2008","bone","undetermined","possible figurine","",20,6,3,"fragmented","Universität Tübingen","Find No.: 37/72-60.1.","vvvv/Xv! _ XXXXXXvvv! _","certain","vvvv/Xv_XXXXXXvvv","vvvv/Xv_XXXXXXvvv"
"vhc0042",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2008","bone","undetermined","undetermined","",11,4,4,"fragmented","Universität Tübingen","Find No.: 37/71-53.1","!XX!","uncertain","XX","XX"
"vhc0040",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2008","bone","undetermined","tube/flute","",13,5,2,"fragmented","Universität Tübingen","Find No.: 37/70-64","!XX!","certain","XX","XX"
"vhc0039",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2008","bone","undetermined","undetermined","",10,5,3,"fragmented","Universität Tübingen","Find No.: 37/70-131.1","!YYY!","certain","YYY","YYY"
"vhc0038",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2008","ivory","Mammuthus primigenius","figurine","undetermined",15,5,1,"fragmented","Universität Tübingen","Find No.: 37/68-95","!vv!","uncertain","vv","vv"
"vhc0037",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2008","bone","undetermined","tube/flute","",27,15,10,"fragmented","Universität Tübingen","Find No.: 37/68-84.1","vv!","certain","vv","vv"
"vhc0036",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2008","bone","undetermined","undetermined","",17,5,3,"fragmented","Universität Tübingen","Find No.: 37/68-80.1","!vvvvvv!","very certain","vvvvvv","vvvvvv"
"vhc0033",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2009","ivory","Mammuthus primigenius","possible figurine","",14,6,4,"fragmented","Universität Tübingen","Find No.: 36/76-67.3","!vv!","uncertain","vv","vv"
"vhc0032",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2009","bone","undetermined","undetermined","",17,4,2,"fragmented","Universität Tübingen","Find No.: 36/76-26.1","!||||!","very certain","||||","||||"
"vhc0031",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2009","bone","undetermined","undetermined","",35,7,3,"fragmented","Universität Tübingen","Find No.: 36/75-127.1","!vvvvvvv!","very certain","vvvvvvv","vvvvvvv"
"vhc0030",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2008","bone","bird","tube/flute","",23,11,4,"fragmented","Universität Tübingen","Find No.: 36/74-8.1","v v v vv! _ v v v vv!","very certain","v v v vv_v v v vv","v v v vv_v v v vv"
"vhc0029",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2008","ivory","Mammuthus primigenius","rod/baton","",23,10,3,"fragmented","Universität Tübingen","Find No.: 36/74-44.1","!| |||| | | ||||! _ v vvv!","uncertain","| |||| | | ||||_v vvv","| |||| | | ||||_v vvv"
"vhc0170",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2008","ivory","Mammuthus primigenius","possible figurine","",19,9,2,"fragmented","Universität Tübingen","Find No.: 36/74-12.1","!XXXXXXXX! _ /","very certain","XXXXXXXX_/","XXXXXXXX_/"
"vhc0027",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2008","ivory","Mammuthus primigenius","personal ornament","",33,10,3,"fragmented","Universität Tübingen","Find No.: 36/71-83","!//","very certain","//","//"
"vhc0026",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2008","ivory","Mammuthus primigenius","possible figurine","",28,17,4,"fragmented","Universität Tübingen","Find No.: 36/69-20.1","vvvvv! _ vvvvv!","certain","vvvvv_vvvvv","vvvvv_vvvvv"
"vhc0025",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2008","ivory","Mammuthus primigenius","undetermined","",12,6,2,"fragmented","Universität Tübingen","Find No.: 36/68-78.1","/XX!","very certain","/XX","/XX"
