"object_id","ensemble_id","archaeological_unit","site_name","location","location__short_name","location__location","location__country","latitude","longitude","location__coord_precision","location__coord_reference","layer","dating_method","date_bp_min","min_lab_number","date_bp_max","max_lab_number","excavation_year","material","object_type","length_mm","width_mm","depth_mm","preservation","sign_coding","coding_certainty","coding_clean"
"sgr0032","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière","","","","",NA,NA,"","","burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","vvvvvv","Very certain","vvvvvv"
"sgr0029","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière","","","","",NA,NA,"","","burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","|ll|X","Certain","|ll|X"
"sgr0027","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivièr","","","","",NA,NA,"","","burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","|Y","Very certain","|Y"
"sgr0025","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière","","","","",NA,NA,"","","burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","|ll|||ll?| |","Certain","|ll|||ll| |"
"sgr0021","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière","","","","",NA,NA,"","","burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","Y||","Very certain","Y||"
"sgr0020","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière","","","","",NA,NA,"","","burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","|X|","Uncertain","|X|"
"sgr0019","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière","","","","",NA,NA,"","","burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","||l|","Very certain","||l|"
"sgr0018","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière","","","","",NA,NA,"","","burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","|X","Uncertain","|X"
"sgr0016","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière","","","","",NA,NA,"","","burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","||||X","Very certain","||||X"
"sgr0013","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière","","","","",NA,NA,"","","burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"almost complete","| || |","Very certain","| || |"
"sgr0002","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière","","","","",NA,NA,"","","burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","⚹°","Very certain","⚹°"
"sgr0001","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière","","","","",NA,NA,"","","burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"almost complete","|| |","Uncertain","|| |"
"vhc0168","","Aurignacien","Vogelherd","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","V","C14","35810±710 - 25900±260",NA,NA,NA,"1931","bone","spatula/lissoir",110,19,7,"fragmented",">>>>>> ! >>>>>","Very certain",">>>>>>  >>>>>"
"vhc0167","","Aurignacien","Vogelherd","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","V","C14","35810±710 - 25900±260",NA,NA,NA,"1931","bone","spatula/lissoir",173,22,8,"fragmented","vvvvvvvvvvvvvvvvvv _ v!","Uncertain","vvvvvvvvvvvvvvvvvv _ v"
"vhc0166","","Aurignacien","Vogelherd","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","IV","C14","32030±280 - 26160±150",NA,NA,NA,"1931","antler","antler object",73,44,24,"complete","vvvvvvv _ [&]","Very certain","vvvvvvv"
"vhc0165","","Aurignacien","Vogelherd","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","IV","C14","32030±280 - 26160±150",NA,NA,NA,"1931","bone","spatula/lissoir",75,12,7,"fragmented","!vvvv vvvvvv >>>>","Very certain","vvvv vvvvvv >>>>"
"vhc0164","","Aurignacien","Vogelherd","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","IV","C14","32030±280 - 26160±150",NA,NA,NA,"1931","ivory","bâton percé",95,30,10,"fragmented","vvvvv! _ vvvvvv! _ [CCCC] _ &","Uncertain","vvvvv _ vvvvvv _ &"
"vhc0163","","Aurignacien","Vogelherd","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","IV","C14","32030±280 - 26160±150",NA,NA,NA,"1931","bone","spatula/lissoir",10,2,1,"fragmented","!⊞! _ !vvvvvvvvvvvvvvvvvvv! _  !⊞!","Uncertain","⊞ _ vvvvvvvvvvvvvvvvvvv _  ⊞"
"vhc0162","","Aurignacien","Vogelherd","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","IV","C14","32030±280 - 26160±150",NA,NA,NA,"1931","bone","spatula/lissoir",210,14,8,"complete","(XXXXXXXXXX) _ >>>> <<< >>>> <<<< >> _ > <<<<< >>>> <<<<<< >>>>","Very certain",">>>> <<< >>>> <<<< >> _ > <<<<< >>>> <<<<<< >>>>"
"vhc0161","","Aurignacien","Vogelherd","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","V","C14","35810±710 - 25900±260",NA,NA,NA,"1931","ivory","bâton percé",237,41,13,"almost complete","vvv vvv","Uncertain","vvv vvv"
"vhc0160","","Aurignacien","Vogelherd","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","IV","C14","32030±280 - 26160±150",NA,NA,NA,"1931","antler","antler object",69,36,29,"almost complete","| |||| _ | _ vv v _ |||| _ | ||","Very certain","| |||| _ | _ vv v _ |||| _ | ||"
"vhc0159","","Aurignacien","Vogelherd","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","IV","C14","32030±280 - 26160±150",NA,NA,NA,"1931","ivory","figurine zoomorph",72,53,14,"fragmented","vvvv⚹vvvvvvvv _ ||||| _ ¤¤¤¤¤¤¤¤¤ _ [°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°!]","Very certain","vvvv⚹vvvvvvvv _ ||||| _ ¤¤¤¤¤¤¤¤¤"
"vhc0158","","Aurignacien","Vogelherd","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","IV","C14","32030±280 - 26160±150",NA,NA,NA,"1931","ivory","figurine zoomorph",87,34,11,"fragmented","⊞ _ [°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°!] _V V _ V _ vv","Very certain","⊞ _  _V V _ V _ vv"
"vhc0157","","Aurignacien","Vogelherd","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","V","C14","35810±710 - 25900±260",NA,NA,NA,"1931","ivory","figurine zoomorph",70,54,23,"fragmented","!||| _ X X _ |||! _ //// _ ||||| _ vvv _ vv _ || _ ||||| _ || _ vvv||||! _ ^^^^ _ X!","Certain","||| _ X X _ ||| _ //// _ ||||| _ vvv _ vv _ || _ ||||| _ || _ vvv|||| _ ^^^^ _ X"
"vhc0156","","Aurignacien","Vogelherd","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","IV","C14","32030±280 - 26160±150",NA,NA,NA,"1931","ivory","figurine anthropomorph",69,19,10,"fragmented","°°°° °°° _ °°°°°°°° _ v°°°°°°°° _ Vv","Certain","°°°° °°° _ °°°°°°°° _ v°°°°°°°° _ Vv"
