object_id,ensemble_id,archaeological_unit,site_name,location,location__short_name,location__location,location__country,latitude,longitude,location__coord_precision,location__coord_reference,layer,dating_method,date_bp_min,min_lab_number,date_bp_max,max_lab_number,excavation_year,material,object_type,associated_species,length_mm,width_mm,depth_mm,preservation,short_description,references,sign_coding,coding_certainty
sgr0058,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"right red deer canine with markings on the buccal surface, approximal","Vanhaeren & d'Errico  2003, Fig. 6.58; Gambier et al. 2000; Vermeersch 2016",vvv,Very certain
sgr0057,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"red deer canine, no markings","Vanhaeren & d'Errico  2003, Fig. 6.57",,
sgr0056,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"right red deer canine with markings on the occlusal surface, centered","Vanhaeren & d'Errico  2003, Fig. 6.56; Vanhaeren & d'Errico  2003, Fig. 13.25; Gambier et al. 2000; Vermeersch 2016",|,Very certain
sgr0055,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"red deer canine, no markings","Vanhaeren & d'Errico  2003, Fig. 6.55",,
sgr0054,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"right red deer canine with markings on the occlusal surface, complete","Vanhaeren & d'Errico  2003, Fig. 6.54; Vanhaeren & d'Errico  2003, Fig. 13.24; Blanchard et al. 1972, Pl. I; Gambier et al. 2000; Vermeersch 2016",l||⚹,Very certain
sgr0053,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"right red deer canine with markings on the occlusal surface, complete","Vanhaeren & d'Errico  2003, Fig. 6.53; Vanhaeren & d'Errico  2003, Fig. 13.23; Gambier et al. 2000; Vermeersch 2016",|| ||,Very certain
sgr0052,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,fragmentary,right red deer canine with markings on the occlusal surface. the piece is missing and the photographs do not show the marked surface so there is no transcript possible,"Vanhaeren & d'Errico  2003, Fig. 6.52; Vanhaeren & d'Errico  2003, Fig. 13.26; Gambier et al. 2000; Vermeersch 2016",,
sgr0051,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,fragmentary,"right red deer canine with markings on the occlusal surface, approximal, in centre buccal","Vanhaeren & d'Errico  2003, Fig. 6.51; Vanhaeren & d'Errico  2003, Fig. 13.33; von Petzinger 2016; Gambier et al. 2000; Vermeersch 2016",|||vv,Certain
sgr0050,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"right red deer canine with markings on the occlusal surface, lingual 1/3 to central","Vanhaeren & d'Errico  2003, Fig. 6.50; Vanhaeren & d'Errico  2003, Fig. 13.32; Gambier et al. 2000; Vermeersch 2016",lll| |l,Very certain
sgr0049,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"right red deer canine with markings on the frontal surface, from top to bottom, lingually orientated","Vanhaeren & d'Errico  2003, Fig. 6.49; Vanhaeren & d'Errico  2003, Fig. 13.22; Blanchard et al. 1972, Pl. I; Gambier et al. 2000; Vermeersch 2016",v||,Certain
sgr0048,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"red deer canine, no markings","Vanhaeren & d'Errico  2003, Fig. 6.48",,
sgr0047,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"right red deer canine with markings on the occlusal surface, complete","Vanhaeren & d'Errico  2003, Fig. 6.47; Vanhaeren & d'Errico  2003, Fig. 13.21; Blanchard et al. 1972, Pl. I; Gambier et al. 2000; Vermeersch 2016",| ||ll||,Very certain
sgr0046,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"right red deer canine with markings on the occlusal surface, centered","Vanhaeren & d'Errico  2003, Fig. 6.46; Vanhaeren & d'Errico  2003, Fig. 13.20; Blanchard et al. 1972, Pl. I; Gambier et al. 2000; Vermeersch 2016",||X,Certain
sgr0045,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"right red deer canine with markings on the occlusal surface, lingual","Vanhaeren & d'Errico  2003, Fig. 6.45; Gambier et al. 2000; Vermeersch 2016",l | ||,Very certain
sgr0044,,Middle Magdalenian,unknown,,,,,,,,,,,,,,,,"animal tooth, red deer","personal ornament, pendant",,,,,fragmentary,"most likely not belonging to the burial, due to the double perforations (see d'Errico & Vanhaeren), missing","Vanhaeren & d'Errico  2003, Fig. 6.44",,
sgr0043,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,fragmentary,"right red deer canine with markings on the occlusal surface, approximal to center","Vanhaeren & d'Errico  2003, Fig. 6.43; Vanhaeren & d'Errico  2003, Fig. 13.19; Gambier et al. 2000; Vermeersch 2016",| ||,Certain
sgr0042,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"right red deer canine with markings on the occlusal surface, centered slightly lingual","Vanhaeren & d'Errico  2003, Fig. 6.42; Vanhaeren & d'Errico  2003, Fig. 13.18; Blanchard et al. 1972, Pl. I; Gambier et al. 2000; Vermeersch 2016",Xl,Very certain
sgr0041,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"right red deer canine with markings on the occlusal surface, centered","Vanhaeren & d'Errico  2003, Fig. 6.41; Vanhaeren & d'Errico  2003, Fig. 13.13; Blanchard et al. 1972, Pl. I; von Petzinger 2016; Gambier et al. 2000; Vermeersch 2016",X,Very certain
sgr0040,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"red deer canine, no markings","Vanhaeren & d'Errico  2003, Fig. 6.40",,
sgr0039,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,fragmentary,"red deer canine, no markings","Vanhaeren & d'Errico  2003, Fig. 6.39",,
sgr0038,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"red deer canine, no markings","Vanhaeren & d'Errico  2003, Fig. 6.38",,
sgr0037,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,right red deer canine with markings on the frontal surface,"Vanhaeren & d'Errico  2003, Fig. 6.37; Vanhaeren & d'Errico  2003, Fig. 13.31; Blanchard et al. 1972, Pl. I; Gambier et al. 2000; Vermeersch 2016",|||,Very certain
sgr0036,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"red deer canine, no markings","Vanhaeren & d'Errico  2003, Fig. 6.36",,
sgr0035,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"red deer canine, no markings","Vanhaeren & d'Errico  2003, Fig. 6.35;",,
sgr0034,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"right red deer canine with markings on the occlusal surface, centered","Vanhaeren & d'Errico  2003, Fig. 6.34; Vanhaeren & d'Errico  2003, Fig. 13.16; Blanchard et al. 1972, Pl. I; Gambier et al. 2000; Vermeersch 2016",|#,Certain
sgr0033,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"right red deer canine with markings on the occlusal surface, centered","Vanhaeren & d'Errico  2003, Fig. 6.33; Vanhaeren & d'Errico  2003, Fig. 13.15; Gambier et al. 2000; Vermeersch 2016",l|l,Very certain
sgr0032,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"righ red deer canine with markings Lingual, approximal to labial","Vanhaeren & d'Errico  2003, Fig. 6.32; Vanhaeren & d'Errico  2003, Fig. 13.14; Blanchard et al. 1972, Pl. I; von Petzinger 2016; Gambier et al. 2000; Vermeersch 2016",vvvvvv,Very certain
sgr0031,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"red deer canine, no markings","Vanhaeren & d'Errico  2003, Fig. 6.31",,
sgr0030,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"red deer canine, no markings","Vanhaeren & d'Errico  2003, Fig. 6.30",,
sgr0029,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"right red deer canine with markings on the occlusal surface, centered","Vanhaeren & d'Errico  2003, Fig. 6.29; Vanhaeren & d'Errico  2003, Fig. 13.13; Blanchard et al. 1972, Pl. I; Gambier et al. 2000; Vermeersch 2016",|ll|X,Certain
sgr0028,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"red deer canine, no markings","Vanhaeren & d'Errico  2003, Fig. 6.28",,
