object_id,ensemble_id,archaeological_unit,site_name,location,location__short_name,location__location,location__country,latitude,longitude,location__coord_precision,location__coord_reference,layer,dating_method,date_bp_min,min_lab_number,date_bp_max,max_lab_number,excavation_year,material,object_type,associated_species,length_mm,width_mm,depth_mm,preservation,short_description,references,sign_coding,coding_certainty
vhc0155,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,V,C14,"30162±1,340",H 4054-3210,35810±710,PL0001337A,1931,ivory,figurine zoomorph (undet.),,64.0,26.0,17.0,fragmented,"This prominently adorned figurine was discovered during the 1931 excavations in layer V. The figurine is crafted along the direction of the ivory's growth. The entire surface is extensively reworked and polished. The markings also appear highly polished, suggesting that this figurine was used over an extended period. Primarily, the left half of the body is preserved. The head and tail are missing. At the location where the neck should attach, the surface is completely smoothed and marked. The right front leg is only present at the base, and the right hind leg is preserved as a stump. The left limbs are present up to approximately the knee region. The central lamella is only preserved in the front half of the body. Despite being strongly fragmented, the outlines are clearly discernible. The torso is noticeably elongated and cylindrical. The back line slopes slightly backward, and there is a small depression in the lumbar region. The pelvic region protrudes distinctly. Toward the buttocks, the back line slopes slightly angularly without showing a tail attachment. The belly is slightly sagging. The front legs are very thin and detached from the body. The thigh of the well-preserved hind leg is distinctly separated from the torso, and both hind legs are slender. A slight stepping posture is recognizable. According to Riek (1934), due to the elongated body shape and especially the thin legs, this represents a cervid, more specifically a reindeer (Rangifer tarandus). Hahn (1986) also considers a felid as a possibility. The absence of the neck and head makes it challenging to precisely identify the depicted species.","Riek 1934: 285-286, AABW 2015; Dutkiewicz 2021: Taf. 16a-16b; Hahn 1977; Conard & Bolus 2003, 2008",!vvvvvvvvvvv _ vvvvvvvv! _ vvvvvv!v _ vvvvvvvvvvvvvv _ |||| _ [CCCC] _ [CCCC] _ v!vvvXX\! _ v!vvvvv _ !vvvvv! _ \\\ _ vvv _ vvvv _ ≠ _ /// _ vvv _ \\\\ _ /// _ vvvv _ v! _ ///,Very certain
vhc0154,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,V,C14,"30162±1,340",H 4054-3210,35810±710,PL0001337A,1931,ivory,figurine zoomorph (undet.),,65.0,26.0,11.0,fragmented,"Figurine of a lion or a bear. Along the growth line, it has cracked, and only the right half of the body is preserved. The outline of the torso is fully recognizable. The two right limbs are only present in part. Only the right ear, cheek, and eye of the head are preserved. The surface is lightly weathered, and small areas are partially chipped. The body of the animal is elongated. The upper parts of both limbs – shoulder and thigh – are particularly voluminous, creating the impression of a very slender structure. The front leg is slightly bent forward, while the hind leg stands vertically under the body. The tail is small and stubby. The withers are noticeably arched. From there, the long, slender, and stretched neck begins. The head is lowered, the ear is slightly laid back, and it stands slightly away from the head. The eye is positioned just below. The muzzle and the lower part of the head are not preserved. It is not entirely clear which species is represented here. Riek (1934) suggests, based on the body posture, the massive upper limbs, and the stubby tail, an interpretation as a bear. Hahn (1986), on the other hand, rules out a depiction of a bear and interprets this figure as a rhinoceros or a felid. With the discovery of the head, an interpretation as a rhinoceros can now be ruled out. The body shape suggests a bear, while the long neck and the ear and eye area, as well as the overall slender head, lean towards a felid. The muzzle portion, which would enable a precise identification of the depicted species, is not preserved.","Riek 1934: 287, AABW 2012; Dutkiewicz 2021: Taf. 15; Hahn 1977; Conard & Bolus 2003, 2008",≠ _ |||||,Certain
vhc0153,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,V,C14,"30162±1,340",H 4054-3210,35810±710,PL0001337A,1931,ivory,rod/bâton,,60.0,10.0,10.0,fragmented,"Wide, flat, and partially preserved cylindrical rod fragment.","Riek 1934, Taf. XXIX.9; Hahn 1977, Taf. 34.2; Dutkiewicz 2021: Taf. 51.7; Conard & Bolus 2003, 2008",|||| || | | | _ |||| || | | | _ | _ ||||| | | | _ !||| ||,Certain
vhc0152,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,V,C14,"30162±1,340",H 4054-3210,35810±710,PL0001337A,1931,ivory,bâton percé,,133.0,31.0,10.0,almost complete,"The strongly fragmented perforated rod was found by Riek in 1931 in AH V and referred to by him as 'chest jewelry' (Riek 1934: 159-160). Today, it is lost, so the description of the markings is based on the information and photos provided by Riek and the drawing by Hahn (1977). The identification as a perforated rod is based on the thread-like markings around the two preserved holes.","Riek 1934, Taf. XXIX.20, Hahn 1977, Taf. 37.1; Dutkiewicz 2021: Taf. 48; Conard & Bolus 2003, 2008",|||| _ //\\\ _ \\/// _ //,Uncertain
vhc0151,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,V,C14,"30162±1,340",H 4054-3210,35810±710,PL0001337A,1931,fossil,undetermined,,77.0,24.0,26.0,almost complete,Fragment of a Lias ammonite.,"Riek 1934, Taf. XXIX.14; Dutkiewicz 2021: Taf. 58.2-4; Hahn 1977; Conard & Bolus 2003, 2008",v v vvv vv,Very certain
vhc0150,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,V,C14,"30162±1,340",H 4054-3210,35810±710,PL0001337A,1931,bone,spatula/lissoir,,77.0,12.0,5.0,almost complete,second part of lissoir 38/68-90.1. Coding see vhc0049,"Riek 1934, Taf. XXIX.12; Hahn 1977, Taf. 34.4; Dutkiewicz 2021: Taf. 42.3-4; Conard & Bolus 2003, 2008",,
vhc0149,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,IV,C14,30730±750,H 4053-3211,32030±280,OxA-18456,1931,ivory,undetermined,,38.0,14.0,5.0,fragmented,Ivory fragment,"Dutkiewicz 2021: Taf. 55.5; Hahn 1977; Conard & Bolus 2003, 2008",!|||||||,Very certain
vhc0148,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,,C14,26160±150,KIA 8957,35810±710,PL0001337A,1950,sandstone,possible figurine,,54.0,40.0,32.0,complete,"It is a completely preserved object made of sandstone, but it has modern damage. Riek describes that the piece is made from a cobble, from which a part was struck off to obtain a flat side. The object has an elongated, strongly bulging outline and a flat side. There is a perforation at one of the edges. Riek interprets this figurine as a representation of a mammoth, while Hahn, due to the ambiguity of the depiction, labels this piece as a pendant.","Riek 1954; Hahn 1986: 98-104; Dutkiewicz 2021: Taf. 30; Conard & Bolus 2003, 2008",vvvvvvvvvvv _ [vvvvvvvvvvvvvvvvvvvvvvvv] _ [vvvvvvvvvvvvvvvvvvvvvvvvv],Very certain
vhc0147,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,V,C14,"30162±1,340",H 4054-3210,35810±710,PL0001337A,1931,ivory,figurine zoomorph (Panthera sp.),,68.0,24.0,14.0,fragmented,"This figurine was discovered during the 1931 excavations in layer V. The right half of the animal is largely intact, with only the cheek and neck chipped. In contrast, the left half is missing the crown and the leg. The other three legs are only present at the base. Two longitudinal cracks run through the body. The surface is heavily weathered in many areas. Where well-preserved, there is evidence of careful reworking and polishing. Although large pieces of the figurine are missing, the outline is completely preserved. The depiction is of a felid with a head extended far forward. It is unclear whether this represents a cave lion (Panthera leo spelea) or a snow leopard (Panthera uncia). The slender silhouette of the figurine favors the latter, although it cannot be ruled out that a female or young cave lion could have had such a slim body shape. The body is elongated with a straight back line. Only the withers slightly arch upwards. The hip and hind leg are separated from the body. It is possible that the base of a tail is preserved, but this cannot be determined with certainty. The leg attachments extend vertically downward, indicating that the animal is depicted standing still in place. The face is stretched forward. Both eyes gaze forward, and the preserved ear is laid back. The nose of the animal is separated from the mouth by a line. Interestingly, two additional incisions follow below, although only one is necessary anatomically to represent the mouth. It is possible that the animal is depicted with an open mouth. A cleft lip is not discernible.","Riek 1934: 286-287; Hahn 1986; Dutkiewicz 2021: Taf. 14; Hahn 1977; Conard & Bolus 2003, 2008",|||||X _ (!°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°!) _ (!°°°°°°°°°°°°°°°°°!) _ ||||,Very certain
vhc0146,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,V,C14,"30162±1,340",H 4054-3210,35810±710,PL0001337A,1931,ivory,figurine zoomorph (Equus ferus),,48.0,25.0,8.0,fragmented,"The depiction of the wild horse was also found in layer V during the 1931 excavations. The surface is remarkably smooth and exhibits polishing in several areas. Like the mammoth figurine discussed above, the wild horse also has a distinct bluish tint, a result of mineral deposition during burial in the ground. The horse is particularly elegant and expressive. The noticeably lowered head is narrow and, when viewed from the front, has a slight S-curve. The nostrils, mouth, eyes, and ears are anatomically accurate. The ears are slightly pointed and lie close to the head. The cheeks are well-defined. The mane appears to be a standing mane typical of wild horses, but it is only present in the head area, between the two ears. Towards the back, it transitions into the neck and is inseparable from the body. The neck is curved and separated from the withers by a bend. The body is slender with detailed muscle features. The belly hangs slightly. The tail is only partially worked, with no tail hairs. The right front leg points slightly forward, as if the animal were taking a step. The hind leg points slightly backward. The distance between the limbs of the two halves of the body appears to have been very small. Hahn (1986: 78-79) speculates that, like the mammoth described above, the horse could have had a perforation between the front and hind legs.","Riek 1934: 284-285; Hahn 1986; Dutkiewicz 2021: Taf. 13; Hahn 1977; Conard & Bolus 2003, 2008",XXXXXXXXXXXXX _ vvvvvvvvvvvvvvvvv,Very certain
vhc0145,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,V,C14,"30162±1,340",H 4054-3210,35810±710,PL0001337A,1931,ivory,figurine zoomorph (Mammuthus pr),,50.0,32.0,22.0,almost complete,"The nearly complete mammoth figurine was found in the Vogelherd during the 1931 excavations in the Aurignacian-layer V. This figurine is mostly well-preserved. The lower section of the trunk, which was adjacent to the front legs, is broken, and the soles of the hind limbs are freshly chipped. The surface is highly polished but still shows some tool marks. The noticeable grayish-blue patina covering the entire figurine was formed through the deposition of minerals during deposition in the ground. The mammoth is depicted in a round and voluminous manner, with a dome-like head slightly offset from the face. Eyes and ears are finely carved with impressive anatomical accuracy. The trunk is not preserved in the middle part, slightly extending from the body and touching the feet at the bottom, as evidenced by a small material residue. The tusks are not represented, but a mouth is clearly visible. The neck is deeply saddled, the shoulders protrude high, and the back line falls straight to the buttocks. The tail is short and only slightly indicated. The front and hind legs are slender compared to the body mass and are slightly stretched forward and backward, respectively. Additionally, the soles of the feet touch each other; this is not a natural standing posture for a mammoth. There are small perforations between the front and hind limbs, each showing signs of use-polishing, suggesting they served as loops for a cord.","Riek 1934: 281-283; Hahn 1986; Dutkiewicz E2021: Taf. 12a-12b; Hahn 1977; Conard & Bolus 2003, 2008",(/X)XXXXXYYY _ X(XX) _ (X/X)XXXX _ XVXXY _ °°° _ °°°°°°° _ XXXX _ >>>XXX _ ⊞ _ XXXXX,Very certain
vhc0144,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,IV,C14,30730±750,H 4053-3211,32030±280,OxA-18456,1931,ivory,figurine zoomorph,,62.0,23.0,8.0,fragmented,"This is a larger ivory lamella that has cracked along the natural growth line, indicating the use of weathered ivory. On the inner concave surface, there is a surface-filling decoration. This decoration is reminiscent of the markings on the fish representation, which is why this piece is considered a possible additional fish representation. If this is indeed a fish, it is depicted in a highly abstract manner.","Wolf 2015, Taf. 37.2; Dutkiewicz 2021: Taf. 28.1; Hahn 1977; Conard & Bolus 2003, 2008",– – – – – _ !/////////////////! _ !///////////////!,Very certain
vhc0169,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,IV,C14,30730±750,H 4053-3211,32030±280,OxA-18456,1931,bone,spatula/lissoir,,47.0,8.0,5.0,fragmented,"This is a medial, lateral fragment of a smoother made from a large herbivore's rib, which was found in Layer IV in 1931.","Hahn 1977, Taf. 59.2; Dutkiewicz 2021: Taf. 45.2; Conard & Bolus 2003, 2008",vvvvvvvvvv!,Very certain
vhc0143,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,V,C14,"30162±1,340",H 4054-3210,35810±710,PL0001337A,1931,bone,undetermined,,60.0,10.0,2.0,almost complete,Fragment of a thin tubular bone with rounded edges.,"Riek 1934, Taf. XXIX.18; Hahn 1977, Taf. 34.3; Dutkiewicz 2021: Taf. 58.1; Conard & Bolus 2003, 2008",vvv vvvv,Very certain
vhc0142,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,IV,C14,30730±750,H 4053-3211,32030±280,OxA-18456,1931,ivory,undetermined,,81.0,28.0,17.0,fragmented,"Large fragment of a tusk, of which the innermost cone is preserved; it was likely found in AH IV in 1931. An elongated, thick lamellar fragment, found in the spoil heap during subsequent excavations in 2012, fits into it. Presumably, it is a piece from which a larger flake has been detached. On the slightly concave flake negative, there are 40 lines distributed in a broad engraving over the entire preserved surface.","AABW 2012; Wolf 2015, Taf. 36.1; Dutkiewicz 2021: Taf. 55.6-8; Hahn 1977; Conard & Bolus 2003, 2008",!≠!,Certain
vhc0141,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,HL/KS,C14,26160±150,KIA 8957,35810±710,PL0001337A,2009,bone,tube/flute,,19.0,4.0,2.0,fragmented,Fragment of a thin tubular bone.,"Dutkiewicz 2021: Taf. 36.17; Conard & Bolus 2003, 2008",!vvvv!,Very certain
vhc0140,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,HL/KS,C14,26160±150,KIA 8957,35810±710,PL0001337A,2008,ivory,rod/bâton,,13.0,4.0,4.0,fragmented,Very thin round rod made of ivory.,"Dutkiewicz 2021: Taf. 51.18; Conard & Bolus 2003, 2008",!vvv!,Very certain
vhc0139,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,HL/KS,C14,26160±150,KIA 8957,35810±710,PL0001337A,2012,ivory,undetermined,,45.0,18.0,7.0,fragmented,Ivory fragment (cementum).,"Dutkiewicz 2021: Taf. 57.16; Conard & Bolus 2003, 2008",!| || |!,Certain
vhc0138,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,HL/KS,C14,26160±150,KIA 8957,35810±710,PL0001337A,2010,bone,tube/flute,,17.0,6.0,3.0,fragmented,Fragment of a thin tubular bone (bird?).,"AABW 2014; Dutkiewicz 2021: Taf. 36.16; Conard & Bolus 2003, 2008",!vvvv! _ !vvvvv!,Very certain
vhc0137,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,HL/KS,C14,26160±150,KIA 8957,35810±710,PL0001337A,2010,ivory,possible flute,,14.0,4.0,2.0,fragmented,Heavily weathered fragment of a possible ivory flute.,"AABW 2014; Dutkiewicz 2021: Taf. 32.17; Conard & Bolus 2003, 2008",!vvv!,Very certain
vhc0136,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,HL/KS,C14,26160±150,KIA 8957,35810±710,PL0001337A,2010,bone,flute,,15.0,6.0,2.0,fragmented,Fragment of the top of a bone flute with a partially preserved finger hole.,"AABW 2014; Dutkiewicz 2021: Taf. 34.11; Conard & Bolus 2003, 2008",||!,Very certain
vhc0135,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,HL/KS,C14,26160±150,KIA 8957,35810±710,PL0001337A,2010,bone,spatula/lissoir,,30.0,10.0,5.0,fragmented,"Terminal fragment of a flat, rod-like object with a thicker, rounded end.","AABW 2010; Dutkiewicz 2021: Taf. 45.3; Conard & Bolus 2003, 2008",(/XXXX!) _ (XXXX!) _ >>! _,Certain
vhc0134,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,HL/KS,C14,26160±150,KIA 8957,35810±710,PL0001337A,2010,bone,possible figurine,,11.0,4.0,4.0,fragmented,Elongated bone fragment with a weathered surface.,"Dutkiewicz 2021: Taf. 29.12; Conard & Bolus 2003, 2008",!XX!,Certain
vhc0133,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,HL/KS,C14,26160±150,KIA 8957,35810±710,PL0001337A,2005,bone,flute,,17.0,5.0,2.0,fragmented,Small fragment of a bone flute.,"AABW 2005; Dutkiewicz 2021: Taf. 34.10; Conard & Bolus 2003, 2008",v,Certain
vhc0132,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,HL/KS,C14,26160±150,KIA 8957,35810±710,PL0001337A,2011,bone,awl,,52.0,11.0,8.0,almost complete,"A nearly complete bone awl. The tip and a portion of the base are missing. The awl is finely crafted, with a straight shaft that terminates in a carefully worked point. The base is noticeably thickened, with two bulges on the sides resembling shoulders. The awl is adorned with markings all around.","AABW 2011; Dutkiewicz 2021: Taf. 46.3; Conard & Bolus 2003, 2008",|||||| _ vvvv vvv _ ||||! _ vvvv vv,Very certain
vhc0131,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,HL/KS,C14,26160±150,KIA 8957,35810±710,PL0001337A,2005,bone,tube/flute,,17.0,7.0,4.0,fragmented,Terminal fragment of a severed tubular bone.,"AABW 2005; Dutkiewicz 2021: Taf. 36.15; Conard & Bolus 2003, 2008",≠! _ vv _ vv,Uncertain
vhc0130,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,HL/KS,C14,26160±150,KIA 8957,35810±710,PL0001337A,2011,bone,tube/flute,,21.0,6.0,2.0,fragmented,Fragment of a thin tubular bone.,"Dutkiewicz 2021: Taf. 36.13; Conard & Bolus 2003, 2008",!vv!,Certain
vhc0129,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,HL/KS,C14,26160±150,KIA 8957,35810±710,PL0001337A,2011,bone,tube/flute,,15.0,5.0,4.0,fragmented,Fragment of a tiny tubular bone (undetermined animal species).,"Dutkiewicz 2021: Taf. 36.14; Conard & Bolus 2003, 2008",vvvv _ vvvv,Very uncertain
vhc0128,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,HL/KS,C14,26160±150,KIA 8957,35810±710,PL0001337A,2011,ivory,undetermined,,12.0,7.0,3.0,fragmented,"Tiny, black discolored ivory fragment.","Dutkiewicz 2021: Taf. 57.15; Conard & Bolus 2003, 2008",!||!,Certain
vhc0127,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,HL/KS,C14,26160±150,KIA 8957,35810±710,PL0001337A,2005,bone,tube/flute,,20.0,7.0,4.0,fragmented,Fragment of a thin tubular bone (bird?).,"AABW 2005; Dutkiewicz 2021: Taf. 36.12; Conard & Bolus 2003, 2008",!vvv! _ !vvv!,Certain
vhc0126,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,HL/KS,C14,26160±150,KIA 8957,35810±710,PL0001337A,2011,bone,undetermined,,18.0,5.0,2.0,fragmented,Semi-tubular bone fragment.,"Dutkiewicz 2021: Taf. 59.18; Conard & Bolus 2003, 2008",!vvvvvvv!,Uncertain
vhc0125,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,HL/KS,C14,26160±150,KIA 8957,35810±710,PL0001337A,2011,ivory,undetermined,,8.0,5.0,3.0,fragmented,Tiny heavily weathered ivory fragment.,"Dutkiewicz 2021: Taf. 57.14; Conard & Bolus 2003, 2008",!vvv!,Uncertain
vhc0124,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,HL/KS,C14,26160±150,KIA 8957,35810±710,PL0001337A,2011,bone,undetermined,,39.0,7.0,2.0,fragmented,Fragment of a thin tubular bone.,"AABW 2014; Dutkiewicz 2021: Taf. 59.17; Conard & Bolus 2003, 2008",vvvvvv,Very certain
vhc0123,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,HL/KS,C14,26160±150,KIA 8957,35810±710,PL0001337A,2011,ivory,rod/bâton,,25.0,6.0,5.0,fragmented,"Heavily fragmented, thin ivory cylindrical rod.","AABW 2014; Dutkiewicz 2021: Taf. 51.17; Conard & Bolus 2003, 2008",vvvv vvv vv! _ vvv v vvvv _ vvv! _ !v vv v v v v v! _ v v v v v _ !vvvv! _ !>>>>>>>!,Uncertain
vhc0122,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,HL/KS,C14,26160±150,KIA 8957,35810±710,PL0001337A,2006,bone,tube/flute,,11.0,6.0,2.0,fragmented,Tiny fragment of a tubular bone (undetermined animal species).,"Dutkiewicz 2021: Taf. 36.11; Conard & Bolus 2003, 2008",v!,Very certain
vhc0121,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,HL/KS,C14,26160±150,KIA 8957,35810±710,PL0001337A,2006,bone,tube/flute,,36.0,11.0,3.0,fragmented,Humerus of a bird.,"Dutkiewicz 2021: Taf. 36.10; Conard & Bolus 2003, 2008",!v v v!,Certain
vhc0120,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,HL/KS,C14,26160±150,KIA 8957,35810±710,PL0001337A,2011,ivory,possible figurine,,12.0,4.0,2.0,fragmented,"The original surface of this small, heavily fragmented elongated ivory fragment is only preserved on the narrow side. It features a grid pattern that is noticeably deeply cut.","Dutkiewicz 2021: Taf. 29.10; Conard & Bolus 2003, 2008",(!XXXXX!),Uncertain
vhc0119,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,HL/KS,C14,26160±150,KIA 8957,35810±710,PL0001337A,,ivory,possible figurine,,9.0,5.0,3.0,fragmented,"Elongated, cylindrical ivory fragment with a highly polished surface.","AABW 2014; Dutkiewicz 2021: Taf. 29.9; Conard & Bolus 2003, 2008",!v vv v!,Very certain
vhc0118,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,HL/KS,C14,26160±150,KIA 8957,35810±710,PL0001337A,2011,bone,flute,,19.0,4.0,3.0,fragmented,"Fragment of a miniature flute made from a thin and narrow tubular bone. Only the upper surface of a medial fragment is preserved. Two finger holes are partially preserved, with parallel notches placed in between.","Dutkiewicz 2021: Taf. 34.7; Conard & Bolus 2003, 2008",v v vv v v,Very certain
vhc0117,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,HL/KS,C14,26160±150,KIA 8957,35810±710,PL0001337A,2011,bone,tube/flute,,12.0,6.0,3.0,fragmented,Tiny fragment of a tubular bone.,"Dutkiewicz 2021: Taf. 36.9; Conard & Bolus 2003, 2008",!vvvvv!,Uncertain
vhc0116,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,HL/KS,C14,26160±150,KIA 8957,35810±710,PL0001337A,2012,ivory,undetermined,,18.0,9.0,3.0,fragmented,"Thin, heavily weathered ivory plate.","AABW 2012; Wolf 2015, Taf. 42.20; Dutkiewicz 2021: Taf. 57.13; Conard & Bolus 2003, 2008",!⊞!,Certain
vhc0115,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,HL/KS,C14,26160±150,KIA 8957,35810±710,PL0001337A,2012,ivory,undetermined,,11.0,4.0,2.0,fragmented,"Tiny, rod-shaped, heavily weathered ivory fragment.","Dutkiewicz 2021: Taf. 57.12; Conard & Bolus 2003, 2008",!vvvv!,Uncertain
vhc0114,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,HL/KS,C14,26160±150,KIA 8957,35810±710,PL0001337A,2012,ivory,undetermined,,40.0,23.0,8.0,fragmented,Ivory fragment (cementum),"AABW 2012; Wolf 2015, Taf. 42.1; Dutkiewicz 2021: Taf. 57.11; Conard & Bolus 2003, 2008",!||||||!,Very certain
vhc0113,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,HL/KS,C14,26160±150,KIA 8957,35810±710,PL0001337A,2012,bone,rod/bâton,,19.0,4.0,4.0,fragmented,"Heavily weathered, thin cylindrical bone rod.","Dutkiewicz 2021: Taf. 51.19; Conard & Bolus 2003, 2008",!vvv! _ !vvvv! _ vv!,Certain
vhc0112,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,HL/KS,C14,26160±150,KIA 8957,35810±710,PL0001337A,2012,ivory,figurine zoomorph (Mammuthus pr),,14.0,11.0,8.0,fragmented,"A heavily weathered, cylindrically reshaped ivory fragment. It is clearly recognizable as the leg of a figure, most likely from a mammoth. The columnar shape and the cross on the sole of the foot strongly suggest its association with a mammoth.","AABW 2014; Dutkiewicz 2021: Taf. 27.8; Conard & Bolus 2003, 2008",vv _ X,Very certain
vhc0111,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,DKS,C14,26160±150,KIA 8957,35810±710,PL0001337A,2012,ivory,possible figurine,,28.0,13.0,8.0,fragmented,"The heavily weathered, reshaped ivory fragment with an ornate cone-like protrusion.","AABW 2012; Dutkiewicz E2021: Taf. 29.8; Conard & Bolus 2003, 2008",?,Uncertain
vhc0110,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,HL/KS,C14,26160±150,KIA 8957,35810±710,PL0001337A,2012,ivory,undetermined,,17.0,8.0,3.0,fragmented,Ivory fragment.,"Wolf 2015, Taf. 42.27; Dutkiewicz 2021: Taf. 57.10; Conard & Bolus 2003, 2008",vvv!,Very certain
vhc0109,,Aurignacien,Vogelherd,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,HL/KS,C14,26160±150,KIA 8957,35810±710,PL0001337A,2012,ivory,possible flute,,17.0,3.0,2.0,fragmented,Small possible fragment of an ivory flute.,"Dutkiewicz 2021: Taf. 32.16; Conard & Bolus 2003, 2008",!vvvvvvv!,Very certain
